date,n_uni,n_active,n_pump10,n_pump20,frac_pump10,frac_pump20,breadth,cs_ret_std,tot_qv,btc_ret,btc_rv,btc_above_ma,f_n_pump10_l1,f_n_pump10_l2,f_n_pump10_3d,f_n_pump10_5d,f_n_pump20_l1,f_n_pump20_3d,f_breadth_l1,f_cs_ret_std_l1,f_qv_ratio,f_btc_ret_l1,f_btc_rv_l1,f_btc_above_ma_l1,f_pump_momo
2023-08-24,100,103,0.0,0.0,0.0,0.0,0.18,0.0168813522073683,663481185968.6198,-0.008550404165857804,0.016199618239009863,0.0,1.0,1.0,1.3333333333333333,1.8,0.0,0.0,0.92,0.01611895031109753,0.6323287199279223,0.007176296068154866,0.01620152645780204,0.0,-0.8
2023-08-25,100,103,3.0,1.0,0.03,0.01,0.43,0.021287921196739945,612033518918.1993,-0.004387328802554248,0.016180166539610574,0.0,0.0,1.0,0.6666666666666666,1.2,0.0,0.0,0.18,0.0168813522073683,0.6062214638132727,-0.008550404165857804,0.016199618239009863,0.0,-1.2
2023-08-26,100,103,1.0,1.0,0.01,0.01,0.28,0.020358841897502648,718741293296.8044,-0.002285650782717715,0.016092074043518773,0.0,3.0,0.0,1.3333333333333333,1.4,1.0,0.3333333333333333,0.43,0.021287921196739945,0.5789302997280711,-0.004387328802554248,0.016180166539610574,0.0,1.6
2023-08-27,100,103,1.0,0.0,0.01,0.0,0.39,0.016660609647474442,429725478031.65765,0.00011299435040264403,0.016087126942774577,0.0,1.0,3.0,1.3333333333333333,1.2,1.0,0.6666666666666666,0.28,0.020358841897502648,0.7085079832687952,-0.002285650782717715,0.016092074043518773,0.0,-0.19999999999999996
2023-08-28,100,103,1.0,0.0,0.01,0.0,0.2,0.018345506695374554,441649424960.4077,-0.0018943415761470917,0.014974385612534103,0.0,1.0,1.0,1.6666666666666667,1.2,0.0,0.6666666666666666,0.39,0.016660609647474442,0.4352319938869764,0.00011299435040264403,0.016087126942774577,0.0,-0.19999999999999996
2023-08-29,100,103,7.0,0.0,0.07,0.0,0.98,0.025194659583825985,560640597257.5466,0.057999215558512715,0.020631972014187542,1.0,1.0,1.0,1.0,1.2,0.0,0.3333333333333333,0.2,0.018345506695374554,0.4676112945515606,-0.0018943415761470917,0.014974385612534103,0.0,-0.19999999999999996
2023-08-30,100,103,1.0,0.0,0.01,0.0,0.11,0.017132505554007058,1387752458534.5828,-0.009013661906477045,0.020686485719930054,1.0,7.0,1.0,3.0,2.6,0.0,0.0,0.98,0.025194659583825985,0.6057491955299579,0.057999215558512715,0.020631972014187542,1.0,4.4
2023-08-31,100,103,1.0,0.0,0.01,0.0,0.03,0.017488283837405725,998062538571.7982,-0.044270494872241245,0.022620346457441733,0.0,1.0,7.0,3.0,2.2,0.0,0.0,0.11,0.017132505554007058,1.4794782617318065,-0.009013661906477045,0.020686485719930054,1.0,-1.2000000000000002
2023-09-01,100,103,1.0,0.0,0.01,0.0,0.13,0.017591521237949583,888379928296.9766,-0.004290640580030271,0.02257333960275186,0.0,1.0,1.0,3.0,2.2,0.0,0.0,0.03,0.017488283837405725,1.059915610129433,-0.044270494872241245,0.022620346457441733,0.0,-1.2000000000000002
2023-09-02,100,103,1.0,0.0,0.01,0.0,0.47,0.021478465087129573,783810790347.8381,-0.0041386798310164225,0.022573520140602814,0.0,1.0,1.0,1.0,2.2,0.0,0.0,0.13,0.017591521237949583,0.931755867724445,-0.004290640580030271,0.02257333960275186,0.0,-1.2000000000000002
