market,date,regime,p_lab_up_05,p_lab_up_10,p_lab_up_15,p_lab_up_20,p_lab_dn_03,p_lab_dn_05,p_lab_dn_10,p_lab_close_neg,exp_downside,med_downside,rr_ratio,rr_pen_lam2,upside_only_rank,rr_rank
KRW-BSV,2026-05-31,bear_quiet,0.08162424841446339,0.01828514949345194,0.007412898443291327,0.004530104604233589,0.23630672926447574,0.07182274936166708,0.033934601762622515,0.5479406919275124,-0.022604814543442178,-0.017482517482531157,0.2545871559633028,-0.1253603492298822,73,10
KRW-APT,2026-05-31,bear_quiet,0.1146528292562392,0.01828514949345194,0.003953545836422041,8.236553825879252e-05,0.23630672926447574,0.07182274936166708,0.010707519973643028,0.5479406919275124,-0.022604814543442178,-0.017482517482531157,0.2545871559633028,-0.1253603492298822,73,10
KRW-LINK,2026-05-31,bear_quiet,0.08162424841446339,0.010954616588419406,8.236553825879252e-05,0.0,0.23630672926447574,0.07182274936166708,0.01927353595255745,0.571287373362985,-0.022604814543442178,-0.017482517482531157,0.15252293577981652,-0.13269088213491476,84,13
KRW-ENSO,2026-05-31,bear_quiet,0.08162424841446339,0.010954616588419406,0.003953545836422041,0.0014825796886582653,0.23630672926447574,0.07182274936166708,0.005106663372045136,0.5479406919275124,-0.022604814543442178,-0.017482517482531157,0.15252293577981652,-0.13269088213491476,84,13
KRW-DOGE,2026-05-31,bear_quiet,0.08162424841446339,0.010954616588419406,8.236553825879252e-05,0.0,0.13129066798451527,0.07182274936166708,0.005106663372045136,0.6005271394448563,-0.022604814543442178,-0.017482517482531157,0.15252293577981652,-0.13269088213491476,84,13
KRW-CC,2026-05-31,bear_quiet,0.08162424841446339,0.010954616588419406,0.003953545836422041,0.0005765587678115477,0.23630672926447574,0.07182274936166708,0.01927353595255745,0.571287373362985,-0.022604814543442178,-0.017482517482531157,0.15252293577981652,-0.13269088213491476,84,13
KRW-ETC,2026-05-31,bear_quiet,0.08162424841446339,0.010954616588419406,8.236553825879252e-05,0.0,0.23630672926447574,0.07182274936166708,0.03056013179571664,0.571287373362985,-0.022604814543442178,-0.017482517482531157,0.15252293577981652,-0.13269088213491476,84,13
KRW-SAND,2026-05-31,bear_quiet,0.1146528292562392,0.010954616588419406,0.0019767729182110206,0.0,0.23630672926447574,0.07182274936166708,0.010707519973643028,0.571287373362985,-0.022604814543442178,-0.017482517482531157,0.15252293577981652,-0.13269088213491476,84,13
KRW-POL,2026-05-31,bear_quiet,0.08162424841446339,0.010954616588419406,0.003953545836422041,8.236553825879252e-05,0.13129066798451527,0.07182274936166708,0.010707519973643028,0.6005271394448563,-0.022604814543442178,-0.017482517482531157,0.15252293577981652,-0.13269088213491476,84,13
KRW-G,2026-05-31,bear_quiet,0.26941767564451036,0.07767070257804135,0.043571369738901244,0.02001482579688658,0.38711802981632487,0.11605304340663866,0.005106663372045136,0.6399802322708179,-0.026961490044140706,-0.02107409925221171,0.6692689850958126,-0.15443538423523598,37,20
