scope,primary,comparator,metric,n_paired_dates,delta_primary_minus_comparator,ci95_lo,ci95_hi,p_delta_gt_zero,preferred_direction,p_preferred_direction,bootstrap_draws
locked_holdout,semivol_joint_head,core_fp_head,path_dn5_rate,170,-0.0019607843137254884,-0.037254901960784313,0.033333333333333333,0.45200000000000001,lower,0.53700000000000003,5000
locked_holdout,semivol_joint_head,core_fp_head,path_up10_rate,170,-0.019607843137254902,-0.045098039215686274,0.0078431372549019572,0.063200000000000006,higher,0.063200000000000006,5000
locked_holdout,semivol_joint_head,core_fp_head,safe_fp_rate,170,-0.019607843137254902,-0.045098039215686274,0.0058823529411764679,0.055199999999999999,higher,0.055199999999999999,5000
locked_holdout,semivol_joint_head,core_fp_head,sl_first_rate,170,3.2653618371328133e-19,-0.03137254901960785,0.03137254901960785,0.496,lower,0.49180000000000001,5000
locked_holdout,semivol_joint_head,liquidity_matched,bracket_net,170,0.0034709638481388535,-0.00026925894699566096,0.0074048563621369381,0.96740000000000004,higher,0.96740000000000004,5000
locked_holdout,semivol_joint_head,liquidity_matched,path_dn5_rate,170,0.23333333333333331,0.17843137254901961,0.29019607843137252,1,lower,0,5000
locked_holdout,semivol_joint_head,liquidity_matched,path_up10_rate,170,0.14901960784313723,0.10784313725490195,0.18828431372548948,1,higher,1,5000
locked_holdout,semivol_joint_head,liquidity_matched,safe_fp_rate,170,0.10980392156862744,0.070588235294117646,0.14901960784313723,1,higher,1,5000
locked_holdout,semivol_joint_head,liquidity_matched,sl_first_rate,170,0.094117647058823528,0.037254901960784313,0.15098039215686276,0.99939999999999996,lower,0.00059999999999999995,5000
locked_holdout,semivol_joint_head,lowest_ATR,bracket_net,170,0.0031450565665788683,-0.00078571086500887097,0.0071123508368096198,0.93799999999999994,higher,0.93799999999999994,5000
locked_holdout,semivol_joint_head,lowest_ATR,path_dn5_rate,170,0.52745098039215688,0.47450980392156855,0.58039215686274503,1,lower,0,5000
locked_holdout,semivol_joint_head,lowest_ATR,path_up10_rate,170,0.26862745098039209,0.23137254901960783,0.30588235294117649,1,higher,1,5000
locked_holdout,semivol_joint_head,lowest_ATR,safe_fp_rate,170,0.21764705882352942,0.18235294117647058,0.25294117647058822,1,higher,1,5000
locked_holdout,semivol_joint_head,lowest_ATR,sl_first_rate,170,0.4137254901960784,0.35686274509803922,0.47063725490196007,1,lower,0,5000
