target,fold,leaf,depth,rule,root_feat,support_train,support_val,pos_train_pct,pos_val_pct,base_val_pct,lift_val,gap_train_val_pp,recall_val,fire_rate_val_pct,support_val_top,pos_val_top_pct,lift_val_top,fail_eod_val_pct
pump20,2,10,3,log_return_1d > +0.034 AND log_return_1d <= +0.059 AND roc_3d <= +0.650,log_return_1d,1099,876,1.4558689717925388,1.4840182648401825,1.0737790093522688,1.3820518485785829,-0.0281492930476438,5.990783410138248,4.3347023603345045,779,1.4120667522464698,1.3150441012050187,-0.0629349808495781
pump20,2,11,3,log_return_1d > +0.034 AND log_return_1d <= +0.059 AND roc_3d > +0.650,log_return_1d,1623,950,3.573629081947012,1.263157894736842,1.0737790093522688,1.1763667232597623,2.3104711872101693,5.529953917050691,4.700875847394725,899,1.334816462736374,1.2431016541677131,-0.3269078264126964
pump20,2,13,3,log_return_1d > +0.034 AND log_return_1d > +0.059 AND return_21d <= +0.883,log_return_1d,1067,880,4.498594189315839,3.75,1.0737790093522688,3.492338709677419,0.748594189315839,15.207373271889402,4.354495521797219,860,3.604651162790698,3.3569767441860465,-0.4723662704893591
pump20,2,14,3,log_return_1d > +0.034 AND log_return_1d > +0.059 AND return_21d > +0.883,log_return_1d,719,361,13.49095966620306,7.479224376731302,1.0737790093522688,6.965329282459118,6.0117352894717575,12.442396313364055,1.7863328220099957,359,7.520891364902507,7.004133345314044,-1.5162191345972684
pump20,3,3,3,log_return_1d <= +0.028 AND atr_pct_14 <= +0.059 AND btc_ma_distance_z <= -0.584,log_return_1d,4174,2128,0.0239578342117872,0.3289473684210526,1.9727052421240596,0.1667493761343012,-0.3049895342092654,1.5086206896551724,9.0472343862931,1547,0.3878474466709761,0.1966068920937075,-0.3385046887456536
pump20,3,4,3,log_return_1d <= +0.028 AND atr_pct_14 <= +0.059 AND btc_ma_distance_z > -0.584,log_return_1d,18762,3876,0.4263937746508901,0.541795665634675,1.9727052421240596,0.2746460312800256,-0.1154018909837848,4.525862068965517,16.47889120360529,2637,0.4550625711035267,0.2306794554940959,0.0164498254203994
pump20,3,6,3,log_return_1d <= +0.028 AND atr_pct_14 > +0.059 AND btc_ma_distance_z <= +1.641,log_return_1d,21430,10269,0.9052729818012132,1.4509689356315123,1.9727052421240596,0.7355224210126897,-0.545695953830299,32.112068965517246,43.65885804174992,7961,1.3942971988443662,0.7067944916814297,-0.2826158703773175
pump20,3,7,3,log_return_1d <= +0.028 AND atr_pct_14 > +0.059 AND btc_ma_distance_z > +1.641,log_return_1d,2062,1682,3.976721629485936,2.794292508917955,1.9727052421240596,1.4164774591004143,1.182429120567981,10.129310344827584,7.151056502699715,1419,2.6779422128259336,1.3574973876698015,0.4304837484216476
pump20,3,10,3,log_return_1d > +0.028 AND log_return_1d <= +0.059 AND atr_pct_14 <= +0.048,log_return_1d,1357,519,0.5895357406042742,2.697495183044316,1.9727052421240596,1.3674091422496844,-2.1079594424400416,3.0172413793103448,2.2065388376344544,386,2.072538860103627,1.0506074682865822,0.9179580367286744
pump20,3,11,3,log_return_1d > +0.028 AND log_return_1d <= +0.059 AND atr_pct_14 > +0.048,log_return_1d,5008,3020,2.4161341853035143,2.5827814569536423,1.9727052421240596,1.309258677780315,-0.1666472716501277,16.810344827586206,12.839590153479868,2402,2.6644462947543714,1.350656062476672,0.5354980186973213
pump20,3,13,3,log_return_1d > +0.028 AND log_return_1d > +0.059 AND btc_ma_distance_z <= -0.661,log_return_1d,539,413,1.4842300556586272,5.326876513317192,1.9727052421240596,2.700290139433915,-3.842646457658564,4.741379310344827,1.7558777262871477,388,5.412371134020619,2.7436289104159264,-1.1370184151833445
pump20,3,14,3,log_return_1d > +0.028 AND log_return_1d > +0.059 AND btc_ma_distance_z > -0.661,log_return_1d,2498,1614,8.00640512409928,7.806691449814126,1.9727052421240596,3.957353223945648,0.1997136742851527,27.155172413793103,6.8619531482505,1460,8.150684931506849,4.1317297472838925,-0.6390123521530734
pump20,4,3,3,log_return_1d <= +0.034 AND atr_pct_14 <= +0.063 AND btc_return_5d <= +0.114,log_return_1d,33336,8515,0.3779697624190065,0.6341749853200235,1.706855460535539,0.3715458045410865,-0.256205222901017,11.088295687885012,29.84368428431235,3394,0.7365939893930465,0.4315503019581602,-0.2420968982932679
pump20,4,6,3,log_return_1d <= +0.034 AND atr_pct_14 > +0.063 AND roc_7d <= +0.921,log_return_1d,29959,14468,1.1916285590306752,1.3685374619850703,1.706855460535539,0.8017887241346618,-0.1769089029543953,40.6570841889117,50.70797700827141,10190,1.4425907752698723,0.8451745379876797,-0.3368772320214026
pump20,4,7,3,log_return_1d <= +0.034 AND atr_pct_14 > +0.063 AND roc_7d > +0.921,log_return_1d,2633,1153,4.405620964679073,4.423243712055507,1.706855460535539,2.5914576918350662,-0.0176227473764341,10.472279260780288,4.04107668582644,1104,4.528985507246377,2.6534089218224564,-1.045335791471379
pump20,4,10,3,log_return_1d > +0.034 AND log_return_1d <= +0.063 AND atr_pct_14 <= +0.062,log_return_1d,3034,804,1.6150296638101518,2.238805970149253,1.706855460535539,1.3116552759814888,-0.6237763063391019,3.696098562628337,2.8178886863872146,476,2.100840336134454,1.2308249788621817,0.4970727751822606
pump20,4,11,3,log_return_1d > +0.034 AND log_return_1d <= +0.063 AND atr_pct_14 > +0.062,log_return_1d,4636,1790,3.235547886108715,2.7374301675977653,1.706855460535539,1.6037855758090234,0.4981177185109493,10.061601642710473,6.273657647553624,1463,3.144224196855776,1.8421150879812933,-0.9104703225732252
