date,market,regime,fold,p_lab_up_10,p_lab_dn_05,p_lab_dn_10,exp_downside,net,outcome,pump20_hit,eod_ret,up_high_ret,down_low_ret,next_close_ret,R1,policy,sort_col,p_lab_sus3,lab_sus3,rr_sus3,p_lab_sus5,lab_sus5,rr_sus5,p_lab_sus_net,lab_sus_net,rr_sus_net,p_lab_fwd1,lab_fwd1,rr_fwd1
2025-07-09,KRW-STEEM,bull_quiet,3,0.03374756335282651,0.055190058479532164,0.0004873294346978557,-0.020896054023721786,0.01752630106323455,eod,0,0.01902630106322878,0.02574146614437045,-0.003917179630671397,0.021965952773195907,,C1_fwd1_rr,rr_fwd1,,,,,,,,,,,0.0,0.08893762183235866
2025-07-10,KRW-PYTH,bull_quiet,3,0.09223833313025466,0.12999512670565302,0.0004873294346978557,-0.027819332246773798,0.0485,tp,0,0.07519325368938112,0.08784258608572681,-0.011243851018981066,0.01176470588234646,,C1_fwd1_rr,rr_fwd1,,,,,,,,,,,0.0,0.30043859649122806
2025-07-10,KRW-ARB,bull_quiet,3,0.13352826510721247,0.16593567251461988,0.0024369440721335447,-0.030763835912933784,0.0485,tp,0,0.11039634778999563,0.11641419381614204,-0.01328076364391162,0.019809381424030992,,C1_fwd1_rr,rr_fwd1,,,,,,,,,,,0.0,0.26449805068226123
2025-07-10,KRW-BEAM,bull_quiet,3,0.13352826510721247,0.16593567251461988,0.0024369440721335447,-0.030763835912933784,0.0485,tp,0,0.05168539325830879,0.06089887640437519,-0.02505617977539054,-0.016132478632583713,,C1_fwd1_rr,rr_fwd1,,,,,,,,,,,0.0,0.26449805068226123
2025-07-11,KRW-VANA,bull_quiet,3,0.06164717348927875,0.08395272328500061,0.0,-0.024285320697783275,0.0485,tp,0,0.031337263419174644,0.08299720757058626,-1.1102230246251565e-16,-0.011582430806257649,,C1_fwd1_rr,rr_fwd1,,,,,,,,,,,0.0,0.3464809999118805
2025-07-11,KRW-AXS,bull_quiet,3,0.09223833313025466,0.12999512670565302,0.0,-0.027819332246773798,0.0485,tp,0,-0.0027132951462167654,0.05939101597829333,-0.022610792885137454,0.01299879081015698,,C1_fwd1_rr,rr_fwd1,,,,,,,,,,,0.0,0.30043859649122806
2025-07-11,KRW-ATH,bull_quiet,3,0.06164717348927875,0.12999512670565302,0.0,-0.027819332246773798,0.0485,tp,0,0.008629441624339984,0.05431472081215594,-0.021573604060938667,-0.02088575742327592,,C1_fwd1_rr,rr_fwd1,,,,,,,,,,,0.0,0.30043859649122806
2025-07-12,KRW-TAIKO,bull_quiet,3,0.09223833313025466,0.12999512670565302,0.0004873294346978557,-0.027819332246773798,0.0485,tp,0,0.03786840301576233,0.10143934201507676,-0.003598355037698786,0.0300478784876983,,C1_fwd1_rr,rr_fwd1,,,,,,,,,,,1.0,0.30043859649122806
2025-07-12,KRW-CARV,bull_quiet,3,0.2744883040935672,0.16593567251461988,0.0024369440721335447,-0.030763835912933784,-0.0315,sl,0,0.013333333333330755,0.016410256410253732,-0.05230769230769472,-0.007591093117411463,,C1_fwd1_rr,rr_fwd1,,,,,,,,,,,0.0,0.26449805068226123
2025-07-12,KRW-BTT,bull_quiet,3,0.04276836846594371,0.018518518518518517,0.0,-0.015692928384700724,0.019982868789247432,eod,0,0.02148286766389451,0.04660129883595765,-0.012889722361033695,0.004853320745412892,,C1_fwd1_rr,rr_fwd1,,,,,,,,,,,0.0,0.259990253411306
