date,market,regime,fold,p_lab_up_10,p_lab_dn_05,p_lab_up_05,p_lab_dn_10,exp_downside,R1,f_rsi_14,f_ret_7d,f_ret_14d,f_bounce_off_7d_low,f_drawdown_7d,net,outcome,eod_net,pump20_hit,up_high_ret,down_low_ret,policy
2026-04-17,KRW-ZK,bear_volatile,5,0.27122858721679866,0.18649843433413152,0.38846933136857614,0.009762387179959477,-0.03183935626514153,1.4543209876543208,44.16666666661515,0.0752212389380531,-0.05447470817120614,0.08968609865465971,-0.05447470817124289,0.0485,tp,0.03142181069958855,0,0.07407407407403,-0.024691358024731436,R1_champion
2026-04-18,KRW-KNC,bear_volatile,5,0.27122858721679866,0.14523853379996315,0.3191489361702128,0.0014735678762202984,-0.02896287311793709,1.8674698795180722,64.61538461537069,0.05392156862745101,0.09693877551020402,0.10256410256409687,-0.06926406926407325,-0.0315,sl,-0.015453488372092981,0,0.01395348837208843,-0.037209302325585836,R1_champion
2026-04-18,KRW-WLFI,bear_volatile,5,0.035273531037023395,0.022840302081414625,0.14671210167618345,0.0003683919690550746,-0.016119668388004445,1.5443548387096775,14.285714285709531,-0.008264462809917328,-0.19999999999999996,0.05263157894735926,-0.040000000000007585,-0.0315,sl,-0.01816666666666672,0,0.008333333333324866,-0.03333333333334132,R1_champion
2026-04-18,KRW-BERA,bear_volatile,5,0.27122858721679866,0.28218824829618716,0.38846933136857614,0.03683919690550746,-0.039052202266584374,0.9611618798955612,59.49367088607244,0.05466237942122176,0.07364975450081834,0.12908777969018725,-0.05475504322766711,-0.0315,sl,-0.0867359208523592,0,0.006088280060881246,-0.09132420091324345,R1_champion
2026-04-19,KRW-TREE,bear_volatile,5,0.27122858721679866,0.28218824829618716,0.38846933136857614,0.02864511375149673,-0.039052202266584374,0.9611618798955612,75.11737089199409,0.2134831460674158,0.24711316397228655,0.2587412587412441,-0.09243697478992352,-0.0315,sl,-0.11617889908256879,0,0.1192660550458613,-0.11834862385321909,R1_champion
2026-04-19,KRW-PENDLE,bear_volatile,5,0.27122858721679866,0.3481624758220503,0.38846933136857614,0.03683919690550746,-0.04467248638489783,0.7790287755060272,65.99999999999929,0.20442319187089053,0.26016260162601634,0.3213114754098352,-0.08450704225352146,-0.0315,sl,-0.08681746031746035,0,0.008928571428570953,-0.08779761904761951,R1_champion
2026-04-19,KRW-TIA,bear_volatile,5,0.27122858721679866,0.3481624758220503,0.38846933136857614,0.04973749654600718,-0.04467248638489783,0.7790287755060272,69.52908587257348,0.2685589519650655,0.32045454545454555,0.34180138568129004,-0.12102874432677901,-0.0315,sl,-0.058201030927835073,0,0.046391752577317646,-0.05670103092783674,R1_champion
2026-04-20,KRW-CPOOL,bear_volatile,5,0.27122858721679866,0.44437281267268375,0.5546141094124148,0.0960582059311107,-0.05331002450496487,0.610362694300518,70.23809523803669,0.19883040935672502,0.19883040935672502,0.202346041055683,-0.05747126436783778,-0.0315,sl,0.010665450121654598,0,0.03649635036493826,-0.04866180048664115,R1_champion
2026-04-20,KRW-IN,bear_volatile,5,0.27122858721679866,0.44437281267268375,0.38846933136857614,0.0960582059311107,-0.05331002450496487,0.610362694300518,56.52173913042467,0.12918660287081352,0.12114014251781469,0.14285714285712925,-0.5158974358974384,0.0485,tp,-0.00573728813559332,0,0.08050847457625965,-0.0296610169491629,R1_champion
2026-04-20,KRW-ZBT,bear_volatile,5,0.27122858721679866,0.44437281267268375,0.5546141094124148,0.0960582059311107,-0.05331002450496487,0.610362694300518,61.22448979590961,0.13157894736842102,0.14666666666666672,0.23741007194243724,-0.07027027027027521,0.0485,tp,-0.024755813953488415,0,0.09883720930231932,-0.03488372093023817,R1_champion
2026-04-21,KRW-FLUID,bear_volatile,5,0.27122858721679866,0.23330570139080778,0.38846933136857614,0.016946030576533433,-0.035302800968270924,1.1625459026501315,52.39799570508179,0.009756097560975618,0.027720314439387606,0.08566433566433518,-0.08910891089108941,-0.0315,sl,-0.033667269802975464,0,0.01286690792118983,-0.03900281463610811,R1_champion
2026-04-21,KRW-MOODENG,bear_volatile,5,0.27122858721679866,0.28218824829618716,0.5546141094124148,0.02864511375149673,-0.039052202266584374,0.9611618798955612,63.902439024375695,0.10335917312661502,0.25036603221083475,0.16348773841960274,-0.11410788381743653,-0.0315,sl,-0.022552631578947324,0,0.01286549707601159,-0.05029239766082971,R1_champion
