date,market,regime,fold,r1_rank,p_lab_up_10,p_lab_dn_05,p_lab_dn_10,p_lab_dump_B,exp_downside,R1,f_qv_rank,net,outcome,eod_net,pump20_hit,up_high_ret,down_low_ret,policy,a1_filled_from_demoted
2024-05-06,KRW-BTC,bull_volatile,0,1,0.0,0.006097560975609756,0.0,0.0,-0.015144420357606426,0.0,2.0,-0.016546437567270644,eod,-0.016546437567270644,0,0.017547169811320762,-0.017758046614872347,R1_baseline,
2024-05-07,KRW-BTC,bull_volatile,0,1,0.0,0.006097560975609756,0.0,0.0,-0.015144420357606426,0.0,1.0,-0.011098377738973651,eod,-0.011098377738973651,0,0.015510250056318897,-0.01441766163550351,R1_baseline,
2024-05-08,KRW-BTC,bull_volatile,0,1,0.0,0.006097560975609756,0.0015808491418247517,0.0,-0.015144420357606426,0.0,1.0,-0.0315,sl,-0.022600406083286895,0,0.011085107597465615,-0.028380615331925374,R1_baseline,
2024-05-09,KRW-BTC,bull_volatile,0,1,0.0,0.025067750677506776,0.0040659588886379034,0.0,-0.017029494668540184,0.0,1.0,0.021101036510260462,eod,0.021101036510260462,0,0.030603689211850194,-0.009921743991056498,R1_baseline,
2024-05-10,KRW-BTC,bull_volatile,0,1,0.0009033423667570009,0.025067750677506776,0.0,0.0,-0.017029494668540184,0.036036036036036036,1.0,-0.0315,sl,-0.02440830994397919,0,0.0041309183349220735,-0.034000635525897716,R1_baseline,
2024-05-11,KRW-BTC,bull_volatile,0,1,0.0,0.07791327913279132,0.0015808491418247517,0.0,-0.0234329370312677,0.0,2.0,-0.0021396241336000808,eod,-0.0021396241336000808,0,0.007665245450944713,-0.007374012721045653,R1_baseline,
2024-05-12,KRW-BTC,bull_volatile,0,1,0.0,0.04698441382426022,0.0015808491418247517,0.0,-0.020403399257999125,0.0,3.0,0.007856126284430833,eod,0.007856126284430833,0,0.013835950157941923,-0.002016528540289775,R1_baseline,
2024-05-13,KRW-BTC,bull_volatile,0,1,0.0,0.04698441382426022,0.0,0.0,-0.020403399257999125,0.0,2.0,0.01141304448082653,eod,0.01141304448082653,0,0.02269969140439887,-0.012840813212977142,R1_baseline,
2024-05-14,KRW-BTC,bull_volatile,0,1,0.0009033423667570009,0.04698441382426022,0.01084010840108401,0.0,-0.020403399257999125,0.01922642623862136,1.0,-0.01562586934993687,eod,-0.01562586934993687,0,0.0033093001569359792,-0.0242568289853754,R1_baseline,
2024-05-15,KRW-BTC,bull_volatile,0,1,0.0,0.025067750677506776,0.0040659588886379034,0.0,-0.017029494668540184,0.0,2.0,0.0485,tp,0.067162540987392,0,0.06842032268503528,-0.003744625768572929,R1_baseline,
2024-05-16,KRW-BTC,bull_volatile,0,1,0.011291779584462511,0.15721707702733229,0.0,0.00022588660492432798,-0.030561394774138537,0.07182285663852807,1.0,-0.019888271264814905,eod,-0.019888271264814905,0,0.008131493524117683,-0.02020388444376897,R1_baseline,
