policy,k,lam,dump_cut,n,prec_pump,hit,hit10_rate,stop_rate,loss_rate,p_loss_lt_5,p_beyond_sl,cvar95,worst,net_mean,net_median,mdd,cum,sharpe,sortino,deep_dump_rate,p_min_lt_10,p_close_lt_5,no_cvar95,no_worst,no_cum
ds_rerank,3,2.0,none,1149,0.07658833768494343,0.31418624891209745,0.23150565709312446,0.5117493472584856,0.6858137510879025,0.5126196692776327,0.0,-0.0515,-0.051500000000000004,-0.00871797354153143,-0.051500000000000004,-0.9797633776575201,-0.9753156114758716,-3.8497118434467508,-10.027464407507704,0.25674499564838993,0.1279373368146214,0.2463011314186249,-0.16684099323071308,-0.4320610561056106,-0.9755671291723544
ds_rerank,3,2.0,0.5,1125,0.07733333333333334,0.31466666666666665,0.232,0.5102222222222222,0.6853333333333333,0.5111111111111111,0.0,-0.0515,-0.051500000000000004,-0.00854635767459896,-0.051500000000000004,-0.9780661606856572,-0.9732358620383446,-3.698943500489655,-9.755815287501829,0.25244444444444447,0.12622222222222224,0.24177777777777779,-0.16548165363761058,-0.4320610561056106,-0.9729648295606034
ds_rerank,3,2.0,0.667,1125,0.07733333333333334,0.31466666666666665,0.232,0.5102222222222222,0.6853333333333333,0.5111111111111111,0.0,-0.0515,-0.051500000000000004,-0.00854635767459896,-0.051500000000000004,-0.9780661606856572,-0.9732358620383446,-3.698943500489655,-9.755815287501829,0.25244444444444447,0.12622222222222224,0.24177777777777779,-0.16548165363761058,-0.4320610561056106,-0.9729648295606034
ds_rerank,3,2.0,0.75,1129,0.07705934455270151,0.31443755535872453,0.2320637732506643,0.5101860053144376,0.6855624446412755,0.5110717449069974,0.0,-0.0515,-0.051500000000000004,-0.008590814019460494,-0.051500000000000004,-0.9788317007365387,-0.9741791631740129,-3.7494550280292986,-9.824444296913441,0.2533215234720992,0.1266607617360496,0.24269264836138174,-0.16548165363761058,-0.4320610561056106,-0.9724169298820845
ds_rerank,3,2.0,0.8,1144,0.07692307692307693,0.3129370629370629,0.23164335664335664,0.5122377622377622,0.6870629370629371,0.5131118881118881,0.0,-0.05149999999999999,-0.051500000000000004,-0.008721951762691622,-0.051500000000000004,-0.9801825592433693,-0.9758269241323094,-3.862459561419225,-10.066416539160468,0.2561188811188811,0.12762237762237763,0.24562937062937062,-0.16468278131322986,-0.4320610561056106,-0.9763291114808476
baseline_topK,5,-,-,1915,0.09086161879895562,0.27571801566579635,0.26422976501305484,0.6015665796344648,0.7242819843342037,0.602088772845953,0.0,-0.0515,-0.051500000000000004,-0.011218525437018284,-0.051500000000000004,-0.9919964502981915,-0.9907295147870888,-4.840065096841016,-13.566063536647787,0.34203655352480417,0.191644908616188,0.32428198433420363,-0.1938172486519911,-0.4320610561056106,-0.9946642445631653
ds_rerank,5,0.0,none,1915,0.09086161879895562,0.27571801566579635,0.26422976501305484,0.6015665796344648,0.7242819843342037,0.602088772845953,0.0,-0.0515,-0.051500000000000004,-0.011218525437018284,-0.051500000000000004,-0.9919964502981915,-0.9907295147870888,-4.840065096841016,-13.566063536647787,0.34203655352480417,0.191644908616188,0.32428198433420363,-0.1938172486519911,-0.4320610561056106,-0.9946642445631653
ds_rerank,5,0.0,0.5,1722,0.07665505226480836,0.30313588850174217,0.23170731707317074,0.5348432055749129,0.6968641114982579,0.5354239256678281,0.0,-0.0515,-0.051500000000000004,-0.010021017216255,-0.051500000000000004,-0.9870163774311574,-0.9856714080476359,-5.234150398325201,-12.26767658040944,0.2781649245063879,0.12775842044134728,0.2653890824622532,-0.1533520262835881,-0.4320610561056106,-0.9692471373583773
ds_rerank,5,0.0,0.667,1722,0.07665505226480836,0.30313588850174217,0.23170731707317074,0.5348432055749129,0.6968641114982579,0.5354239256678281,0.0,-0.0515,-0.051500000000000004,-0.010021017216255,-0.051500000000000004,-0.9870163774311574,-0.9856714080476359,-5.234150398325201,-12.26767658040944,0.2781649245063879,0.12775842044134728,0.2653890824622532,-0.1533520262835881,-0.4320610561056106,-0.9692471373583773
ds_rerank,5,0.0,0.75,1749,0.07661520869068039,0.30074328187535737,0.23499142367066894,0.5391652372784448,0.6992567181246426,0.5397369925671812,0.0,-0.0515,-0.051500000000000004,-0.009859470240599681,-0.051500000000000004,-0.9862671737889862,-0.9848445946355102,-5.073297845008476,-12.028225047185378,0.28244711263579186,0.13150371640937678,0.2687249857061178,-0.1535018096224461,-0.4320610561056106,-0.9687157374505806
ds_rerank,5,0.0,0.8,1829,0.07927829414980864,0.30016402405686166,0.24330235101148168,0.5456533624931657,0.6998359759431383,0.5462001093493712,0.0,-0.05149999999999999,-0.051500000000000004,-0.009263048958019448,-0.051500000000000004,-0.9826093403270061,-0.9808078473541936,-4.626964702489155,-11.443802615378678,0.29141607435757244,0.1366867140513942,0.2782941498086386,-0.15774170555647818,-0.4320610561056106,-0.9779291914400451
ds_rerank,5,0.5,none,1915,0.08407310704960835,0.29817232375979114,0.24177545691906005,0.5415143603133159,0.7018276762402089,0.5420365535248042,0.0,-0.0515,-0.051500000000000004,-0.009690278650499479,-0.051500000000000004,-0.9835265756862224,-0.9818200988361513,-4.80663475770426,-11.830229287412596,0.29033942558746734,0.14464751958224542,0.27519582245430807,-0.1620584176227803,-0.4320610561056106,-0.9658053533919092
ds_rerank,5,0.5,0.5,1722,0.08013937282229965,0.3048780487804878,0.22996515679442509,0.5261324041811847,0.6951219512195121,0.5267131242740999,0.0,-0.05149999999999999,-0.051500000000000004,-0.009518779859398224,-0.051500000000000004,-0.9845387609488078,-0.9829371360521427,-5.00286283206291,-11.877225155904053,0.27409988385598144,0.1289198606271777,0.2607433217189315,-0.15299679922225765,-0.4320610561056106,-0.9628107641715601
ds_rerank,5,0.5,0.667,1722,0.08013937282229965,0.3048780487804878,0.22996515679442509,0.5261324041811847,0.6951219512195121,0.5267131242740999,0.0,-0.05149999999999999,-0.051500000000000004,-0.009518779859398224,-0.051500000000000004,-0.9845387609488078,-0.9829371360521427,-5.00286283206291,-11.877225155904053,0.27409988385598144,0.1289198606271777,0.2607433217189315,-0.15299679922225765,-0.4320610561056106,-0.9628107641715601
ds_rerank,5,0.5,0.75,1749,0.08118925100057175,0.3018867924528302,0.23270440251572327,0.5288736420811893,0.6981132075471698,0.5294453973699257,0.0,-0.051500000000000004,-0.051500000000000004,-0.009495748448085012,-0.051500000000000004,-0.9843267205868416,-0.982703130495686,-4.9398317062711765,-11.740809577635998,0.27787307032590053,0.13264722698684964,0.26357918810749,-0.15315061923226717,-0.4320610561056106,-0.9633404192949074
