date,market,regime,fold,p_lab_up_10,p_lab_dn_05,R1,net,outcome,pump20_hit,up_high_ret,down_low_ret,variant
2026-04-29,KRW-VANA,bear_quiet,5,0.26984711733284217,0.35147830892511744,0.7677489918455627,-0.0315,sl,0,0.0013321492007101199,-0.05728241563055103,LIQ
2026-04-30,KRW-RAY,bear_quiet,5,0.26984711733284217,0.35147830892511744,0.7677489918455627,-0.0315,sl,0,0.016877637130800816,-0.054008438818566096,LIQ
2026-04-30,KRW-HYPER,bear_quiet,5,0.26984711733284217,0.35147830892511744,0.7677489918455627,0.0485,tp,0,0.09659090909090295,-0.017045454545460137,LIQ
2026-04-30,KRW-DOGE,bear_quiet,5,0.07082335605083809,0.11126462190291977,0.6365307753675076,0.017854838709677356,eod,0,0.04516129032257399,-6.439293542825908e-15,LIQ
2026-05-01,KRW-SOMI,bear_quiet,5,0.26984711733284217,0.23514783089251173,1.1475637104906649,-0.0315,sl,0,0.010714285714282124,-0.03571428571428925,LIQ
2026-05-01,KRW-AWE,bear_quiet,5,0.14385706391600664,0.23514783089251173,0.6117728722820541,-0.0315,sl,0,0.01207464324916585,-0.0570801317233911,LIQ
2026-05-01,KRW-ZETA,bear_quiet,5,0.14385706391600664,0.23514783089251173,0.6117728722820541,-0.0315,sl,0,0.0470723306544083,-0.03214695752010288,LIQ
2026-05-02,KRW-FLUID,bear_quiet,5,0.26984711733284217,0.35147830892511744,0.7677489918455627,-0.0315,sl,0,0.0032428050263473285,-0.05066882853668453,LIQ
2026-05-02,KRW-HYPER,bear_quiet,5,0.26984711733284217,0.35147830892511744,0.7677489918455627,-0.0315,sl,0,0.033149171270712596,-0.0386740331491765,LIQ
2026-05-02,KRW-DKA,bear_quiet,5,0.01602652666482454,0.02394547798857985,0.6692924097179417,-0.007313953488371992,eod,0,0.003488372092906644,-0.0244186046512761,LIQ
2026-05-03,KRW-ONDO,bear_quiet,5,0.07082335605083809,0.06502118253822067,1.0892351274787533,0.012819809069212486,eod,0,0.045346062052503466,-0.023866348448689734,LIQ
2026-05-03,KRW-ARKM,bear_quiet,5,0.26984711733284217,0.27712285872167985,0.9737454303755402,-0.0315,sl,0,0.005494505494499924,-0.049450549450554604,LIQ
2026-05-03,KRW-JTO,bear_quiet,5,0.14385706391600664,0.18705102228771414,0.7690792712949286,0.0485,tp,0,0.0691489361702109,-0.012411347517732318,LIQ
2026-05-04,KRW-ELSA,bear_quiet,5,0.26984711733284217,0.27712285872167985,0.9737454303755402,-0.0315,sl,0,0.00847457627117798,-0.06779661016949934,LIQ
2026-05-04,KRW-BAT,bear_quiet,5,0.14385706391600664,0.18705102228771414,0.7690792712949286,-0.0315,sl,0,0.018867924528295443,-0.04402515723271039,LIQ
2026-05-04,KRW-RED,bear_quiet,5,0.09606705351386202,0.14680419966844724,0.6543890006609245,0.0485,tp,0,0.1144278606965119,-0.009950248756223856,LIQ
2026-05-05,KRW-HOLO,bear_quiet,5,0.14385706391600664,0.18705102228771414,0.7690792712949286,0.010935233160621895,eod,0,0.02590673575128477,-0.007253886010372912,LIQ
2026-05-05,KRW-HYPER,bear_quiet,5,0.14385706391600664,0.18705102228771414,0.7690792712949286,0.0485,tp,0,0.19021739130434145,-0.10869565217391786,LIQ
2026-05-05,KRW-ONDO,bear_quiet,5,0.26984711733284217,0.35147830892511744,0.7677489918455627,0.0178133047210301,eod,0,0.045064377682401124,-0.023605150214594417,LIQ
2026-05-06,KRW-ETC,bear_quiet,5,0.02366918401178854,0.02394547798857985,0.9884615384615384,0.03228378378378377,eod,0,0.04879879879879856,-0.0037537537537538634,LIQ
2026-05-06,KRW-LINK,bear_quiet,5,0.02366918401178854,0.02394547798857985,0.9884615384615384,0.01234083044982698,eod,0,0.0352941176470587,-0.006228373702422241,LIQ
2026-05-06,KRW-ANKR,bear_quiet,5,0.02366918401178854,0.02394547798857985,0.9884615384615384,0.0485,tp,0,0.14693877551004797,-0.006802721088570496,LIQ
2026-05-07,KRW-GLM,bear_quiet,5,0.051487519572625956,0.02394547798857985,2.1501980289214333,0.027768292682926854,eod,0,0.03414634146340956,-0.014634146341468202,LIQ
2026-05-07,KRW-ZK,bear_quiet,5,0.26984711733284217,0.23514783089251173,1.1475637104906649,0.0485,tp,0,0.0520446096653886,-0.02602230483274992,LIQ
2026-05-07,KRW-HUNT,bear_quiet,5,0.02366918401178854,0.02394547798857985,0.9884615384615384,0.005035947712418278,eod,0,0.02614379084966645,-0.006535947712424717,LIQ
2026-05-08,KRW-WCT,bear_quiet,5,0.26984711733284217,0.23514783089251173,1.1475637104906649,-0.0315,sl,0,0.028846153846143974,-0.05000000000000915,LIQ
2026-05-08,KRW-JST,bear_quiet,5,0.14385706391600664,0.14680419966844724,0.9799247176913425,-0.0315,sl,0,0.007936507936499915,-0.04761904761905511,LIQ
2026-05-08,KRW-ALGO,bear_quiet,5,0.26984711733284217,0.27712285872167985,0.9737454303755402,0.0485,tp,0,0.06878306878306306,-0.02116402116402627,LIQ
2026-05-09,KRW-ANKR,bear_quiet,5,0.051487519572625956,0.02394547798857985,2.1501980289214333,-0.011984927916120545,eod,0,0.010484927915988207,-0.020969855832369544,LIQ
