krw_market,binance_market,mappable,binance_db_has,n_rows,n_rows_with_binance,coverage
KRW-IRYS,BINANCE-IRYSUSDT,True,False,64,0,0.0
KRW-JST,BINANCE-JSTUSDT,True,True,1270,1177,0.926771653543307
KRW-JTO,BINANCE-JTOUSDT,True,True,512,512,1.0
KRW-JUP,BINANCE-JUPUSDT,True,True,744,744,1.0
KRW-KAITO,BINANCE-KAITOUSDT,True,True,500,500,1.0
KRW-KAT,BINANCE-KATUSDT,True,True,114,114,1.0
KRW-KAVA,BINANCE-KAVAUSDT,True,True,1270,1177,0.926771653543307
KRW-KERNEL,BINANCE-KERNELUSDT,True,True,263,263,1.0
KRW-KITE,BINANCE-KITEUSDT,True,True,257,257,1.0
KRW-KNC,BINANCE-KNCUSDT,True,True,1270,1177,0.926771653543307
KRW-LA,BINANCE-LAUSDT,True,True,303,303,1.0
KRW-LAYER,BINANCE-LAYERUSDT,True,True,521,521,1.0
KRW-LINEA,BINANCE-LINEAUSDT,True,True,311,311,1.0
KRW-LINK,BINANCE-LINKUSDT,True,True,1270,1177,0.926771653543307
KRW-LPT,BINANCE-LPTUSDT,True,True,414,414,1.0
KRW-LSK,BINANCE-LSKUSDT,True,True,1270,1177,0.926771653543307
KRW-MANA,BINANCE-MANAUSDT,True,True,1270,1177,0.926771653543307
KRW-MANTRA,BINANCE-MANTRAUSDT,True,True,423,142,0.33569739952718675
KRW-MASK,BINANCE-MASKUSDT,True,True,1229,1177,0.9576891781936534
KRW-MBL,BINANCE-MBLUSDT,True,True,1270,1177,0.926771653543307
KRW-ME,BINANCE-MEUSDT,True,True,584,584,1.0
KRW-MED,BINANCE-MEDUSDT,True,False,1270,0,0.0
KRW-MEGA,BINANCE-MEGAUSDT,True,True,79,79,1.0
KRW-MET2,BINANCE-MET2USDT,True,False,242,0,0.0
KRW-META,BINANCE-METAUSDT,True,False,1270,0,0.0
KRW-MEW,BINANCE-MEWUSDT,True,False,635,0,0.0
KRW-MINA,BINANCE-MINAUSDT,True,True,998,998,1.0
KRW-MIRA,BINANCE-MIRAUSDT,True,True,295,295,1.0
KRW-MLK,BINANCE-MLKUSDT,True,False,1270,0,0.0
KRW-MMT,BINANCE-MMTUSDT,True,True,255,255,1.0
KRW-MNT,BINANCE-MNTUSDT,True,False,843,0,0.0
KRW-MOC,BINANCE-MOCUSDT,True,False,1270,0,0.0
KRW-MOCA,BINANCE-MOCAUSDT,True,False,579,0,0.0
KRW-MON,BINANCE-MONUSDT,True,False,236,0,0.0
KRW-MOODENG,BINANCE-MOODENGUSDT,True,False,380,0,0.0
