date,coin,crowd_q,btc_regime,net_eod_d1,has_path,net_tp5_sl3,oc_tp5_sl3,net_eod15,oc_eod15,net_tp5_sl5,oc_tp5_sl5,net_tp10_sl3,oc_tp10_sl3,net_noSL_eod,oc_noSL_eod
2023-12-13,KRW-ATOM,mid,bull_volatile,-0.011297917942437227,False,,,,,,,,,,
2023-12-17,KRW-ATOM,mid,bull_volatile,-0.07907575757575763,False,,,,,,,,,,
2023-12-22,KRW-ATOM,low,bull_volatile,-0.004082311168495832,False,,,,,,,,,,
2023-10-05,KRW-AVAX,high,bull_quiet,0.00435223116313105,False,,,,,,,,,,
2023-10-27,KRW-AVAX,low,bull_quiet,-0.039678164768921664,False,,,,,,,,,,
2023-11-12,KRW-AVAX,mid,bull_volatile,0.12500334075723823,False,,,,,,,,,,
2023-11-13,KRW-AVAX,high,bull_volatile,-0.14316996438464585,False,,,,,,,,,,
2023-11-15,KRW-AVAX,mid,bull_volatile,0.1969368215371255,False,,,,,,,,,,
2023-11-16,KRW-AVAX,mid,bull_volatile,0.06120387821674528,False,,,,,,,,,,
2023-11-17,KRW-AVAX,high,bull_volatile,0.012478861234231088,False,,,,,,,,,,
2023-12-07,KRW-AVAX,high,bull_volatile,-0.003436912008854485,False,,,,,,,,,,
2023-12-09,KRW-AVAX,high,bull_volatile,0.057422965467278486,False,,,,,,,,,,
2023-12-10,KRW-AVAX,high,bull_volatile,0.15676681870011394,False,,,,,,,,,,
2023-12-11,KRW-AVAX,high,bull_volatile,0.0315513476293528,False,,,,,,,,,,
2023-12-17,KRW-AVAX,high,bull_volatile,-0.0399947350250302,False,,,,,,,,,,
2023-12-21,KRW-AVAX,mid,bull_volatile,0.05372615619176685,False,,,,,,,,,,
2023-12-22,KRW-AVAX,mid,bull_volatile,-0.015137092892668012,False,,,,,,,,,,
2023-12-24,KRW-AVAX,mid,bull_volatile,-0.012730769230769266,False,,,,,,,,,,
2024-01-09,KRW-AVAX,low,bull_volatile,-0.03904125412541254,False,,,,,,,,,,
2024-01-27,KRW-AVAX,low,bull_volatile,0.03137547849583428,False,,,,,,,,,,
2024-01-29,KRW-AVAX,high,bull_volatile,0.025397414512093486,False,,,,,,,,,,
2024-02-03,KRW-AVAX,high,bull_volatile,-0.021492082343626262,False,,,,,,,,,,
2024-02-10,KRW-AVAX,low,bull_volatile,0.05837907158182182,False,,,,,,,,,,
2024-02-11,KRW-AVAX,high,bull_volatile,-0.014565881486934105,False,,,,,,,,,,
2024-02-15,KRW-AVAX,mid,bull_quiet,-0.004295736501834733,False,,,,,,,,,,
2023-09-15,KRW-AWE,mid,bear_quiet,0.04739589905362768,False,,,,,,,,,,
2023-09-18,KRW-AWE,high,bear_quiet,-0.09594444444444444,False,,,,,,,,,,
2023-09-21,KRW-AWE,low,bear_quiet,-0.056021276595744796,False,,,,,,,,,,
2023-09-23,KRW-AWE,high,bear_quiet,0.15377950310559005,False,,,,,,,,,,
2023-09-24,KRW-AWE,high,bear_quiet,-0.1971989247311828,False,,,,,,,,,,
2023-09-26,KRW-AWE,low,bear_quiet,0.07875477707006366,False,,,,,,,,,,
2023-09-27,KRW-AWE,low,bear_quiet,0.05864150943396235,False,,,,,,,,,,
2023-09-28,KRW-AWE,high,bear_quiet,0.007398776418242438,False,,,,,,,,,,
2023-10-05,KRW-AWE,low,bull_quiet,0.09027592371871256,False,,,,,,,,,,
2023-10-06,KRW-AWE,mid,bear_quiet,-0.04180501089324624,False,,,,,,,,,,
2023-10-13,KRW-AWE,low,bear_quiet,0.05077272727272725,False,,,,,,,,,,
2023-10-14,KRW-AWE,high,bear_quiet,0.025497840172786168,False,,,,,,,,,,
2023-10-18,KRW-AWE,low,bull_quiet,-0.030626213592233,False,,,,,,,,,,
2023-10-31,KRW-AWE,low,bull_quiet,-0.008938894792773487,False,,,,,,,,,,
2024-01-05,KRW-AWE,low,bull_quiet,-0.06094055944055937,False,,,,,,,,,,
2023-09-15,KRW-AXS,mid,bear_quiet,0.003922153369480931,False,,,,,,,,,,
2023-10-30,KRW-AXS,mid,bull_quiet,0.01942871157619358,False,,,,,,,,,,
2023-11-26,KRW-AXS,low,bull_volatile,0.05728894767783649,False,,,,,,,,,,
2023-11-27,KRW-AXS,mid,bull_volatile,0.03457103218645946,False,,,,,,,,,,
2023-12-25,KRW-AXS,high,bull_volatile,0.10303808752025928,False,,,,,,,,,,
