head,feature_set,fold,topK_pct,n_val,n_pos,n_top,top_pos,base_pct,prec_pct,lift
h6_hit_5_24h,daily,2,0.5,19527,4937,97,44,25.282941568085214,45.36082474226804,1.7941276579750214
h6_hit_5_24h,daily,2,1.0,19527,4937,195,90,25.282941568085214,46.15384615384615,1.825493526121438
h6_hit_5_24h,daily,2,2.0,19527,4937,390,172,25.282941568085214,44.1025641025641,1.7443604805160404
h6_hit_5_24h,daily,3,0.5,20200,4506,101,49,22.306930693069308,48.51485148514851,2.174877940523746
h6_hit_5_24h,daily,3,1.0,20200,4506,202,88,22.306930693069308,43.56435643564357,1.9529516200621393
h6_hit_5_24h,daily,3,2.0,20200,4506,404,156,22.306930693069308,38.613861386138616,1.7310252996005326
h6_hit_5_24h,daily+4h,1,0.5,17296,2926,86,32,16.917206290471785,37.2093023255814,2.1994945079400403
h6_hit_5_24h,daily+4h,1,1.0,17296,2926,172,67,16.917206290471785,38.95348837209303,2.30259581299973
h6_hit_5_24h,daily+4h,1,2.0,17296,2926,345,147,16.917206290471785,42.608695652173914,2.5186602870813397
h6_hit_5_24h,daily+4h,2,0.5,19527,4937,97,39,25.282941568085214,40.20618556701031,1.5902495150233145
h6_hit_5_24h,daily+4h,2,1.0,19527,4937,195,82,25.282941568085214,42.05128205128205,1.6632274349106433
h6_hit_5_24h,daily+4h,2,2.0,19527,4937,390,146,25.282941568085214,37.43589743589744,1.4806780822984995
h6_hit_5_24h,daily+4h,3,0.5,20200,4506,101,53,22.306930693069308,52.475247524752476,2.3524189968930314
h6_hit_5_24h,daily+4h,3,1.0,20200,4506,202,89,22.306930693069308,44.05940594059406,1.9751442521083
h6_hit_5_24h,daily+4h,3,2.0,20200,4506,404,163,22.306930693069308,40.34653465346535,1.808699511762095
h6_hit_5_24h,daily+1h,1,0.5,17296,2926,86,40,16.917206290471785,46.51162790697674,2.7493681349250507
h6_hit_5_24h,daily+1h,1,1.0,17296,2926,172,74,16.917206290471785,43.02325581395349,2.543165524805672
h6_hit_5_24h,daily+1h,1,2.0,17296,2926,345,146,16.917206290471785,42.31884057971014,2.501526543631807
h6_hit_5_24h,daily+1h,2,0.5,19527,4937,97,55,25.282941568085214,56.70103092783505,2.2426595724687766
h6_hit_5_24h,daily+1h,2,1.0,19527,4937,195,101,25.282941568085214,51.7948717948718,2.0486094015362806
h6_hit_5_24h,daily+1h,2,2.0,19527,4937,390,184,25.282941568085214,47.179487179487175,1.8660600489241363
h6_hit_5_24h,daily+1h,3,0.5,20200,4506,101,40,22.306930693069308,39.603960396039604,1.775410563692854
h6_hit_5_24h,daily+1h,3,1.0,20200,4506,202,83,22.306930693069308,41.089108910891085,1.8419884598313359
h6_hit_5_24h,daily+1h,3,2.0,20200,4506,404,154,22.306930693069308,38.11881188118812,1.708832667554372
h6_hit_5_24h,daily+15m,1,0.5,17296,2926,86,35,16.917206290471785,40.69767441860465,2.4056971180594195
h6_hit_5_24h,daily+15m,1,1.0,17296,2926,172,72,16.917206290471785,41.86046511627907,2.474431321432546
h6_hit_5_24h,daily+15m,1,2.0,17296,2926,345,129,16.917206290471785,37.391304347826086,2.2102529049897472
h6_hit_5_24h,daily+15m,2,0.5,19527,4937,97,54,25.282941568085214,55.670103092783506,2.2018839438784354
h6_hit_5_24h,daily+15m,2,1.0,19527,4937,195,97,25.282941568085214,49.743589743589745,1.967476355930883
h6_hit_5_24h,daily+15m,2,2.0,19527,4937,390,174,25.282941568085214,44.61538461538462,1.76464374191739
h6_hit_5_24h,daily+15m,3,0.5,20200,4506,101,37,22.306930693069308,36.633663366336634,1.64225477141589
