scope,fold,policy,n,dates,safe_up10_rate,up10_rate,dn5_rate,eod_net_mean,mfe_mean,mae_mean,matched_atr_safe_up10,safe_up10_lift_within_atr,matched_atr_up10,up10_lift_within_atr,matched_atr_dn5,dn5_delta_within_atr,path_complete_pick_rate,path_n,path_dates,path_net_mean,path_tp_first,path_sl_first,path_eod,path_hit,path_up10_before_dn5,path_safe_up10,path_up10,path_dn5,path_cumulative,path_max_drawdown,path_net_ci95_lo,path_net_ci95_hi,path_net_p_gt_zero,path_sharpe_ann,path_sortino_ann,path_calmar
discovery_oof,2,R1_frozen_pattern,348,116,0.11781609195402298,0.13218390804597702,0.3735632183908046,-0.001426805869368204,0.053942502426702135,-0.04547044563751156,0.08013569764282835,1.4702073535210158,0.09440265981886997,1.4002138107082764,0.32435559533720243,0.049207623053602156,0.3074712643678161,102,34,-0.006367539839582037,0.24509803921568626,0.5784313725490197,0.17647058823529413,0.3235294117647059,0.12745098039215685,0.11764705882352941,0.14705882352941177,0.37254901960784315,-0.20142836775210304,-0.22609297907847414,-0.013395614547875431,0.0009550555186145826,0.044,-5.632260444288209,-6.738970363891814,-4.02757092545142
discovery_oof,3,R1_frozen_pattern,348,116,0.09770114942528736,0.11494252873563218,0.27873563218390807,-0.0002266932321822862,0.04733065026086993,-0.037243513742548244,0.05378609890829724,1.8164758442857738,0.05928461095458243,1.9388257236551478,0.22021546046164048,0.05852017172226759,0.9913793103448276,345,115,-0.00231366032897583,0.20579710144927535,0.4289855072463768,0.3652173913043478,0.4144927536231884,0.1072463768115942,0.1072463768115942,0.11594202898550725,0.2579710144927536,-0.2525400106810972,-0.32820196391271006,-0.0062296110883094434,0.001428953459030072,0.111,-2.1278637909756464,-2.7663176527312894,-1.837314978885414
discovery_oof,4,R1_frozen_pattern,351,117,0.14814814814814814,0.18233618233618235,0.3903133903133903,-0.006040891581409098,0.058609303286434065,-0.04707485387690173,0.09195842691618002,1.611033954323566,0.11241701835553425,1.6219624484214583,0.3275791171968429,0.06273427311654739,0.9743589743589743,303,101,-0.0015711265559763593,0.2838283828382838,0.504950495049505,0.21122112211221122,0.40594059405940597,0.13861386138613863,0.12211221122112212,0.1551155115511551,0.3333333333333333,-0.1700418931467268,-0.34599621100072553,-0.0060878507318817224,0.002896905704056038,0.2436,-1.2781250329455007,-1.772083230144366,-1.416505749696955
locked_holdout,-1,R1_frozen_pattern,540,180,0.14444444444444443,0.16666666666666666,0.34074074074074073,-0.005360357217861297,0.056001391329905434,-0.04523719217928751,0.08487331364960897,1.7018829386203649,0.10698171214095646,1.5578986663353338,0.28421818366817153,0.0565225570725692,0.9888888888888889,510,170,-0.002423308363933871,0.2823529411764706,0.5215686274509804,0.19607843137254902,0.3862745098039216,0.14705882352941177,0.13333333333333333,0.15490196078431373,0.3235294117647059,-0.3617221449309531,-0.41040089654511724,-0.005465716706858335,0.0006872361606144984,0.059,-2.230615776923136,-2.92360874595639,-1.5073840397125735
discovery_oof,0,monkey_seed42,348,116,0.040229885057471264,0.04597701149425287,0.1839080459770115,-0.002049042310357197,0.03025027276801534,-0.030762406780558173,0.04564895748842862,0.8812881448096374,0.047117339459059465,0.9757981248963042,0.18784097711083525,-0.003932931133823758,0.0028735632183908046,0,0,,,,,,,,,,,,,,,,,
discovery_oof,1,monkey_seed42,348,116,0.08620689655172414,0.10057471264367816,0.3448275862068966,0.001214760122948098,0.04728502784759294,-0.04713604843812081,0.08115637637599567,1.0622319576262194,0.10153037947213228,0.9905873805118947,0.349122557150131,-0.004294970943234444,0.011494252873563218,0,0,,,,,,,,,,,,,,,,,
discovery_oof,2,monkey_seed42,348,116,0.06896551724137931,0.07758620689655173,0.27011494252873564,-0.0030365316724016932,0.0447886710676243,-0.042565318069843316,0.06639738248633299,1.0386782529503318,0.08075844971533853,0.9607193695524309,0.3067675014224566,-0.03665255889372099,0.3132183908045977,102,34,-0.006691225921847464,0.14705882352941177,0.49019607843137253,0.3627450980392157,0.37254901960784315,0.06862745098039216,0.06862745098039216,0.09803921568627451,0.23529411764705882,-0.20964838341255065,-0.24797686865999158,-0.013218138013654738,0.00027608417640993224,0.0298,-6.217185283063507,-7.382298156725609,-3.710037294894505
discovery_oof,3,monkey_seed42,348,116,0.04597701149425287,0.04885057471264368,0.22126436781609196,-0.00096990740756763,0.03316846368198339,-0.03164927094944685,0.04851179424888749,0.947749144432176,0.052411433593344395,0.932059502353454,0.20732402874067526,0.013940339075416697,0.9913793103448276,345,115,-0.0017205154725026522,0.1826086956521739,0.39710144927536234,0.42028985507246375,0.42318840579710143,0.05217391304347826,0.04927536231884058,0.05217391304347826,0.19710144927536233,-0.20353680553794284,-0.24548046960596348,-0.005930696184129509,0.0023605370657788947,0.2144,-1.4435210817410888,-2.0107526134947626,-2.0953462626619284
discovery_oof,4,monkey_seed42,351,117,0.06837606837606838,0.07692307692307693,0.28774928774928776,-0.006483620516784234,0.044291869611985155,-0.04066538128494662,0.08105974031199842,0.8435268619525468,0.09436788155790177,0.8151404445365117,0.2949923631027221,-0.007243075353434325,0.9743589743589743,303,101,-0.004267309845026886,0.19801980198019803,0.47194719471947194,0.33003300330033003,0.38283828382838286,0.07920792079207921,0.07590759075907591,0.08250825082508251,0.2706270627062706,-0.3645018360810791,-0.40582496186852923,-0.008223271465646219,-0.00025719369545086396,0.0188,-3.9462931659651104,-4.93172725022483,-1.9853281429115484
locked_holdout,-1,monkey_seed42,540,180,0.06666666666666667,0.09259259259259259,0.2740740740740741,-0.009228305578049524,0.03881813777169314,-0.03822555321346162,0.07538532168446395,0.8843454558131295,0.09505004404996253,0.9741457094319893,0.26435412625155413,0.009719947822519948,0.9796296296296296,510,170,-0.004384576818527807,0.18235294117647058,0.4294117647058823,0.38823529411764707,0.37254901960784315,0.06862745098039216,0.06666666666666667,0.07647058823529412,0.24901960784313726,-0.5441140686365081,-0.5609604146482324,-0.007495677914914116,-0.0011948394953697845,0.003,-3.9311185895385,-4.959585347929788,-1.4525824950425161
