scope,cohort,primary,comparator,metric,n_paired_dates,delta_primary_minus_comparator,ci95_lo,ci95_hi,p_delta_gt_zero,p_preferred_direction,preferred_direction,bootstrap_draws,seed,stream_seed
discovery_oof,common_0915_complete_dates,safeup_pareto_rank,R1_repaired,safe_up10_rate,250,-0.014666666666666665,-0.041333333333333326,0.01066666666666667,0.1366,0.1366,higher,5000,42,10948421311867092545
discovery_oof,common_0915_complete_dates,safeup_pareto_rank,R1_repaired,up10_rate,250,-0.03866666666666666,-0.06666666666666665,-0.011999999999999997,0.002,0.002,higher,5000,42,8792653680482619418
discovery_oof,common_0915_complete_dates,safeup_pareto_rank,R1_repaired,dn5_rate,250,-0.052,-0.08933333333333333,-0.013333333333333334,0.005,0.995,lower,5000,42,10709161553158465104
discovery_oof,common_0915_complete_dates,safeup_pareto_rank,R1_repaired,path_net_mean,250,-4.6133680903842675e-05,-0.0029496633103981472,0.002808804735172005,0.4828,0.4828,higher,5000,42,7447055070407360392
discovery_oof,common_0915_complete_dates,safeup_pareto_rank,R1_repaired,path_sl_first,250,0.009333333333333338,-0.03733333333333333,0.05866666666666667,0.6598,0.3376,lower,5000,42,7292868069369920550
discovery_oof,common_0915_complete_dates,safeup_pareto_rank,R1_repaired,path_safe_up10,250,-0.02,-0.04533333333333333,0.005333333333333333,0.059,0.059,higher,5000,42,6153283567954758708
discovery_oof,common_0915_complete_dates,safeup_pareto_rank,R1_repaired,path_up10,250,-0.042666666666666665,-0.06933333333333334,-0.015999999999999997,0.0008,0.0008,higher,5000,42,12711072531322440636
discovery_oof,common_0915_complete_dates,safeup_pareto_rank,R1_repaired,path_dn5,250,-0.06533333333333333,-0.10266666666666666,-0.029333333333333326,0.0,1.0,lower,5000,42,8402417670116278225
discovery_oof,common_0915_complete_dates,safeup_pareto_rank,R1_frozen_pattern,safe_up10_rate,250,-0.02,-0.04533333333333333,0.005333333333333335,0.0678,0.0678,higher,5000,42,15501352508033625166
discovery_oof,common_0915_complete_dates,safeup_pareto_rank,R1_frozen_pattern,up10_rate,250,-0.032,-0.058666666666666666,-0.005300000000000479,0.0122,0.0122,higher,5000,42,10232782914476263353
discovery_oof,common_0915_complete_dates,safeup_pareto_rank,R1_frozen_pattern,dn5_rate,250,-0.07866666666666666,-0.11333333333333334,-0.04533333333333333,0.0,1.0,lower,5000,42,12296206607053317326
