evaluation_scope,variant,bucket,n,pred_mean,actual_up10,gap,raw_score_min,raw_score_max
locked_holdout,cls_core,9,1800,0.2220251160347592,0.275,-0.05297488396524083,0.6713488698005676,0.9417963027954102
locked_holdout,legacy_core_in_sample_bucket,0,1800,0.002566964285714286,0.008333333333333333,-0.005766369047619047,0.0025669642857142857,0.0025669642857142857
locked_holdout,legacy_core_in_sample_bucket,1,1800,0.009491691468253967,0.03166666666666667,-0.022174975198412702,0.0025669642857142857,0.014508928571428572
locked_holdout,legacy_core_in_sample_bucket,2,1800,0.01931597222222222,0.035555555555555556,-0.016239583333333335,0.014508928571428572,0.024330357142857143
locked_holdout,legacy_core_in_sample_bucket,3,1800,0.029459821428571432,0.04833333333333333,-0.0188735119047619,0.024330357142857143,0.03236607142857143
locked_holdout,legacy_core_in_sample_bucket,4,1800,0.0433203125,0.05611111111111111,-0.012790798611111112,0.03236607142857143,0.046875
locked_holdout,legacy_core_in_sample_bucket,5,1800,0.06039713541666665,0.09166666666666666,-0.03126953125000001,0.046875,0.06417410714285714
locked_holdout,legacy_core_in_sample_bucket,6,1800,0.08386061507936508,0.09555555555555556,-0.011694940476190477,0.06417410714285714,0.09118303571428571
locked_holdout,legacy_core_in_sample_bucket,7,1800,0.11653335813492063,0.13166666666666665,-0.01513330853174602,0.09118303571428571,0.13861607142857144
locked_holdout,legacy_core_in_sample_bucket,8,1800,0.17402232142857144,0.19833333333333333,-0.024311011904761898,0.13861607142857144,0.2650669642857143
locked_holdout,legacy_core_in_sample_bucket,9,1800,0.2650669642857144,0.23777777777777778,0.02728918650793663,0.2650669642857143,0.2650669642857143
