regime_subset,T,C,DD,H,n_total,n_hit,n_success,base_rate_pct,hit_rate_pct,avg_no_hit_eod_pct,worst5_no_hit_eod_pct,avg_post_hit_fail_eod_pct,avg_hit_time_h,avg_pre_hit_dd_pct_when_success
all,10,2,5,24,163546,11467,8536,5.219326672618101,7.011483007838773,-0.703188329963705,-6.839629017531509,1.7315407326579286,12.096532333645735,-1.3990803359654054
bull_quiet_bull_volatile,10,2,5,24,90861,6185,4771,5.250877714310871,6.807100956405939,-0.655259550514714,-7.14285714285714,1.9398666020234254,12.346258645986167,-1.504760707944402
all,10,3,2,4,163546,3788,1901,1.1623641055115992,2.3161679282892886,-0.23216427853786303,-6.7133806477208955,1.1763955958345909,4.0,-0.5189947559570817
bull_quiet_bull_volatile,10,3,2,4,90861,1958,1023,1.1258955987717503,2.154939963240554,-0.16096565344726152,-7.007206285740857,1.6158264757084015,4.0,-0.5333861039379459
all,10,3,2,8,163546,5459,2779,1.6992161226810805,3.3378988174580857,-0.3243046118661564,-6.7327645838136965,2.6142869823622545,5.263763943864699,-0.6098769192826448
bull_quiet_bull_volatile,10,3,2,8,90861,2892,1535,1.6893936892616195,3.18288374550137,-0.2617674324338924,-7.034145312664765,3.2477545858298082,5.334201954397394,-0.6303870445050801
all,10,3,2,12,163546,7183,3672,2.2452398713511794,4.392036491262397,-0.4185989366683295,-6.761565836298933,3.4821488186517766,6.901960784313726,-0.6730565895872946
bull_quiet_bull_volatile,10,3,2,12,90861,3772,1987,2.186856847272207,4.1513960885308325,-0.35306565568359727,-7.067905365508016,4.14517007265836,6.850528434826371,-0.7007958216026174
all,10,3,2,24,163546,11467,5813,3.5543516808726596,7.011483007838773,-0.703188329963705,-6.839629017531509,5.59277551339577,11.490796490624463,-0.7536430992617204
bull_quiet_bull_volatile,10,3,2,24,90861,6185,3150,3.466833955162281,6.807100956405939,-0.655259550514714,-7.14285714285714,6.473922182311323,11.53015873015873,-0.7865380146867215
all,10,3,3,4,163546,3788,2089,1.2773164736526728,2.3161679282892886,-0.23216427853786303,-6.7133806477208955,-0.02268321449522156,4.0,-0.6904058910654532
bull_quiet_bull_volatile,10,3,3,4,90861,1958,1126,1.2392555661945168,2.154939963240554,-0.16096565344726152,-7.007206285740857,0.1939981311299408,4.0,-0.7049331307595093
all,10,3,3,8,163546,5459,3137,1.9181147811624863,3.3378988174580857,-0.3243046118661564,-6.7327645838136965,1.1861710939959595,5.336308575071724,-0.8166096830584075
bull_quiet_bull_volatile,10,3,3,8,90861,2892,1743,1.9183147885231289,3.18288374550137,-0.2617674324338924,-7.034145312664765,1.6994540806531682,5.415949512335055,-0.8426317106769933
all,10,3,3,12,163546,7183,4223,2.582148141807198,4.392036491262397,-0.4185989366683295,-6.761565836298933,1.9561566438285973,7.0499644802273265,-0.9024590636163031
bull_quiet_bull_volatile,10,3,3,12,90861,3772,2303,2.534640824996423,4.1513960885308325,-0.35306565568359727,-7.067905365508016,2.5359900544738068,7.016934433347807,-0.9362473323499007
all,10,3,3,24,163546,11467,6980,4.2679123916207065,7.011483007838773,-0.703188329963705,-6.839629017531509,4.18290539825197,11.92893982808023,-1.0348270570578382
bull_quiet_bull_volatile,10,3,3,24,90861,6185,3863,4.251549069457743,6.807100956405939,-0.655259550514714,-7.14285714285714,5.021898641367357,12.08076624385193,-1.0897200147407606
all,10,3,5,4,163546,3788,2224,1.3598620571582307,2.3161679282892886,-0.23216427853786303,-6.7133806477208955,-1.2783153456166267,4.0,-0.8769389068690219
bull_quiet_bull_volatile,10,3,5,4,90861,1958,1211,1.3328050538734992,2.154939963240554,-0.16096565344726152,-7.007206285740857,-1.60997324698149,4.0,-0.9226456714871307
all,10,3,5,8,163546,5459,3412,2.086263192007142,3.3378988174580857,-0.3243046118661564,-6.7327645838136965,-0.5934419291570938,5.3927315357561545,-1.056422694057025
bull_quiet_bull_volatile,10,3,5,8,90861,2892,1912,2.104313181673105,3.18288374550137,-0.2617674324338924,-7.034145312664765,-0.7260148181161943,5.46652719665272,-1.1071671385922017
all,10,3,5,12,163546,7183,4648,2.842013867658029,4.392036491262397,-0.4185989366683295,-6.761565836298933,0.01719583375745934,7.1497418244406195,-1.167426530318696
bull_quiet_bull_volatile,10,3,5,12,90861,3772,2567,2.825194527905262,4.1513960885308325,-0.35306565568359727,-7.067905365508016,-0.10130834732835084,7.133619010518115,-1.2349607090308532
all,10,3,5,24,163546,11467,8033,4.911767942964059,7.011483007838773,-0.703188329963705,-6.839629017531509,1.8443433504066904,12.341092991410433,-1.3997725239813867
bull_quiet_bull_volatile,10,3,5,24,90861,6185,4538,4.994442059849661,6.807100956405939,-0.655259550514714,-7.14285714285714,2.0191256739428898,12.559717937417364,-1.503758278689522
all,10,5,2,4,163546,3788,1452,0.88782360925978,2.3161679282892886,-0.23216427853786303,-6.7133806477208955,1.7130335062211777,4.0,-0.5091491603232642
bull_quiet_bull_volatile,10,5,2,4,90861,1958,813,0.8947733350942649,2.154939963240554,-0.16096565344726152,-7.007206285740857,2.0415666627842923,4.0,-0.5204527352847368
all,10,5,2,8,163546,5459,2136,1.306054565687941,3.3378988174580857,-0.3243046118661564,-6.7327645838136965,2.8777160521453906,5.280898876404494,-0.6069698151208629
bull_quiet_bull_volatile,10,5,2,8,90861,2892,1236,1.3603196090731997,3.18288374550137,-0.2617674324338924,-7.034145312664765,3.3757077820698913,5.368932038834951,-0.6261337027802255
all,10,5,2,12,163546,7183,2868,1.753635062918078,4.392036491262397,-0.4185989366683295,-6.761565836298933,3.573576599235902,6.99581589958159,-0.6741805906381937
bull_quiet_bull_volatile,10,5,2,12,90861,3772,1619,1.7818425947326137,4.1513960885308325,-0.35306565568359727,-7.067905365508016,4.113281724799506,6.9376158122297715,-0.6995665418928249
all,10,5,2,24,163546,11467,4807,2.939234221564575,7.011483007838773,-0.703188329963705,-6.839629017531509,5.351849271189775,12.079051383399209,-0.7621410177649585
bull_quiet_bull_volatile,10,5,2,24,90861,6185,2698,2.969370797151693,6.807100956405939,-0.655259550514714,-7.14285714285714,6.149387086439162,12.051890289103039,-0.7922322171416413
all,10,5,3,4,163546,3788,1593,0.9740378853655852,2.3161679282892886,-0.23216427853786303,-6.7133806477208955,0.8773334061522404,4.0,-0.6766401916340167
bull_quiet_bull_volatile,10,5,3,4,90861,1958,895,0.985021076149283,2.154939963240554,-0.16096565344726152,-7.007206285740857,1.003717072503674,4.0,-0.6914034149596144
all,10,5,3,8,163546,5459,2412,1.474814425299304,3.3378988174580857,-0.3243046118661564,-6.7327645838136965,1.8477348822368616,5.358208955223881,-0.8140399727273653
bull_quiet_bull_volatile,10,5,3,8,90861,2892,1398,1.53861392676726,3.18288374550137,-0.2617674324338924,-7.034145312664765,2.215807329798019,5.439198855507868,-0.8322748975729201
all,10,5,3,12,163546,7183,3302,2.01900382766928,4.392036491262397,-0.4185989366683295,-6.761565836298933,2.4344900727878667,7.14839491217444,-0.9045999847262451
bull_quiet_bull_volatile,10,5,3,12,90861,3772,1874,2.06249105776956,4.1513960885308325,-0.35306565568359727,-7.067905365508016,2.8561935286299303,7.105656350053362,-0.9329776650346251
all,10,5,3,24,163546,11467,5796,3.543957051838626,7.011483007838773,-0.703188329963705,-6.839629017531509,4.143878224148479,12.521048999309869,-1.0474357893723867
bull_quiet_bull_volatile,10,5,3,24,90861,6185,3314,3.6473294372723166,6.807100956405939,-0.655259550514714,-7.14285714285714,4.820569304598939,12.604707302353651,-1.0961162192129468
all,10,5,5,4,163546,3788,1695,1.0364056595697846,2.3161679282892886,-0.23216427853786303,-6.7133806477208955,0.0466533042806376,4.0,-0.8607204447708356
bull_quiet_bull_volatile,10,5,5,4,90861,1958,959,1.0554583374605166,2.154939963240554,-0.16096565344726152,-7.007206285740857,-0.21261225346046264,4.0,-0.8980336569695935
all,10,5,5,8,163546,5459,2619,1.6013843200078266,3.3378988174580857,-0.3243046118661564,-6.7327645838136965,0.6813587190335105,5.411225658648339,-1.048444144919173
bull_quiet_bull_volatile,10,5,5,8,90861,2892,1526,1.6794884493897273,3.18288374550137,-0.2617674324338924,-7.034145312664765,0.5947408090630467,5.486238532110092,-1.0829110997796045
all,10,5,5,12,163546,7183,3627,2.217724676849327,4.392036491262397,-0.4185989366683295,-6.761565836298933,1.1548511232479466,7.242349048800662,-1.163219767733479
bull_quiet_bull_volatile,10,5,5,12,90861,3772,2082,2.2914121570310693,4.1513960885308325,-0.35306565568359727,-7.067905365508016,1.0677119289701185,7.2257444764649374,-1.2216767833466273
all,10,5,5,24,163546,11467,6697,4.094872390642388,7.011483007838773,-0.703188329963705,-6.839629017531509,2.4499147184829475,12.948484395998209,-1.420357074997951
bull_quiet_bull_volatile,10,5,5,24,90861,6185,3901,4.293371193361288,6.807100956405939,-0.655259550514714,-7.14285714285714,2.568912153398013,13.10023071007434,-1.5133710979571038
all,15,0,2,4,163546,1857,1256,0.767979650985044,1.1354603597764543,-0.18379322614242305,-6.718346253229979,3.475198115107974,4.0,-0.44857998880211014
bull_quiet_bull_volatile,15,0,2,4,90861,938,616,0.6779586401206238,1.032346111092768,-0.10906871027622711,-7.010086936310193,4.255256782431893,4.0,-0.446697885744166
