feature,label,n,base_rate,top_decile_prec,bot_decile_prec,signal_dir,signal_decile_prec,signal_decile_n,lift,oos_prec,oos_base,oos_lift,oos_n,n_folds_used
f_ret_1d,lab_pump20,191152,0.016777224407801123,0.052312199204854574,0.024063611634233102,high,0.052312199204854574,19116,3.1180484884335393,0.05145603618886062,0.017989329497327712,2.8603643174418667,17685,5
f_ret_3d,lab_pump20,190640,0.016638690725975663,0.051563155686109946,0.020719681074276124,high,0.051563155686109946,19064,3.0989911727616644,0.051089180406787824,0.018070655612545165,2.827190197311948,16618,5
f_roc_3d,lab_pump20,190640,0.016638690725975663,0.051563155686109946,0.020719681074276124,high,0.051563155686109946,19064,3.0989911727616644,0.051089180406787824,0.018070655612545165,2.827190197311948,16618,5
f_ret_7d,lab_pump20,189616,0.01650177200236267,0.04809619238476954,0.0212002953274971,high,0.04809619238476954,18962,2.9146077389678684,0.05075481520041645,0.01827784389606468,2.776849145283719,15368,5
f_roc_7d,lab_pump20,189616,0.01650177200236267,0.04809619238476954,0.0212002953274971,high,0.04809619238476954,18962,2.9146077389678684,0.05075481520041645,0.01827784389606468,2.776849145283719,15368,5
f_qv_surge_7d,lab_pump20,189872,0.016521656695036656,0.04581841162839688,0.016852749104697702,high,0.04581841162839688,18988,2.7732334882712695,0.04827107521453811,0.017561835631211206,2.7486349507081083,15848,5
f_ret7d_xs_decile,lab_pump20,189616,0.01650177200236267,0.045933973209577046,0.018299757409555955,high,0.045933973209577046,18962,2.783578224387076,0.047068891741549,0.017172006969937224,2.741024495503164,16359,5
f_ret3d_xs_decile,lab_pump20,190640,0.016638690725975663,0.04626521191775074,0.021086865295845574,high,0.04626521191775074,19064,2.780580075662043,0.04728535738224362,0.017342595664257214,2.726544416860154,16411,5
f_vol_surge_7d,lab_pump20,189872,0.016521656695036656,0.04502843901411418,0.01669475458184116,high,0.04502843901411418,18988,2.7254191177838343,0.04694689715209551,0.017488944724264145,2.6843756379972676,16082,5
f_qvsurge_xs_decile,lab_pump20,189872,0.016521656695036656,0.04276385085317042,0.0195386559932589,high,0.04276385085317042,18988,2.588351255719852,0.04416885576394404,0.017192090135539306,2.569138215058485,16369,5
f_qv_ma7_vs_ma30,lab_pump20,183984,0.01600682668058092,0.043861079406489485,0.01271808250448394,high,0.043861079406489485,18399,2.7401483305682723,0.04548458811512347,0.01770443857900332,2.569106493388962,16643,5
f_ret_14d,lab_pump20,187824,0.016275875287503194,0.04599904168663153,0.02438375126444125,high,0.04599904168663153,18783,2.8262100116944326,0.04684741488020176,0.018402431257833127,2.5457187816017965,15860,5
f_qv_rank,lab_pump20,191408,0.016848825545431746,0.014367065461574631,0.03813802831617993,low,0.03813802831617993,19141,2.26354223998244,0.042771883289124665,0.016981777229813682,2.518692991333861,12064,5
f_log_qv,lab_pump20,191408,0.016848825545431746,0.04169061177576929,0.010657750378768089,high,0.04169061177576929,19141,2.4743927500082012,0.044981899406916735,0.017879547968335945,2.515829789801068,12983,5
f_rv_7d,lab_pump20,190384,0.016634801243802,0.0507379589264142,0.0053049004674615265,high,0.0507379589264142,19039,3.0501091165918663,0.045814938282728174,0.018419112140322238,2.487358670368932,22198,5
f_qv_rank_pct,lab_pump20,191408,0.016848825545431746,0.0406979781620605,0.010918969750796719,high,0.0406979781620605,19141,2.415478636912768,0.04193509177099793,0.017545966348251684,2.3900132337354236,16454,5
f_atr_xs_decile,lab_pump20,189872,0.016521656695036656,0.03818200969033073,0.007057088687592163,high,0.03818200969033073,18988,2.3110279068927246,0.039648115339971896,0.017192090135539306,2.30618354297781,16369,5
f_bb_width,lab_pump20,186544,0.01618384938673986,0.04379522916108282,0.0050924685071026534,high,0.04379522916108282,18655,2.706107064797957,0.04019098831819025,0.017824034595727473,2.2548760272168833,21572,5
f_rsi_14,lab_pump20,189872,0.016521656695036656,0.036707394143669685,0.017326732673267328,high,0.036707394143669685,18988,2.2217744153161783,0.03914958029448191,0.017884850780312708,2.1889799795018137,14534,5
f_range_contraction_7d,lab_pump20,188080,0.01628562313908975,0.011590812420246703,0.03349638451722671,low,0.03349638451722671,18808,2.056807051909892,0.03657055175500288,0.017099130342719274,2.1387375276997314,15641,5
f_rv_21d,lab_pump20,188848,0.016404727611624162,0.04447974583002383,0.005824728620598359,high,0.04447974583002383,18885,2.711398011784487,0.03945231930486681,0.018642720807251902,2.1162318372284,22787,5
f_bb_width_pctile_60,lab_pump20,179120,0.01568780705672175,0.03478115230013399,0.0073693613220187585,high,0.03478115230013399,17912,2.217081850533808,0.034991369841518905,0.017383635079605865,2.012891416627244,19119,5
f_qv_rank_chg_3d,lab_pump20,190640,0.016638690725975663,0.04039026437263953,0.016995383969785983,high,0.04039026437263953,19064,2.4274905422446404,0.035754282633041604,0.01809148302706276,1.9763046832345001,24109,5
f_atr_pct_14,lab_pump20,189872,0.016521656695036656,0.0412365704655572,0.005213819254265852,high,0.0412365704655572,18988,2.4959101394441428,0.03692750379665894,0.018861923057193614,1.9577804280447122,25022,5
f_pos_in_20d_range,lab_pump20,186544,0.01618384938673986,0.03141248994907531,0.012704368801929778,high,0.03141248994907531,18655,1.9409776499040425,0.031018518518518518,0.01721314527393749,1.802025023601225,15120,5
f_drawdown_7d,lab_pump20,189872,0.016521656695036656,0.013324204760901622,0.034126816937012854,low,0.034126816937012854,18988,2.065580805057222,0.0309247311827957,0.01777440395161025,1.7398463131020554,23250,5
f_dist_from_60d_high,lab_pump20,176304,0.015564025773663672,0.027451647666042765,0.025239634734274857,high,0.027451647666042765,17631,1.7637883710328002,0.028388615135691696,0.017313520073940984,1.6396789915887826,13597,5
f_dist_from_20d_high,lab_pump20,186544,0.01618384938673986,0.02026266416510319,0.030125971589386225,low,0.030125971589386225,18655,1.8614836847202596,0.028348608185802926,0.01748235915553448,1.621555073522698,17567,5
f_up_streak,lab_pump20,191408,0.016848825545431746,0.028681887048743533,0.007888825035264614,high,0.028681887048743533,19141,1.7023077941785745,0.026856991805445415,0.017403197847896384,1.5432216561677348,18915,5
f_qv_spiked_yday,lab_pump20,191408,0.016848825545431746,0.02732354631419466,0.011023457499608171,high,0.02732354631419466,19141,1.6216884815216657,0.017554686142582397,0.017554686142582397,1.0,166907,5
f_near_20d_high,lab_pump20,191408,0.016848825545431746,0.02089754976229037,0.011702627866882608,high,0.02089754976229037,19141,1.240297117798597,0.017554686142582397,0.017554686142582397,1.0,166907,5
f_ret7d_xs_decile,lab_pumpc20,189616,0.004261243776896464,0.015135534226347431,0.00501002004008016,high,0.015135534226347431,18962,3.5519052696325426,0.01577113515496057,0.004447304167144551,3.546223636213898,16359,5
f_qv_surge_30d,lab_pumpc20,183984,0.004076441429689538,0.014131202782759932,0.0022827327572150662,high,0.014131202782759932,18399,3.4665536170444042,0.015591329699581696,0.0046885367082922895,3.325414872407076,15778,5
f_qv_rank,lab_pumpc20,191408,0.004378082420797459,0.002246486599446215,0.013113212475837207,low,0.013113212475837207,19141,2.9951954338604394,0.015417771883289124,0.004644585808020258,3.319514919213196,12064,5
f_ret_7d,lab_pumpc20,189616,0.004261243776896464,0.01550469359772176,0.00569560172977534,high,0.01550469359772176,18962,3.638537105477239,0.01698334200937012,0.005289217419099104,3.2109366402757633,15368,5
f_roc_7d,lab_pumpc20,189616,0.004261243776896464,0.01550469359772176,0.00569560172977534,high,0.01550469359772176,18962,3.638537105477239,0.01698334200937012,0.005289217419099104,3.2109366402757633,15368,5
f_bounce_off_7d_low,lab_pumpc20,189872,0.004271298559029241,0.01669475458184116,0.00163261006951759,high,0.01669475458184116,18988,3.9085899407686124,0.017223620965896087,0.005382138372269345,3.2001445846576875,17476,5
f_ret3d_xs_decile,lab_pumpc20,190640,0.004296055392362568,0.013480906420478389,0.00629458665547629,high,0.013480906420478389,19064,3.1379731379731384,0.01413685942355737,0.004485937765792621,3.1513721682359375,16411,5
f_qv_rank_pct,lab_pumpc20,191408,0.004378082420797459,0.013531163471083015,0.002194242725040489,high,0.013531163471083015,19141,3.0906598301587804,0.0143430168955877,0.004580958338230263,3.131007932529847,16454,5
f_log_qv,lab_pumpc20,191408,0.004378082420797459,0.014732772582414712,0.0016718039809832297,high,0.014732772582414712,19141,3.3651199695165097,0.01663714087653085,0.005419182826422925,3.0700460584963576,12983,5
f_ret_3d,lab_pumpc20,190640,0.004296055392362568,0.014477549307595467,0.005717582878724297,high,0.014477549307595467,19064,3.36996336996337,0.014923576844385606,0.005086803709728798,2.93378272407945,16618,5
f_roc_3d,lab_pumpc20,190640,0.004296055392362568,0.014477549307595467,0.005717582878724297,high,0.014477549307595467,19064,3.36996336996337,0.014923576844385606,0.005086803709728798,2.93378272407945,16618,5
f_ret_1d,lab_pumpc20,191152,0.004352557127312296,0.013915044988491316,0.006852898095835949,high,0.013915044988491316,19116,3.19698158610588,0.014475544246536612,0.0049856581928994816,2.9034369558572064,17685,5
f_ret_14d,lab_pumpc20,187824,0.0041900928528835505,0.014853857211308098,0.006229036895064686,high,0.014853857211308098,18783,3.5449947609361274,0.016078184110970995,0.005568266434670138,2.8874667366601074,15860,5
f_qv_ma7_vs_ma30,lab_pumpc20,183984,0.004076441429689538,0.012337627044948094,0.0026631882167509105,high,0.012337627044948094,18399,3.026567965650307,0.013218770654329148,0.004716359885011422,2.802748512966189,16643,5
f_atr_xs_decile,lab_pumpc20,189872,0.004271298559029241,0.011954918896144934,0.0012112913419001475,high,0.011954918896144934,18988,2.7988956358185337,0.012462581709328608,0.004455625032561769,2.7970445489133153,16369,5
f_rv_7d,lab_pumpc20,190384,0.004291327002269098,0.014969273596302327,0.0010504753400913914,high,0.014969273596302327,19039,3.4882621595574324,0.014055320299126048,0.005092247105050301,2.760141055446132,22198,5
f_bb_width,lab_pumpc20,186544,0.004116991165623124,0.014151701956580005,0.0012329134280353793,high,0.014151701956580005,18655,3.437389439828464,0.013304283330242908,0.004925985351564874,2.7008369657486777,21572,5
