K,cell,kind,floor,cost_tier,extra_slip,mean_n_sell,n,p_loss_lt_5,cvar95,worst,mdd,net_mean,cum,hit,sortino,mean_win,p90_net,h_lt_-10,h_-10_to_-5,h_-5_to_0,h_0_to_+5,h_gt_+5
3,L5,ladder,0.05,base,0.0005,2.192,3732,0.3033226152197213,-0.0515,-0.051500000000000004,-0.9009438872284495,-0.004724678446081391,-0.8826078852854812,0.5286709539121115,-2.9631699384631247,0.02895,0.0375,0.0,0.3033226152197213,0.1680064308681672,0.5286709539121115,0.0
3,S5,single,0.05,base,0.0005,1.0,3732,0.49062165058949625,-0.0515,-0.051500000000000004,-0.8861384719059772,-0.004224412656790916,-0.8669609038621666,0.4654340836012862,-2.221222355744778,0.04689,0.0485,0.0,0.49062165058949625,0.04394426580921758,0.4654340836012862,0.0
3,A,single,0.03,conservative,0.0,1.0,3732,0.0,-0.03499999999999999,-0.034999999999999996,-0.9733859542211939,-0.008167947929466082,-0.9722562360182478,0.3357449088960343,-5.512021648314449,0.04412,0.045,0.0,0.0,0.6642550911039657,0.3357449088960343,0.0
3,L3,ladder,0.03,conservative,0.0,1.909,3732,0.0,-0.03499999999999999,-0.034999999999999996,-0.9757158992468862,-0.008473574945878326,-0.9747876345894219,0.38638799571275456,-6.504369380005001,0.02712,0.035,0.0,0.0,0.6136120042872455,0.38638799571275456,0.0
3,L5,ladder,0.05,conservative,0.0,2.192,3732,0.3033226152197213,-0.055,-0.055,-0.96978232604373,-0.007628483376413649,-0.9657152920257178,0.43113612004287244,-4.456365430751645,0.03278,0.035,0.0,0.3033226152197213,0.2655412647374062,0.43113612004287244,0.0
3,S5,single,0.05,conservative,0.0,1.0,3732,0.49062165058949625,-0.055,-0.055,-0.9727996786508639,-0.0077244126567909115,-0.96972455364561,0.46061093247588425,-3.7988373755670874,0.04386,0.045,0.0,0.49062165058949625,0.04876741693461951,0.46061093247588425,0.0
3,A,single,0.03,conservative,0.0002,1.0,3732,0.0,-0.03499999999999999,-0.034999999999999996,-0.9733859542211939,-0.008167947929466082,-0.9722562360182478,0.3357449088960343,-5.512021648314449,0.04412,0.045,0.0,0.0,0.6642550911039657,0.3357449088960343,0.0
3,L3,ladder,0.03,conservative,0.0002,1.909,3732,0.0,-0.03499999999999999,-0.034999999999999996,-0.9774060536411125,-0.008655407743305981,-0.9766331792666078,0.38638799571275456,-6.6384886102993725,0.02672,0.0346,0.0,0.0,0.6136120042872455,0.38638799571275456,0.0
3,L5,ladder,0.05,conservative,0.0002,2.192,3732,0.3033226152197213,-0.055,-0.055,-0.9725231456857597,-0.007866961404280746,-0.9689736339307776,0.43113612004287244,-4.591437234897769,0.03238,0.0346,0.0,0.3033226152197213,0.2655412647374062,0.43113612004287244,0.0
3,S5,single,0.05,conservative,0.0002,1.0,3732,0.49062165058949625,-0.055,-0.055,-0.9727996786508639,-0.0077244126567909115,-0.96972455364561,0.46061093247588425,-3.7988373755670874,0.04386,0.045,0.0,0.49062165058949625,0.04876741693461951,0.46061093247588425,0.0
