threshold,kind,bin,pred_mean,actual_mean,n,brier
lab_up_30,up,4,0.0031499401078913013,0.0035135135135135136,22200,0.007328679901390123
lab_up_30,up,5,0.0038240361143691277,0.00509009009009009,22200,0.007328679901390123
lab_up_30,up,6,0.004633576999998544,0.005225225225225226,22200,0.007328679901390123
lab_up_30,up,7,0.005554420792682098,0.007972972972972973,22200,0.007328679901390123
lab_up_30,up,8,0.013258335499060548,0.0159009009009009,22200,0.007328679901390123
lab_up_30,up,9,0.023249596679611687,0.019954954954954956,22200,0.007328679901390123
lab_dn_5,down,0,0.10068112838345154,0.1499099099099099,22200,0.19715367147825122
lab_dn_5,down,1,0.13840165564934664,0.22252252252252253,22200,0.19715367147825122
lab_dn_5,down,2,0.16103901623305084,0.23396396396396396,22200,0.19715367147825122
lab_dn_5,down,3,0.17913456695693936,0.25207207207207205,22200,0.19715367147825122
lab_dn_5,down,4,0.19883945792935315,0.2675225225225225,22200,0.19715367147825122
lab_dn_5,down,5,0.21825736056196518,0.27045045045045046,22200,0.19715367147825122
lab_dn_5,down,6,0.23985696126051043,0.27797297297297296,22200,0.19715367147825122
lab_dn_5,down,7,0.2651852709955268,0.28806306306306306,22200,0.19715367147825122
lab_dn_5,down,8,0.35248402247374716,0.3585135135135135,22200,0.19715367147825122
lab_dn_5,down,9,0.43313737254413237,0.4742342342342342,22200,0.19715367147825122
lab_dn_10,down,0,0.011613166505220103,0.027117117117117118,22200,0.05473011706386711
lab_dn_10,down,1,0.018361094751559354,0.04274774774774775,22200,0.05473011706386711
lab_dn_10,down,2,0.022743342587206637,0.054324324324324325,22200,0.05473011706386711
lab_dn_10,down,3,0.027171404854694083,0.0509009009009009,22200,0.05473011706386711
lab_dn_10,down,4,0.033250164309369695,0.053423423423423426,22200,0.05473011706386711
lab_dn_10,down,5,0.0387887738447899,0.05783783783783784,22200,0.05473011706386711
lab_dn_10,down,6,0.04240102099867993,0.05454954954954955,22200,0.05473011706386711
lab_dn_10,down,7,0.051885196327335716,0.0431981981981982,22200,0.05473011706386711
lab_dn_10,down,8,0.07051222964516142,0.07788288288288288,22200,0.05473011706386711
lab_dn_10,down,9,0.10874711453139825,0.12261261261261261,22200,0.05473011706386711
