market,date,first,both_touched,intraday_max,intraday_min,eod_ret,net_hard_sl_path,net_tp_eod_noSL,net_timestop_4h
KRW-TRX,2026-01-13,none,False,0.018099547511312153,-0.004524886877828038,0.018099547511312153,0.01659954751131215,0.01659954751131215,0.0007624434389140191
KRW-BIO,2026-01-13,tp,False,0.10766721044045702,-0.0032626427406198255,0.08972267536704726,0.0985,0.0985,0.00828792822185981
KRW-KAITO,2026-01-13,tp,False,0.15961945031712466,-0.039112050739957716,0.12473572938689226,0.0985,0.0985,-0.017356236786469303
KRW-IOST,2026-01-13,none,False,0.046025104602510414,-0.004184100418410108,0.03347280334728042,0.03197280334728042,0.03197280334728042,-0.0015
KRW-AUCTION,2026-01-13,none,False,0.04789272030651337,-0.003831417624521105,0.03512132822477643,0.033621328224776426,0.033621328224776426,0.013187100893997496
KRW-AVNT,2026-01-13,none,False,0.044871794871794934,-0.019230769230769273,0.03205128205128216,0.030551282051282158,0.030551282051282158,-0.003636752136752129
KRW-TT,2026-01-13,none,False,0.03977272727272729,-0.011363636363636354,0.02840909090909083,0.026909090909090827,0.026909090909090827,-0.007181818181818232
KRW-ME,2026-01-13,none,False,0.07692307692307687,-0.0033444816053511683,0.0635451505016722,0.0620451505016722,0.0620451505016722,0.011877926421404674
KRW-ONT,2026-01-13,none,False,0.08724100327153761,-0.008724100327153761,0.0447110141766629,0.0432110141766629,0.0432110141766629,0.0017715376226826187
KRW-UNI,2026-01-13,none,False,0.07201516108654449,-0.0025268477574226234,0.06064434617814274,0.05914434617814274,0.05914434617814274,-0.00023657612128874387
KRW-USD1,2026-01-13,none,False,0.0033967391304348116,-0.006114130434782594,-0.0027173913043477826,-0.004217391304347782,-0.004217391304347782,-0.0008206521739130821
KRW-OPEN,2026-01-13,none,False,0.05439330543933063,-0.008368200836820106,0.046025104602510414,0.04452510460251041,0.04452510460251041,0.006868200836819995
KRW-AQT,2026-01-13,none,False,0.04814004376367609,-0.01422319474835887,0.029540481400437635,0.028040481400437633,0.028040481400437633,-0.002594091903719896
KRW-SEI,2026-01-13,none,False,0.08045977011494254,0.0,0.06896551724137923,0.06746551724137922,0.06746551724137922,0.009994252873563316
KRW-VET,2026-01-13,none,False,0.08982035928143706,-0.0059880239520956335,0.06586826347305408,0.06436826347305408,0.06436826347305408,0.004488023952095967
KRW-HIVE,2026-01-15,sl,False,0.0062893081761006275,-0.05031446540880502,-0.03144654088050314,-0.051500000000000004,-0.03294654088050314,-0.02665723270440251
KRW-FLUID,2026-01-15,none,False,0.017016806722689015,-0.03361344537815125,0.017016806722689015,0.015516806722689016,0.015516806722689016,-0.02586974789915969
KRW-ERA,2026-01-15,none,False,0.052959501557632294,-0.012461059190031154,0.028037383177569986,0.026537383177569984,0.026537383177569984,-0.004615264797507788
KRW-ETH,2026-01-15,none,False,0.010372178157413092,-0.021354484441732713,-0.005287777099857616,-0.006787777099857615,-0.006787777099857615,-0.020210595891803906
KRW-ZK,2026-01-15,none,False,0.05384615384615388,-0.04807692307692313,-0.0346153846153846,-0.036115384615384605,-0.036115384615384605,-0.03226923076923077
KRW-ZRX,2026-01-15,none,False,0.0714285714285714,-0.023809523809523836,0.04761904761904767,0.04611904761904767,0.04611904761904767,-0.020547619047619092
KRW-AQT,2026-01-15,none,False,0.011702127659574568,-0.03510638297872337,-0.023404255319148914,-0.024904255319148916,-0.024904255319148916,-0.011074468085106424
KRW-ICX,2026-01-15,none,False,0.007900677200902928,-0.04514672686230248,-0.02934537246049651,-0.030845372460496512,-0.030845372460496512,-0.029716704288939078
KRW-NEO,2026-01-15,none,False,0.006814310051107331,-0.04429301533219765,-0.035775127768313486,-0.03727512776831349,-0.03727512776831349,-0.02109114139693352
KRW-ORBS,2026-01-15,none,False,0.06586826347305408,-0.017964071856287456,0.0,-0.0015,-0.0015,0.01047604790419149
KRW-BCH,2026-01-15,none,False,0.051252847380409916,-0.03189066059225509,-0.006833712984054663,-0.008333712984054662,-0.008333712984054662,0.0024863325740319144
KRW-LAYER,2026-01-15,sl,False,0.07200000000000006,-0.06000000000000005,-0.03600000000000003,-0.051500000000000004,-0.03750000000000003,-0.01350000000000001
KRW-ONDO,2026-01-15,sl,False,0.0,-0.05942275042444822,-0.04753820033955858,-0.051500000000000004,-0.04903820033955858,-0.040549235993208865
KRW-W,2026-01-15,sl,False,0.04448398576512447,-0.06227758007117434,-0.039145907473309705,-0.051500000000000004,-0.040645907473309706,-0.024631672597864862
KRW-NXPC,2026-01-15,none,False,0.012345679012345734,-0.024691358024691357,-0.007054673721340388,-0.008554673721340387,-0.008554673721340387,-0.024427689594356317
KRW-VTHO,2026-01-15,none,False,0.023809523809523725,-0.031746031746031744,0.0,-0.0015,-0.0015,-0.009436507936507908
KRW-WLFI,2026-01-15,none,False,0.0077821011673151474,-0.04280155642023342,-0.0311284046692607,-0.0326284046692607,-0.0326284046692607,-0.02873735408560313
KRW-WLD,2026-01-15,sl,False,0.005688282138794021,-0.06939704209328779,-0.056882821387940874,-0.051500000000000004,-0.058382821387940875,-0.03562969283276446
KRW-AAVE,2026-01-15,none,False,0.002295332823259333,-0.044376434583014546,-0.03175210405508799,-0.033252104055087994,-0.033252104055087994,-0.03057421576128544
KRW-1INCH,2026-01-15,none,False,0.017094017094017033,-0.042735042735042694,-0.02564102564102566,-0.027141025641025662,-0.027141025641025662,-0.018594017094017146
KRW-MANA,2026-01-15,none,False,0.0,-0.04977375565610864,-0.03619909502262442,-0.03769909502262442,-0.03769909502262442,-0.03769909502262442
KRW-IQ,2026-01-15,none,False,0.003968253968253954,-0.04365079365079361,-0.02777777777777768,-0.02927777777777768,-0.02927777777777768,-0.021341269841269772
KRW-PUNDIX,2026-01-15,none,False,0.0,-0.030470914127423865,-0.01939058171745156,-0.020890581717451562,-0.020890581717451562,-0.009810249307479256
KRW-KNC,2026-01-15,none,False,0.0,-0.0393258426966292,-0.028089887640449396,-0.029589887640449397,-0.029589887640449397,-0.023971910112359607
KRW-CRO,2026-01-15,none,False,0.0066225165562914245,-0.026490066225165587,-0.019867549668874163,-0.021367549668874164,-0.021367549668874164,-0.021367549668874164
KRW-SONIC,2026-01-15,none,False,0.008928571428571397,-0.044642857142857095,-0.0267857142857143,-0.028285714285714303,-0.028285714285714303,-0.019357142857142906
KRW-ASTR,2026-01-15,sl,False,0.0,-0.059523809523809534,-0.03571428571428581,-0.051500000000000004,-0.03721428571428581,-0.03126190476190477
KRW-FLOCK,2026-01-15,sl,False,0.02898550724637672,-0.05797101449275366,-0.036231884057971064,-0.051500000000000004,-0.037731884057971066,-0.023239130434782596
KRW-TT,2026-01-15,none,False,0.03333333333333344,-0.01666666666666672,-0.011111111111111072,-0.012611111111111071,-0.012611111111111071,0.020722222222222142
KRW-BSV,2026-01-15,none,False,0.04004106776180705,-0.02053388090349073,-0.000684462696783017,-0.002184462696783017,-0.002184462696783017,-0.019638261464750173
KRW-XAUT,2026-01-15,none,False,0.006212098801952282,-0.005472563230291327,0.0026623280579796127,0.0011623280579796127,0.0011623280579796127,-0.0037186067149829736
KRW-VANA,2026-01-15,sl,False,0.04065484311050471,-0.058663028649386106,-0.05184174624829463,-0.051500000000000004,-0.05334174624829463,-0.04351909959072303
KRW-WAL,2026-01-15,sl,False,0.0,-0.06866952789699576,-0.05150214592274682,-0.051500000000000004,-0.053002145922746824,-0.051500000000000004
KRW-ARKM,2026-01-15,sl,False,0.006309148264984188,-0.06940063091482651,-0.050473186119873836,-0.051500000000000004,-0.05197318611987384,-0.03935488958990535
KRW-QKC,2026-01-15,none,False,0.006106870229007688,-0.016793893129770865,-0.013740458015267132,-0.015240458015267131,-0.015240458015267131,-0.004553435114503733
KRW-CPOOL,2026-01-15,none,False,0.0,-0.03397027600849256,-0.025477707006369532,-0.026977707006369533,-0.026977707006369533,-0.026977707006369533
KRW-TRX,2026-01-15,none,False,0.03363228699551568,-0.004484304932735439,0.03363228699551568,0.03213228699551568,0.03213228699551568,0.002984304932735439
KRW-MASK,2026-01-15,sl,False,0.0,-0.06796116504854366,-0.05242718446601946,-0.051500000000000004,-0.05392718446601946,-0.04616019417475731
KRW-KERNEL,2026-01-15,none,False,0.02678571428571419,-0.0357142857142857,-0.017857142857142905,-0.019357142857142906,-0.019357142857142906,-0.0015
KRW-OP,2026-01-15,none,False,0.058252427184465994,-0.03689320388349515,-0.025242718446601975,-0.026742718446601976,-0.026742718446601976,-0.013150485436893176
KRW-A,2026-01-15,sl,False,0.0,-0.05681818181818177,-0.04166666666666663,-0.051500000000000004,-0.04316666666666663,-0.028015151515151493
KRW-SUPER,2026-01-15,none,False,0.050000000000000044,-0.04062500000000002,-0.021874999999999978,-0.02337499999999998,-0.02337499999999998,-0.013999999999999955
KRW-BREV,2026-01-15,sl,False,0.09071729957805896,-0.05696202531645567,-0.03164556962025311,-0.051500000000000004,-0.03314556962025311,-0.051500000000000004
KRW-ARB,2026-01-15,sl,False,0.006269592476489061,-0.050156739811912265,-0.028213166144200663,-0.051500000000000004,-0.029713166144200664,-0.026578369905956134
KRW-F,2026-01-15,none,False,0.0,-0.03069306930693072,0.0,-0.0015,-0.0015,-0.028232673267326647
KRW-HOLO,2026-01-15,tp,False,0.12389380530973448,-0.026548672566371723,0.0,0.0985,0.0985,0.02504867256637172
KRW-ELF,2026-01-15,sl,False,0.0,-0.05769230769230771,-0.05128205128205132,-0.051500000000000004,-0.05278205128205132,-0.051500000000000004
KRW-HUNT,2026-01-15,none,False,0.07623318385650224,-0.03139013452914796,-0.017937219730941756,-0.019437219730941757,-0.019437219730941757,0.007468609865470878
KRW-AWE,2026-01-15,none,False,0.0011890606420927874,-0.04637336504161704,-0.03923900118906065,-0.04073900118906065,-0.04073900118906065,-0.01814684898929836
KRW-TAIKO,2026-01-15,none,False,0.003731343283582156,-0.03731343283582089,-0.02985074626865669,-0.03135074626865669,-0.03135074626865669,-0.020156716417910447
KRW-FCT2,2026-01-15,sl,False,0.004484304932735439,-0.058295964125560595,-0.04035874439461895,-0.051500000000000004,-0.04185874439461895,-0.028405829596412635
KRW-PENDLE,2026-01-15,sl,False,0.002130249543518037,-0.06390748630553866,-0.05051734631771154,-0.051500000000000004,-0.052017346317711544,-0.029497565429093153
KRW-POWR,2026-01-15,none,False,0.0071428571428571175,-0.02857142857142858,-0.021428571428571463,-0.022928571428571465,-0.022928571428571465,-0.022928571428571465
KRW-ANKR,2026-01-15,sl,False,0.009345794392523477,-0.06542056074766345,-0.04672897196261683,-0.051500000000000004,-0.04822897196261683,-0.029537383177569987
KRW-CYBER,2026-01-15,none,False,0.002640845070422504,-0.0484154929577465,-0.029049295774647876,-0.030549295774647878,-0.030549295774647878,-0.03319014084507038
KRW-MOC,2026-01-15,none,False,0.00910746812386165,-0.02732240437158473,-0.02003642987249543,-0.021536429872495433,-0.021536429872495433,-0.023357923497267674
KRW-COMP,2026-01-15,none,False,0.00871948181365223,-0.03512705530642746,-0.01868460388639759,-0.02018460388639759,-0.02018460388639759,-0.01794245142002987
KRW-ENS,2026-01-15,sl,False,0.0,-0.05941213258286426,-0.04502814258911825,-0.051500000000000004,-0.04652814258911825,-0.03214415259537212
