pattern,feature,regime,n_fire,hit_high20_rate,hit_high15_rate,n_spike15,pump_then_dump_rate,spike_fade_rate,sustain_rate,mean_retention,net_eod_mean,net_eod_med,net_tp_eod_mean,net_tp_sl_mean,net_eod_winrate,net_tp_sl_winrate,mean_o2h,mean_o2c,mean_o2l
bounce_7d_low,f_bounce_off_7d_low,ALL,19735,0.05021535343298708,0.08923232835064605,1761,0.12152186257808063,0.5264054514480409,0.7427597955706985,0.42452437016931815,-0.00432771769969173,-0.01069804541537783,-0.0011171298321298322,-0.009123875708774,0.4192551304788447,0.3506460602989612,0.06091531096353216,-0.0028277176996917286,-0.056823290176832464
bounce_7d_low,f_bounce_off_7d_low,bull_quiet,6213,0.04522774826975696,0.08112023177209078,504,0.13095238095238096,0.4742063492063492,0.748015873015873,0.43118301707187845,-0.006215003804745778,-0.014286761940580926,-0.003435957881223163,-0.010062732209887234,0.4049573474971833,0.345565749235474,0.058517587956033894,-0.004715003804745777,-0.05552254760312785
bounce_7d_low,f_bounce_off_7d_low,bull_volatile,7536,0.051618895966029726,0.09102972399150742,686,0.09475218658892129,0.4956268221574344,0.793002915451895,0.4710859611530706,-0.000747734146007014,-0.005893346748374882,0.00097672444202458,-0.009021650008842176,0.45621019108280253,0.3560244161358811,0.062051688736342425,0.0007522658539929868,-0.06219773080863607
bounce_7d_low,f_bounce_off_7d_low,bear_quiet,1852,0.04319654427645788,0.08531317494600432,158,0.0949367088607595,0.4620253164556962,0.7721518987341772,0.49110667180994266,-0.00113881162641738,-0.00641086975186078,0.0009679466194985756,-0.004440304676005883,0.4379049676025918,0.40010799136069114,0.05756048896732006,0.00036118837358262146,-0.04550095009314487
bounce_7d_low,f_bounce_off_7d_low,bear_volatile,4134,0.0582970488630866,0.09990324141267537,413,0.16464891041162227,0.6658595641646489,0.6416464891041163,0.3135868081524578,-0.009445981254982323,-0.015769424987786662,-0.002383208383031284,-0.009997419730534104,0.36502177068214803,0.326318335752298,0.06395025060713964,-0.007945981254982321,-0.05405326183724466
mom_ret_7d,f_ret_7d,ALL,15899,0.04830492483804013,0.08786716145669539,1397,0.11381531853972798,0.513242662848962,0.7523264137437365,0.4326550490205426,-0.001840807288619462,-0.00708659217878199,0.0011101452009742716,-0.007285314906365432,0.4408453361846657,0.37165859488018116,0.060302048742901494,-0.00034080728861946095,-0.05409726095693882
mom_ret_7d,f_ret_7d,bull_quiet,4908,0.042787286063569685,0.07864710676446618,386,0.12176165803108809,0.46632124352331605,0.7564766839378239,0.43533191850087877,-0.0022887584438014016,-0.005649154675415933,0.00022819882542288053,-0.006398163344121703,0.44885900570497145,0.3903830480847596,0.05788304663407473,-0.0007887584438014001,-0.05095884804989256
mom_ret_7d,f_ret_7d,bull_volatile,6451,0.05130987443807162,0.0922337622074097,595,0.0957983193277311,0.5092436974789916,0.7798319327731092,0.4615120756237976,0.0028948447309368494,-0.002597293343087058,0.004883835682697845,-0.0067102085737594155,0.47760037203534333,0.3790110060455743,0.06256617776708985,0.004394844730936851,-0.058176308106971934
mom_ret_7d,f_ret_7d,bear_quiet,2182,0.0384967919340055,0.07195233730522456,157,0.07643312101910828,0.4585987261146497,0.7961783439490446,0.49660646015498333,-0.0026526815997471656,-0.008189038031325589,-0.0008459058275121389,-0.005173954472816829,0.4129239230064161,0.38359303391384053,0.05204716240075525,-0.0011526815997471643,-0.04377417184952039
mom_ret_7d,f_ret_7d,bear_volatile,2358,0.060644614079728584,0.10983884648006785,259,0.16602316602316602,0.6254826254826255,0.6563706563706564,0.32360650077168673,-0.013112918044193747,-0.020304064336916616,-0.005568133485300197,-0.012658995688866146,0.34944868532654794,0.3015267175572519,0.06678157716259861,-0.011612918044193747,-0.05902278165893472
mom_ret_3d,f_ret_3d,ALL,17042,0.04964206079098697,0.0858467316042718,1463,0.1291866028708134,0.5543403964456596,0.7313738892686261,0.4015723282889815,-0.00343235982749317,-0.008817073170731935,0.00012730294892957937,-0.006953850179044802,0.42442201619528225,0.37184602746156553,0.059144261535651395,-0.001932359827493169,-0.051739033386860075
mom_ret_3d,f_ret_3d,bull_quiet,5737,0.04148509674045669,0.07303468711870316,419,0.13126491646778043,0.5202863961813843,0.7374701670644391,0.4098963575786134,-0.004583545593439042,-0.010263977062291705,-0.0017190012292340273,-0.006827172311396067,0.413107896112951,0.3731915635349486,0.05468948690357936,-0.00308354559343904,-0.049424854829952965
mom_ret_3d,f_ret_3d,bull_volatile,5330,0.055347091932457786,0.0951219512195122,507,0.09861932938856016,0.5088757396449705,0.7790927021696252,0.45538573630388646,0.0011015552037439012,-0.00503702777083914,0.0032763661444484065,-0.007297271840941406,0.46153846153846156,0.3690431519699812,0.06368377971392372,0.0026015552037439026,-0.05786005641791555
mom_ret_3d,f_ret_3d,bear_quiet,2280,0.04429824561403509,0.07719298245614035,176,0.06818181818181818,0.4602272727272727,0.8068181818181818,0.4879463939599663,0.001600669830183537,-0.0020091692413991545,0.00364664448754492,-0.0010674769547116179,0.4644736842105263,0.4368421052631579,0.05504493747528919,0.003100669830183539,-0.04043434393061878
mom_ret_3d,f_ret_3d,bear_volatile,3695,0.05737483085250338,0.09769959404600811,361,0.1994459833795014,0.703601108033241,0.6204986149584487,0.2742232931255305,-0.011290741964642022,-0.015105442176877424,-0.003720155365017301,-0.010287339873299616,0.36373477672530447,0.3336941813261164,0.06204219632093732,-0.009790741964642023,-0.05347816236809972
atr_pct_14,f_atr_pct_14,ALL,31195,0.03385157877865042,0.06629267510819041,2068,0.09816247582205029,0.539651837524178,0.7567698259187621,0.44638994767709816,-0.0027296245452124953,-0.006239336492891821,-0.0005896103963771432,-0.007335207616149015,0.44843724955922426,0.3824971950633114,0.05419891569734593,-0.0012296245452124933,-0.051033703094631275
atr_pct_14,f_atr_pct_14,bull_quiet,11070,0.026196928635953028,0.05275519421860885,584,0.0958904109589041,0.4982876712328767,0.7756849315068494,0.46178604384607536,-0.005155502754438154,-0.008636637877708018,-0.003176667510735439,-0.008251047382085302,0.43342366757000905,0.3814814814814815,0.04955196156316872,-0.0036555027544381527,-0.049768364907707606
atr_pct_14,f_atr_pct_14,bull_volatile,8774,0.030202872122179165,0.06086163665374972,534,0.05056179775280899,0.4288389513108614,0.846441947565543,0.5402330386357977,-0.0009591219298697352,-0.001959667382949336,-0.00028285122061030854,-0.008414388668651447,0.4781171643492136,0.3819238659676316,0.05144118930597169,0.0005408780701302666,-0.05566197138777307
atr_pct_14,f_atr_pct_14,bear_quiet,1449,0.029675638371290544,0.07867494824016563,114,0.19298245614035087,0.5350877192982456,0.6578947368421053,0.4552371813527612,0.0005421941854520623,-0.0015000016666666936,0.0025017651227315168,-0.0008358189620795241,0.46238785369220153,0.4396135265700483,0.054730424003015074,0.0020421941854520636,-0.04408620143902764
atr_pct_14,f_atr_pct_14,bear_volatile,9902,0.04625328216521915,0.08442738840638254,836,0.11722488038277512,0.6399521531100478,0.6997607655502392,0.37448550345023934,-0.002065191452061846,-0.007382352941179502,0.0015784176909364985,-0.006306176450341671,0.4368814380933145,0.3757826701676429,0.0617598042136401,-0.0005651914520618435,-0.049363918972654776
rv_21d,f_rv_21d,ALL,27984,0.03548456260720412,0.06843196112064037,1915,0.11488250652741515,0.5221932114882507,0.741514360313316,0.43817357371605314,-0.0037909460106000234,-0.008122516556291646,-0.0015015976647357685,-0.00802662411836226,0.4323184676958262,0.3726057747284162,0.05353142062981784,-0.0022909460106000216,-0.05098466871844845
rv_21d,f_rv_21d,bull_quiet,9579,0.030378953961791418,0.059191982461634825,567,0.1128747795414462,0.48324514991181655,0.7689594356261023,0.44935047989114607,-0.00567680809083155,-0.009719178082193301,-0.0034850383877034993,-0.008540254133817147,0.42687128092702786,0.37561332080592963,0.0511505775278659,-0.004176808090831549,-0.050980273887663935
rv_21d,f_rv_21d,bull_volatile,8520,0.03345070422535211,0.06502347417840376,554,0.09025270758122744,0.44223826714801445,0.7996389891696751,0.5088616385101303,-0.0018699136335075819,-0.005519191968676005,-0.0008943339166393148,-0.00875885449677902,0.4517605633802817,0.36971830985915494,0.05172328356766062,-0.0003699136335075807,-0.05394139539943013
rv_21d,f_rv_21d,bear_quiet,1684,0.029691211401425176,0.07363420427553444,124,0.1935483870967742,0.5161290322580645,0.6370967741935484,0.43968040099943884,-0.0029705750244594597,-0.002983595845658159,-0.00042933087294702793,-0.0034737547108327983,0.44536817102137766,0.42042755344418054,0.052692279910096125,-0.0014705750244594592,-0.04481979840744923
rv_21d,f_rv_21d,bear_volatile,8201,0.04475064016583343,0.0816973539812218,670,0.12238805970149254,0.6223880597014926,0.6895522388059702,0.3699864986707753,-0.003752417505167821,-0.009630081300821046,-3.594783250142192e-05,-0.007600867178980043,0.41580295085965124,0.3622728935495671,0.05836309198882143,-0.0022524175051678186,-0.049183964946450366
