strategy,rule,cost_pct,n_trades,n_days,avg_trade_net_pct,pos_trade_pct,cum_return_pct,annualized_sharpe,mdd_pct,worst_day_pct
random_top100,TP20_only,0.2,5080,754,-0.01849209930582308,45.80708661417322,-79.03872547128444,-0.7086749016681958,-89.41231820935633,-20.378918914815785
atr_14,TP20_only,0.2,5080,754,-0.20258192262173225,43.09055118110236,-94.19404528483645,-1.1068268551972256,-96.79751134221003,-25.007123524800996
distribution_beta,TP20_only,0.2,5080,754,-0.018510783767374746,43.12992125984252,-97.15070807099845,-1.3941163997822743,-98.5493393647176,-21.50686335501135
momentum_1d,TP20_only,0.2,5080,754,-0.05129021786166103,42.65748031496063,-97.58765839717502,-1.4936027015669815,-98.88648419373075,-21.50686335501135
vol_momentum,TP20_only,0.2,5080,754,-0.11323711350609274,42.04724409448819,-97.91661002033949,-1.5763218459214154,-98.92732145141177,-19.681353057332572
setup_only,TP20_only,0.2,5080,754,-0.08619283498049729,42.775590551181104,-97.96372424190523,-1.5854504670277552,-98.98391210455259,-21.50686335501135
setup_momentum,TP20_only,0.2,5080,754,-0.08887985207397442,42.696850393700785,-97.99253850373073,-1.591820389418809,-99.0483641416771,-21.50686335501135
random_top100,TP3_SL3,0.15,5080,754,-0.4018909708196487,45.2755905511811,-97.55128722722397,-4.946044103735661,-97.63995969942552,-3.15
atr_14,TP3_SL3,0.15,5080,754,-0.7501043672906369,40.0,-99.72159467598833,-8.183161057186116,-99.73491819324617,-3.15
distribution_beta,TP3_SL3,0.15,5080,754,-0.7284926823193458,40.09842519685039,-99.86006272274183,-9.318751977851228,-99.86834789918073,-3.15
setup_momentum,TP3_SL3,0.15,5080,754,-0.7232210169086379,40.177165354330704,-99.85607247721393,-9.32401816220037,-99.8659330836373,-3.15
momentum_1d,TP3_SL3,0.15,5080,754,-0.7382685964759275,39.90157480314961,-99.86518267498631,-9.341009474998126,-99.87316471770319,-3.15
setup_only,TP3_SL3,0.15,5080,754,-0.749640728873017,39.78346456692913,-99.8742798995524,-9.525368091959916,-99.88243405485778,-3.15
vol_momentum,TP3_SL3,0.15,5080,754,-0.8001263259655065,38.838582677165356,-99.88061957515009,-9.66382823051211,-99.88680074460873,-3.15
random_top100,TP3_SL3,0.2,5080,754,-0.45189097081964863,44.960629921259844,-98.32377548007344,-5.467795591621951,-98.38045892131348,-3.2
atr_14,TP3_SL3,0.2,5080,754,-0.800104367290637,39.84251968503937,-99.80963020954586,-8.720477872517192,-99.81728866849865,-3.2
distribution_beta,TP3_SL3,0.2,5080,754,-0.7784926823193459,40.07874015748031,-99.90434580720617,-9.865323311877471,-99.90974142425195,-3.2
setup_momentum,TP3_SL3,0.2,5080,754,-0.773221016908638,40.15748031496063,-99.90161682232936,-9.873186418784723,-99.90808496648839,-3.2
momentum_1d,TP3_SL3,0.2,5080,754,-0.7882685964759275,39.86220472440945,-99.9078473211481,-9.885817447877901,-99.9130454264303,-3.2
setup_only,TP3_SL3,0.2,5080,754,-0.7996407288730172,39.74409448818898,-99.9140685583305,-10.074873586572101,-99.91940321949768,-3.2
vol_momentum,TP3_SL3,0.2,5080,754,-0.8501263259655069,38.838582677165356,-99.91840388741304,-10.21685966106863,-99.92239821434053,-3.2
distribution_beta,TP3_only,0.15,5080,754,0.28194056033815285,68.09055118110237,99.7339718304185,0.920269341401312,-61.98964421059472,-13.620770968652923
setup_momentum,TP3_only,0.15,5080,754,0.252371891010193,67.83464566929133,71.91701054809087,0.7777928714259353,-64.05486560127726,-13.620770968652923
setup_only,TP3_only,0.15,5080,754,0.2391446369468018,67.93307086614173,60.38852050485482,0.7107833414699674,-63.952445309324546,-13.620770968652923
momentum_1d,TP3_only,0.15,5080,754,0.23875892328871032,67.61811023622047,60.21112510626574,0.7081756895493212,-63.8167776933523,-15.298157304420517
vol_momentum,TP3_only,0.15,5080,754,0.16067025487805967,67.5,25.217226955973217,0.47509198198471614,-70.7797293775132,-13.620770968652923
