pattern,split_cond,median_cut,n_hi,n_lo,net_tp_sl_hi,net_tp_sl_lo,net_tp_sl_diff,net_eod_hi,net_eod_lo,spike_dump_hi,spike_dump_lo,spike_sustain_hi,spike_sustain_lo,n_spike,abs_net_diff
bounce_7d_low,f_qv_surge_30d,1.3333501603311875,9484,9484,-0.010193524040904872,-0.007711716893772094,-0.002481807147132778,-0.003179166347495481,-0.004999988394428573,0.1532934131736527,0.09101796407185629,0.7077844311377246,0.7772455089820359,1670,0.002481807147132778
bounce_7d_low,f_qv_surge_7d,1.0250964742033168,9868,9867,-0.010240096034971637,-0.008007542255959744,-0.002232553779011893,-0.004936589936689813,-0.003718783754754354,0.15777525539160045,0.08522727272727272,0.7003405221339387,0.7852272727272728,1761,0.002232553779011893
bounce_7d_low,f_ret_3d,0.08485639686684077,9868,9867,-0.010128648893499615,-0.00811900069236857,-0.002009648201131045,-0.004706559417429517,-0.003948837587131024,0.1611804767309875,0.08181818181818182,0.6923950056753689,0.7931818181818182,1761,0.002009648201131045
bounce_7d_low,f_up_streak,1.0,13420,6315,-0.008506526111640642,-0.010435804702207048,0.001929278590566406,-0.004264757063532366,-0.004461515282788904,0.13302034428794993,0.09109730848861283,0.7284820031298904,0.7805383022774327,1761,0.001929278590566406
bounce_7d_low,f_rsi_14,63.06634304207116,9868,9867,-0.008179472354147045,-0.01006837477672361,0.0018889024225765653,-0.00034734049031734707,-0.008308498312046693,0.11237230419977298,0.13068181818181818,0.775255391600454,0.7102272727272727,1761,0.0018889024225765653
bounce_7d_low,f_ret_7d,0.16160772953019875,9835,9835,-0.009958743014760569,-0.008237984620924364,-0.0017207583938362043,-0.003020656699607488,-0.005559309593302471,0.13325740318906606,0.11060433295324971,0.7323462414578588,0.7525655644241733,1755,0.0017207583938362043
bounce_7d_low,f_ret_14d,0.15999999999999992,9723,9722,-0.009196345811703907,-0.008848710834755698,-0.0003476349769482093,-0.0013218562545951474,-0.0070622621141146575,0.11791907514450867,0.12947976878612716,0.753757225433526,0.7283236994219653,1730,0.0003476349769482093
mom_ret_3d,f_atr_pct_14,0.0763039777124276,8492,8491,-0.01200204850901788,-0.001813484566378369,-0.010188563942639511,-0.006947490092146433,0.00017101225931415252,0.12827586206896552,0.12689655172413794,0.7296551724137931,0.736551724137931,1450,0.010188563942639511
mom_ret_3d,f_log_qv,23.516150841098238,8521,8521,-0.011651611262410443,-0.002256089095679158,-0.009395522166731285,-0.005607849850697653,-0.0012568698042886865,0.14207650273224043,0.11627906976744186,0.7185792349726776,0.7441860465116279,1463,0.009395522166731285
mom_ret_3d,f_bounce_off_7d_low,0.21589403973509125,8492,8491,-0.011587994941444052,-0.002227586897768893,-0.00936040804367516,-0.005914666753906499,-0.0008619327163463731,0.17103448275862068,0.08413793103448276,0.6896551724137931,0.776551724137931,1450,0.00936040804367516
