cohort,challenger,metric,n_paired_dates,delta_challenger_minus_r1,ci95_lo,ci95_hi,p_delta_gt_zero,direction,bootstrap_draws,seed,stream_seed
m15_common_complete_all,lexicographic_risk_first,net,419,0.001493985667659563,-0.0004177449838023308,0.0033874033364528584,0.935,higher_better,5000,42,1869521831145829248
m15_common_complete_all,lexicographic_risk_first,hit_rate,419,0.06284805091487669,0.02704852824184567,0.09864757358790771,0.9992,higher_better,5000,42,10495288201562775744
m15_common_complete_all,lexicographic_risk_first,sl_first_rate,419,-0.3436754176610978,-0.37629276054097055,-0.31026252983293556,0.0,lower_better,5000,42,13424707459958441867
m15_common_complete_all,lexicographic_risk_first,tp_first_rate,419,-0.1957040572792363,-0.22195704057279236,-0.17024661893396975,0.0,higher_better,5000,42,1124976616669149607
m15_common_complete_all,lexicographic_risk_first,mfe10_rate,419,-0.14001591089896578,-0.16149562450278437,-0.11853619729514717,0.0,higher_better,5000,42,6643138589077557160
m15_common_complete_all,lexicographic_risk_first,dn5_rate,419,-0.28241845664280035,-0.311873508353222,-0.2529832935560859,0.0,lower_better,5000,42,6327017091525796235
m15_common_complete_all,lexicographic_risk_first,safe_up10_rate,419,-0.12967382657120127,-0.15035799522673032,-0.10978520286396182,0.0,higher_better,5000,42,1497087969014593893
m15_common_complete_all,lexicographic_risk_first,eod_deep_loss_rate,419,-0.14399363564041368,-0.16706443914081145,-0.12171837708830549,0.0,lower_better,5000,42,14134599728388817621
m15_common_complete_locked_180,veto_within_day_top_third,net,178,0.0015699261018921726,-0.0009798040381246375,0.004273537919608825,0.8772,higher_better,5000,42,9843528841735746487
m15_common_complete_locked_180,veto_within_day_top_third,hit_rate,178,0.028089887640449437,-0.007490636704119843,0.06367041198501874,0.9472,higher_better,5000,42,13849261972251076175
m15_common_complete_locked_180,veto_within_day_top_third,sl_first_rate,178,-0.05243445692883895,-0.08801498127340823,-0.01685393258426966,0.002,lower_better,5000,42,49256670319261365
m15_common_complete_locked_180,veto_within_day_top_third,tp_first_rate,178,-0.013108614232209737,-0.04681647940074907,0.022471910112359546,0.2282,higher_better,5000,42,9217279159757350920
m15_common_complete_locked_180,veto_within_day_top_third,mfe10_rate,178,-0.022471910112359546,-0.05056179775280899,0.0056179775280898875,0.0568,higher_better,5000,42,11865412862781634522
m15_common_complete_locked_180,veto_within_day_top_third,dn5_rate,178,-0.059925093632958795,-0.09550561797752809,-0.024344569288389507,0.0004,lower_better,5000,42,397949672710646641
m15_common_complete_locked_180,veto_within_day_top_third,safe_up10_rate,178,-0.01685393258426966,-0.04681647940074906,0.011235955056179775,0.1286,higher_better,5000,42,11399001395540526360
m15_common_complete_locked_180,veto_within_day_top_third,eod_deep_loss_rate,178,-0.0449438202247191,-0.07677902621722847,-0.014981273408239697,0.0018,lower_better,5000,42,5786221938669067326
m15_common_complete_locked_180,veto_train_cal50,net,178,0.00022368294692363285,0.0,0.0005971786279296628,0.8768,higher_better,5000,42,3320872721728375741
m15_common_complete_locked_180,veto_train_cal50,hit_rate,178,0.0037453183520599247,0.0,0.009363295880149811,0.8738,higher_better,5000,42,17516401486655783346
m15_common_complete_locked_180,veto_train_cal50,sl_first_rate,178,-0.0037453183520599247,-0.009363295880149811,0.0,0.0,lower_better,5000,42,13343515524098589211
m15_common_complete_locked_180,veto_train_cal50,tp_first_rate,178,0.0018726591760299624,0.0,0.0056179775280898875,0.6312,higher_better,5000,42,15140076344840415113
m15_common_complete_locked_180,veto_train_cal50,mfe10_rate,178,-0.0018726591760299628,-0.0056179775280898875,0.0,0.0,higher_better,5000,42,16661406127892647914
m15_common_complete_locked_180,veto_train_cal50,dn5_rate,178,-0.0018726591760299624,-0.0056179775280898875,0.0,0.0,lower_better,5000,42,13578100093497313236
m15_common_complete_locked_180,veto_train_cal50,safe_up10_rate,178,-0.0018726591760299628,-0.0056179775280898875,0.0,0.0,higher_better,5000,42,8425552528533103456
m15_common_complete_locked_180,veto_train_cal50,eod_deep_loss_rate,178,0.0,0.0,0.0,0.0,lower_better,5000,42,9275762492896420785
m15_common_complete_locked_180,lexicographic_risk_first,net,178,0.0012226293867639813,-0.0017916131715615712,0.004257216329939826,0.7944,higher_better,5000,42,8828304763021012947
m15_common_complete_locked_180,lexicographic_risk_first,hit_rate,178,0.06179775280898876,0.007490636704119854,0.11610486891385768,0.9874,higher_better,5000,42,5590188774342269679
m15_common_complete_locked_180,lexicographic_risk_first,sl_first_rate,178,-0.3558052434456929,-0.4044943820224719,-0.3052434456928839,0.0,lower_better,5000,42,10269788843833585706
m15_common_complete_locked_180,lexicographic_risk_first,tp_first_rate,178,-0.21910112359550563,-0.25655430711610483,-0.18164794007490634,0.0,higher_better,5000,42,4956608066895612082
m15_common_complete_locked_180,lexicographic_risk_first,mfe10_rate,178,-0.15543071161048688,-0.18918539325842695,-0.12172284644194756,0.0,higher_better,5000,42,11945309248110574078
m15_common_complete_locked_180,lexicographic_risk_first,dn5_rate,178,-0.31273408239700373,-0.35580524344569286,-0.2696629213483146,0.0,lower_better,5000,42,7827218137079549249
m15_common_complete_locked_180,lexicographic_risk_first,safe_up10_rate,178,-0.14794007490636701,-0.1797752808988764,-0.11610486891385767,0.0,higher_better,5000,42,12298456242507299548
m15_common_complete_locked_180,lexicographic_risk_first,eod_deep_loss_rate,178,-0.14794007490636704,-0.1835205992509363,-0.11423220973782769,0.0,lower_better,5000,42,9209727596939275541
