market,date,pump_prob,raw_score,regime,f_qv_surge_7d,f_qv_surge_30d,f_ret_3d,f_ret_7d,f_bounce_off_7d_low,f_atr_pct_14,f_rv_7d,f_qv_rank
KRW-WLD,2026-07-26,0.007399244332493703,0.2534149583122957,bear_quiet,0.8869585120714301,0.40857341765829475,-0.10301953818827714,-0.08844765342960292,0.01814516129032051,0.08260254596888243,0.04591364388883438,12.0
KRW-XPL,2026-07-26,0.007399244332493703,0.24807368101172975,bear_quiet,0.9452556357905485,0.48229611757305035,-0.016129032258064502,0.0,0.042735042735033923,0.06908665105386361,0.03971136551154788,40.0
KRW-KITE,2026-07-26,0.007083267747520857,0.3087480326652385,bear_quiet,0.7101385671872962,0.4905786026495506,-0.13068181818181823,-0.09999999999999998,0.013245033112576188,0.11111111111111038,0.0440185504892962,46.0
KRW-ZRO,2026-07-26,0.007083267747520857,0.3103817470614937,bear_quiet,0.5041740337364892,0.4850720747641561,0.06604572396274344,0.078834618680377,0.13730803974706318,0.05854986951094968,0.03541105320245277,96.0
KRW-MEW,2026-07-26,0.007083267747520857,0.31262103763627247,bear_quiet,2.0279868811918176,1.4516624075143822,-0.03159851301115246,-0.027985074626865725,0.05252525252312634,0.04990403071007699,0.028518193370347677,72.0
KRW-ONDO,2026-07-26,0.007083267747520857,0.3099300414501411,bear_quiet,0.5418623156936566,0.7504004370959345,-0.08126036484245436,0.08203125,0.11468812877263357,0.07374935533780284,0.052530133094216766,10.0
KRW-WLFI,2026-07-26,0.007083267747520857,0.300801926125577,bear_quiet,0.23431424500220582,0.6637673538954828,0.00366300366300365,-0.021428571428571352,0.10040160642568807,0.04866180048661741,0.01848967669311699,38.0
KRW-0G,2026-07-26,0.007083267747520857,0.29945819675330704,bear_quiet,0.8216783440080628,0.5399400375457174,-0.03007518796992481,0.015748031496062964,0.0573770491803236,0.08444075304540387,0.032480678853170686,45.0
KRW-AERGO,2026-07-26,0.007083267747520857,0.3205022175233781,bear_quiet,0.3439722107436098,0.2353467703143919,-0.08923076923076922,-0.10843373493975905,0.02068965517237875,0.1484073359073309,0.016812473202117654,47.0
KRW-DOOD,2026-07-26,0.007083267747520857,0.3125945231450179,bear_quiet,0.561935174823662,0.3171485777047647,0.01382488479262678,0.037735849056603765,0.08374384236399823,0.06266233766230919,0.02899797208539808,90.0
KRW-AVAX,2026-07-26,0.007083267747520857,0.31318431757841303,bear_quiet,1.7204732802990774,1.857406514478855,0.023231801755291714,0.02270381836945301,0.1041782729805012,0.038020758252847044,0.03744404078801181,22.0
KRW-BERA,2026-07-26,0.006769521410579345,0.29777987691122604,bear_quiet,1.2945279271305647,1.3795651096626564,-0.04347826086956519,-0.02583025830258301,0.05599999999999583,0.06547619047619022,0.034088693479840615,32.0
KRW-DATA,2026-07-26,0.006769521410579345,0.29811701297843557,bear_quiet,1.7352930124794386,1.4995988061311785,-0.002557544757033292,-0.02985074626865669,0.029023746701844155,0.06190476190476174,0.022233290770972778,13.0
KRW-BLEND,2026-07-26,0.006769521410579345,0.29130262382863936,bear_quiet,0.23985809486175183,0.1758494648643206,0.004484304932735439,0.017026106696935273,0.04428904428903224,0.06991390306122369,0.021213666146754188,100.0
KRW-INJ,2026-07-26,0.006769521410579345,0.2786838819724023,bear_quiet,0.9920748776371584,1.216493725955088,-0.013907284768211903,-0.021681997371879147,0.014305177111716416,0.056269787968914894,0.02297679506045671,58.0
KRW-ATH,2026-07-26,0.006769521410579345,0.2880212231620569,bear_quiet,0.19823117778703672,0.42793971194631747,-0.061046511627906974,0.0,0.030303030302865963,0.06866430782838392,0.03252474964061168,88.0
KRW-ONG,2026-07-26,0.005666614198016685,0.20567292940033194,bear_quiet,1.1591742812582768,0.7718065768724611,-0.019033674963396696,-0.031791907514450934,0.030769230769214895,0.04243070362473286,0.024589094395379842,29.0
KRW-PEPE,2026-07-26,0.005666614198016685,0.21207431409157682,bear_quiet,1.1750201041892367,1.3078548498186042,-0.0520094562647756,-0.012315270935960743,0.030848328783843693,0.048806555028797785,0.024097269822276737,35.0
KRW-MEGA,2026-07-26,0.005666614198016685,0.21033464801696386,bear_quiet,0.8265128577335279,0.31247841662410486,-0.02507836990595602,-0.05327245053272456,0.036666666666649306,0.06649058337161126,0.018613313195429367,62.0
KRW-ENA,2026-07-26,0.005666614198016685,0.20908978621287827,bear_quiet,0.5893904255547492,0.35656316183360787,-0.04580152671755722,0.050420168067226934,0.08695652173912105,0.05714285714285669,0.028499447764426145,43.0
KRW-ARB,2026-07-26,0.005666614198016685,0.20003150166047232,bear_quiet,0.8996539987473418,0.6181022245719292,-0.09090909090909094,-0.08396946564885499,0.008403361344529348,0.0613095238095233,0.02286629286065874,53.0
KRW-JTO,2026-07-26,0.005666614198016685,0.21466933352709058,bear_quiet,0.28210850609188853,0.13505982847603476,-0.06413043478260871,0.06427688504326334,0.08849557522123752,0.07682097229135547,0.03817973637027881,75.0
KRW-MON,2026-07-26,0.004407366598457422,0.21837359353248237,bear_quiet,0.7732275358887276,0.7977667886381778,-0.09880239520958078,-0.053459119496855334,-3.319566843629218e-14,0.062411010915992236,0.040643032724036535,95.0
KRW-PROVE,2026-07-26,0.004407366598457422,0.21877091154897177,bear_quiet,1.996553302786128,3.3041221495975064,-0.020979020979020935,-0.01754385964912286,0.029411764705878474,0.03801020408163251,0.01636440698320735,65.0
KRW-UNI,2026-07-26,0.004407366598457422,0.2221796715838258,bear_quiet,1.2527938108592362,0.8564879117841754,-0.026291931097008114,0.02091254752851701,0.0718562874251496,0.046621441872838516,0.02087693564567858,44.0
KRW-PENGU,2026-07-26,0.004407366598457422,0.23523172661849417,bear_quiet,1.1615079416295824,0.8750797367217781,-0.008714596949891074,0.0022026431718060735,0.04838709677407271,0.0493720565149082,0.02209378568073113,27.0
KRW-APT,2026-07-26,0.0023614609571788415,0.17535036655322547,bear_quiet,0.7010679850456619,0.7818967848354715,-0.018701870187018743,-0.005574136008918651,0.046948356807510416,0.04276105060858419,0.01856056955094056,73.0
KRW-CHZ,2026-07-26,0.0023614609571788415,0.17824211690778935,bear_quiet,0.49472587893591585,0.4850243401658834,-0.03669724770642202,-0.09871244635193133,0.029411764705832066,0.048979591836732374,0.028562234444468853,79.0
