n,n_days,top3_coverage,avg_picks_per_day,replacement_rate_vs_r1,candidate_veto_rate,fallback_pick_rate,net_mean,daily_net_mean,hit_rate,sl_first_rate,tp_first_rate,mfe10_rate,mfe20_rate,dn5_rate,safe_up10_rate,eod_deep_loss_rate,mfe_mean,mae_mean,cvar95,cum_net,max_drawdown,sharpe_sqrt365,cohort,policy,fold
399,133,1.0,3.0,0.0025062656641604564,0.0812781954887218,0.0,-0.012540407943571273,-0.012540407943571273,0.24310776942355888,0.6766917293233082,0.18546365914786966,0.15538847117794485,0.040100250626566414,0.3684210526315789,0.13533834586466165,0.18045112781954886,0.056542576967735736,-0.04560375496651313,-0.03149999999999999,-0.8180326558687856,-0.8311295328442498,-12.290006197981008,d1_conservative_locked_180,veto_train_cal50,5
399,133,1.0,3.0,0.9674185463659148,0.0,0.0,-0.0027573791824530396,-0.002757379182453039,0.41854636591478694,0.17543859649122806,0.05513784461152882,0.010025062656641603,0.0,0.042606516290726815,0.010025062656641603,0.017543859649122806,0.016853103009918855,-0.017306262566978613,-0.03149999999999999,-0.31914454480621735,-0.32975014781967793,-3.2686204181509053,d1_conservative_locked_180,lexicographic_risk_first,5
99,33,1.0,3.0,0.0,0.0,0.0,-0.004072619621079223,-0.004072619621079223,0.36363636363636365,0.5656565656565656,0.2727272727272727,0.1414141414141414,0.04040404040404041,0.42424242424242425,0.13131313131313133,0.18181818181818182,0.051783412852195586,-0.054671238911966395,-0.0315,-0.1314627162395391,-0.19356385482297866,-3.935445977979032,m15_common_complete_all,R1_baseline,2
99,33,1.0,3.0,0.4949494949494949,0.33,0.0,-0.002004768932394786,-0.0020047689323947856,0.3939393939393939,0.47474747474747475,0.25252525252525254,0.08080808080808081,0.020202020202020204,0.35353535353535354,0.0707070707070707,0.1717171717171717,0.041897386955085596,-0.04488879279761231,-0.0315,-0.07167224414072715,-0.09410072206047597,-1.6955979271384185,m15_common_complete_all,veto_within_day_top_third,2
99,33,1.0,3.0,0.010101010101010055,0.11848484848484847,0.0,-0.0032645388129984147,-0.0032645388129984147,0.37373737373737376,0.5555555555555556,0.2828282828282828,0.1414141414141414,0.04040404040404041,0.41414141414141414,0.13131313131313133,0.18181818181818182,0.05204653219926102,-0.05426484655704463,-0.0315,-0.10754842172883972,-0.1713594522712107,-3.256852769067735,m15_common_complete_all,veto_train_cal50,2
99,33,1.0,3.0,0.9090909090909091,0.0,0.0,0.0015265753682349775,0.0015265753682349777,0.48484848484848486,0.1111111111111111,0.1111111111111111,0.020202020202020204,0.010101010101010102,0.030303030303030304,0.020202020202020204,0.010101010101010102,0.020096699506628086,-0.01744611916380553,-0.0315,0.04854477363179677,-0.05086720640194472,2.1452122182402418,m15_common_complete_all,lexicographic_risk_first,2
375,125,1.0,3.0,0.0,0.0,0.0,-0.0026367684810901645,-0.002636768481090164,0.41333333333333333,0.4693333333333333,0.224,0.12,0.021333333333333333,0.24,0.112,0.13066666666666665,0.044199927619813784,-0.04109993417584194,-0.03149999999999999,-0.2992172109391612,-0.37811043889518975,-2.4854624344872778,m15_common_complete_all,R1_baseline,3
375,125,1.0,3.0,0.41333333333333333,0.33,0.0,0.0012500718971168825,0.0012500718971168827,0.47733333333333333,0.384,0.23733333333333334,0.10933333333333334,0.016,0.20533333333333334,0.104,0.10666666666666667,0.043242086994977835,-0.03481238338040864,-0.03149999999999999,0.13703463367596935,-0.15823051719542622,1.1276882582514804,m15_common_complete_all,veto_within_day_top_third,3
375,125,1.0,3.0,0.01866666666666672,0.08752,0.0,-0.0017834351477568307,-0.0017834351477568307,0.424,0.45866666666666667,0.23466666666666666,0.12,0.021333333333333333,0.232,0.11466666666666667,0.128,0.04481291544210308,-0.04043685944891276,-0.03149999999999999,-0.2201959669741883,-0.3079853052668483,-1.6783105665496014,m15_common_complete_all,veto_train_cal50,3
375,125,1.0,3.0,0.8186666666666667,0.0,0.0,4.6259820249104836e-05,4.6259820249105324e-05,0.512,0.168,0.07466666666666667,0.016,0.005333333333333333,0.037333333333333336,0.016,0.010666666666666666,0.019756179053090045,-0.017345593715099625,-0.03149999999999999,-0.012686547950825688,-0.20218849602069766,0.051101997819221215,m15_common_complete_all,lexicographic_risk_first,3
