set_name,filter_q,n_hold,exit,fill,vfamily,n,n_blocks,n_entry_days,avg_hold_days,net_mean,net_median,hit,deep_loss_freq,worst,cvar95,mdd,cum,sharpe_block,sortino_block,sharpe_nom,sortino_nom,pct_tp,pct_sl,pct_gap_exit,excess_mkt_mean,excess_mkt_pos_frac,btc_window_mean
C3_filt_q0.7,0.7,5,bracket_tp0.08_sl0.05,opt,bracket,2400,160,800,2.4925,-0.003406729925964627,-0.051500000000000004,0.38125,0.5466666666666666,-0.051500000000000004,-0.0515,-0.9803501426782929,-0.9696626163147563,-1.0091764342663194,-1.9445756374477783,-1.4832596533296554,-3.245344835034632,0.30916666666666665,0.5466666666666666,0.0,-0.009835164703262414,0.4325,0.0006685769604397773
C3_filt_q0.7,0.7,5,bracket_tp0.12_sl0.05,gap,bracket,2400,160,800,2.8208333333333333,-0.0028628140228903597,-0.051500000000000004,0.33625,0.5770833333333333,-0.051500000000000004,-0.0515,-0.9770299754898785,-0.961949415956778,-0.7283104635267053,-1.664755255768829,-1.0974649246003867,-3.975449740229036,0.19791666666666666,0.5770833333333333,0.0,-0.009291248800188147,0.41583333333333333,0.0006685769604397773
C3_filt_q0.7,0.7,5,bracket_tp0.12_sl0.05,opt,bracket,2400,160,800,2.8208333333333333,-0.0028628140228903597,-0.051500000000000004,0.33625,0.5770833333333333,-0.051500000000000004,-0.0515,-0.9770299754898785,-0.961949415956778,-0.7283104635267053,-1.664755255768829,-1.0974649246003867,-3.975449740229036,0.19791666666666666,0.5770833333333333,0.0,-0.009291248800188147,0.41583333333333333,0.0006685769604397773
C3_filt_q0.7,0.7,5,holdN,opt,holdN,2400,160,800,4.9925,-0.006747390103088388,-0.01553649996622458,0.4170833333333333,0.3304166666666667,-0.42477150084317034,-0.213749775411632,-0.9999616933188923,-0.999813439256523,-0.8821531856850111,-1.5305001789439598,-1.4517425965590425,-2.3474885879599774,0.0,0.0,0.0,-0.013175824880386176,0.32916666666666666,0.0006685769604397773
C3_filt_q0.7,0.7,5,trail_dd0.08,gap,trail,2400,160,800,3.3341666666666665,-0.00567375984541874,-0.024674367365156047,0.3645833333333333,0.3491666666666667,-0.08353991130820398,-0.08151699926090165,-0.9973783858037001,-0.9970822885503652,-1.283491585109523,-2.742884844009957,-1.886270783377901,-4.5188215528590145,0.0,0.0,0.1225,-0.012102194622716528,0.38875,0.0006685769604397773
C3_filt_q0.7,0.7,5,trail_dd0.08,opt,trail,2400,160,800,3.3341666666666665,-0.0006069700374554767,-0.022188384935891425,0.3779166666666667,0.3383333333333333,-0.08150000000000007,-0.08149999999999995,-0.956969093780658,-0.8574310323885993,-0.13092625754930048,-0.2971271782709534,-0.18774894013135873,-0.4865278723973454,0.0,0.0,0.0,-0.007035404814753265,0.40291666666666665,0.0006685769604397773
C3_filt_q0.8,0.8,1,bracket_tp0.08_sl0.05,gap,bracket,2400,800,800,1.0,-0.002253966229441351,-0.0074953345927942765,0.4354166666666667,0.28125,-0.051500000000000004,-0.0515,-0.9069729971263987,-0.8956089117931822,-1.2764057798421113,-2.4526971899637315,-1.2764057798421105,-2.4526971899637307,0.14208333333333334,0.2808333333333333,0.0,-0.0034133242066598703,0.37833333333333335,7.519954938819304e-05
C3_filt_q0.8,0.8,1,bracket_tp0.08_sl0.05,opt,bracket,2400,800,800,1.0,-0.002253966229441351,-0.0074953345927942765,0.4354166666666667,0.28125,-0.051500000000000004,-0.0515,-0.9069729971263987,-0.8956089117931822,-1.2764057798421113,-2.4526971899637315,-1.2764057798421105,-2.4526971899637307,0.14208333333333334,0.2808333333333333,0.0,-0.0034133242066598703,0.37833333333333335,7.519954938819304e-05
C3_filt_q0.8,0.8,1,bracket_tp0.12_sl0.05,gap,bracket,2400,800,800,1.0,-0.0014763748264040766,-0.008089598217211722,0.43,0.28125,-0.051500000000000004,-0.0515,-0.8592729929017161,-0.8174716850494803,-0.7793556551030312,-1.6624758970471427,-0.7793556551030306,-1.6624758970471414,0.0725,0.2808333333333333,0.0,-0.0026357328036225956,0.37333333333333335,7.519954938819304e-05
C3_filt_q0.8,0.8,1,bracket_tp0.12_sl0.05,opt,bracket,2400,800,800,1.0,-0.0014763748264040766,-0.008089598217211722,0.43,0.28125,-0.051500000000000004,-0.0515,-0.8592729929017161,-0.8174716850494803,-0.7793556551030312,-1.6624758970471427,-0.7793556551030306,-1.6624758970471414,0.0725,0.2808333333333333,0.0,-0.0026357328036225956,0.37333333333333335,7.519954938819304e-05
C3_filt_q0.8,0.8,1,holdN,opt,holdN,2400,800,800,1.0,-0.0009874222859648349,-0.004478408203818006,0.45708333333333334,0.12875,-0.2802878787878788,-0.10248198006236822,-0.8619779701952955,-0.7755655316338665,-0.45014717401858406,-0.7032987534067449,-0.4501471740185843,-0.7032987534067452,0.0,0.0,0.0,-0.002146780263183354,0.3779166666666667,7.519954938819304e-05
C3_filt_q0.8,0.8,1,trail_dd0.08,gap,trail,2400,800,800,1.0,-0.0024207455642296745,-0.005592562911961916,0.4475,0.15708333333333332,-0.08150000000000007,-0.08149999999999995,-0.9319475663780113,-0.9258000216403903,-1.1307052658421264,-2.0004171060100813,-1.1307052658421264,-2.0004171060100813,0.0,0.0,0.0,-0.0035801035414481925,0.3725,7.519954938819304e-05
C3_filt_q0.8,0.8,1,trail_dd0.08,opt,trail,2400,800,800,1.0,-0.0024207455642296745,-0.005592562911961916,0.4475,0.15708333333333332,-0.08150000000000007,-0.08149999999999995,-0.9319475663780113,-0.9258000216403903,-1.1307052658421264,-2.0004171060100813,-1.1307052658421264,-2.0004171060100813,0.0,0.0,0.0,-0.0035801035414481925,0.3725,7.519954938819304e-05
C3_filt_q0.8,0.8,2,bracket_tp0.08_sl0.05,gap,bracket,2400,400,800,1.5770833333333334,-0.003112211680679817,-0.018667698202180893,0.4083333333333333,0.4245833333333333,-0.051500000000000004,-0.0515,-0.9631114447218119,-0.955385777887201,-1.3491295220487993,-2.5552647537295172,-1.5134172136102253,-3.162268143105227,0.21666666666666667,0.4245833333333333,0.0,-0.00551073396539079,0.4083333333333333,0.00017472949541669095
