head,regime,liq,topK_pct,n_sub,base_rate_pct,n_top,precision_pct,lift,active_days,total_days,active_pct_of_period,avg_fail_eod_pct,worst5_fail_eod_pct
h2_hit_3_4h,bull_all,all,1.0,89170,15.508579118537625,891,47.13804713804714,3.0394820039769064,291,648,44.907407407407405,-2.9227451176449937,-12.071516130829663
h2_hit_3_4h,bull_all,all,2.0,89170,15.508579118537625,1783,48.2893998878295,3.113721735481782,438,648,67.5925925925926,-2.3070484112972873,-12.061333749893494
h2_hit_3_4h,bull_all,top100,0.1,64800,17.716049382716047,64,39.0625,2.2049216027874565,16,648,2.4691358024691357,-2.279680485779024,-10.635993050745459
h2_hit_3_4h,bull_all,top100,0.5,64800,17.716049382716047,324,46.913580246913575,2.64808362369338,124,648,19.1358024691358,-3.3051364781097057,-11.997094391033515
h2_hit_3_4h,bull_all,top100,1.0,64800,17.716049382716047,648,50.0,2.8222996515679446,234,648,36.11111111111111,-3.4049349938040283,-12.631201633790932
h2_hit_3_4h,bull_all,top100,2.0,64800,17.716049382716047,1296,50.848765432098766,2.8702090592334497,386,648,59.5679012345679,-2.4706660978092554,-11.968736558957547
h2_hit_3_4h,bull_all,top50,0.1,32400,21.737654320987655,32,46.875,2.15639642197927,15,648,2.314814814814815,-3.8697863895217606,
h2_hit_3_4h,bull_all,top50,0.5,32400,21.737654320987655,162,50.617283950617285,2.3285531733636238,82,648,12.654320987654321,-4.300449283940674,-20.076657944099722
h2_hit_3_4h,bull_all,top50,1.0,32400,21.737654320987655,324,52.77777777777778,2.4279426380803635,160,648,24.691358024691358,-4.434422435249603,-17.751689326711713
h2_hit_3_4h,bull_all,top50,2.0,32400,21.737654320987655,648,53.086419753086425,2.442141133039898,274,648,42.28395061728395,-3.7722953583320584,-14.19012611675082
h2_hit_3_4h,bull_quiet,all,0.1,57000,14.23684210526316,57,40.35087719298245,2.834257547751078,13,380,3.421052631578948,0.2703724262732593,-6.366098480555493
h2_hit_3_4h,bull_quiet,all,0.5,57000,14.23684210526316,285,47.01754385964912,3.3025261860751693,106,380,27.89473684210526,-1.9805615222274715,-13.402926381124175
h2_hit_3_4h,bull_quiet,all,1.0,57000,14.23684210526316,570,47.89473684210526,3.3641404805914967,204,380,53.68421052631579,-2.147760898145447,-12.5243933420743
h2_hit_3_4h,bull_quiet,all,2.0,57000,14.23684210526316,1140,47.54385964912281,3.3394947627849656,293,380,77.10526315789473,-2.1768522537577213,-12.263333972717119
h2_hit_3_4h,bull_quiet,top100,0.1,38000,17.0,38,36.84210526315789,2.1671826625386994,10,380,2.631578947368421,0.14151623328620688,-6.290711441635517
h2_hit_3_4h,bull_quiet,top100,0.5,38000,17.0,190,47.368421052631575,2.786377708978328,77,380,20.263157894736842,-1.7164103636704926,-14.197488987602927
h2_hit_3_4h,bull_quiet,top100,1.0,38000,17.0,380,50.26315789473684,2.956656346749226,150,380,39.473684210526315,-2.090522725293429,-12.727845106924901
h2_hit_3_4h,bull_quiet,top100,2.0,38000,17.0,760,51.05263157894737,3.003095975232198,252,380,66.3157894736842,-2.232841831603228,-12.206528204619802
h2_hit_3_4h,bull_quiet,top50,0.1,19000,21.205263157894738,19,36.84210526315789,1.7374038222884087,8,380,2.1052631578947367,-1.9284051581492612,
