feature,direction,oos_base,oos_sel_prec,oos_lift,oos_sel_n,n_folds_used,lift_min_fold,lift_std
median_day_ret_raw_lag1,high,0.3070588235294114,0.4112903225806435,1.3394512421165092,248,5,1.0736842105215123,0.4063760432728766
btc_ret_7d_d1,high,0.3070588235294114,0.4008810572687207,1.3055513359283653,227,5,1.2108262108233518,0.14475079615673422
btc_ret_1d_d1,high,0.3070588235294114,0.36974789915966233,1.204159824845555,238,5,1.0493827160460791,0.17911717153715262
btc_ret_3d_d1,high,0.3070588235294114,0.36820083682008214,1.1991214992185861,239,5,1.0950080515263436,0.13188437937448014
adv_ratio_raw_lag1,high,0.3070588235294114,0.3481781376518205,1.1339134751076014,247,5,0.7017543859617728,0.33870883667846874
btc_rv_30d_d1,high,0.32794117647058774,0.36363636363636215,1.1088463106366486,242,4,1.0624999999948392,0.16814415909488892
btc_ma_distance_d1,low,0.3070588235294114,0.33589743589743504,1.0939188525359782,390,5,0.31770302412404233,0.6060840897671
decouple_d1,high,0.3070588235294114,0.33064516129032123,1.0768137436622918,248,5,0.7848568790361932,0.2627591926079925
btc_ret_14d_d1,low,0.3070588235294114,0.31189710610932375,1.0157568589734183,311,5,0.5358550039384234,0.4693426543959973
btc_ret_7d_d1,low,0.3070588235294114,0.3051948051948042,0.9939294422020654,308,5,0.844720496890307,0.15900392647809994
btc_ret_3d_d1,low,0.3070588235294114,0.28865979381443196,0.9400797882814882,291,5,0.7308201058178052,0.2839105752307877
adv_ratio_ma7,low,0.3070588235294114,0.26315789473684126,0.8570276265348157,323,5,0.48571428571192654,0.22311479086796132
btc_ret_1d_d1,low,0.3070588235294114,0.2588652482269494,0.8430477432650985,282,5,0.6623376623344452,0.16192607300366935
breadth20_mom_3_14,low,0.3070588235294114,0.22727272727272652,0.7401602229164316,308,5,0.6585956416432902,0.055227541315290875
median_day_ret_raw_lag1,low,0.3070588235294114,0.21895424836601235,0.7130693912279871,306,5,0.5074626865646994,0.1507352394466919
btc_rv_30d_d1,low,0.3070588235294114,0.20977011494252812,0.6831593781630975,348,5,0.3228869895526398,0.26156825653790133
decouple_d1,low,0.3070588235294114,0.2026578073089694,0.6599966904676752,301,5,0.4625850340113586,0.15338139045939325
adv_ratio_ma3,low,0.3070588235294114,0.20143884892086256,0.6560269026137003,278,5,0.3349753694565011,0.1958495170102196
adv_ratio_raw_lag1,low,0.3070588235294114,0.19867549668874104,0.6470274796355561,302,5,0.3917050691225214,0.14303655045481758
qv_trend_7_30,low,0.3070588235294114,0.19391634980988517,0.6315283422906737,263,5,0.2312925170056793,0.2867095674306053
btc_intensity_d1,low,0.3012820512820509,0.18610421836228241,0.6177076183919092,403,5,0.282608695651535,0.27219938661652093
qv_zscore_30,low,0.3070588235294114,0.12992125984251918,0.42311521404514096,254,5,0.0714285714282245,0.19548211758347975
breadth20_ma14,low,0.24901960784313676,0.09356725146198776,0.37574250586946634,171,3,0.22092267706233246,0.18631363638036588
breadth20_lag1,low,0.3070588235294114,0.08465608465608421,0.27569989255723115,189,5,0.0,0.325234300801875
n_pump20_lag1,low,0.3070588235294114,0.08465608465608421,0.27569989255723115,189,5,0.0,0.325234300801875
breadth15_lag1,low,0.3070588235294114,0.08290155440414465,0.2699859051467186,193,5,0.1600753295663511,0.14906025307261725
n_pump20_ma7,low,0.24901960784313676,0.05405405405405369,0.2170674611610766,148,3,0.0,0.17128722031149066
breadth20_ma7,low,0.24901960784313676,0.05194805194805161,0.20861028734960615,154,3,0.0,0.17128722031149066
breadth20_ma3,low,0.24901960784313676,0.04878048780487775,0.1958901478770693,164,3,0.06995884773640529,0.12443558629904762
n_pump20_ma3,low,0.24901960784313676,0.04516129032258036,0.18135636271199634,155,3,0.0,0.1664098495616907
