feature,market,date,first,touched_tp,touched_sl,both_touched,tp_bar,sl_bar,ambiguous_bar,intraday_max,intraday_min,eod_ret,n_bars,net_hard_sl_path,net_tp_eod_noSL,net_timestop_4h,net_eod_tpcap,net_trailing_3pct
f_atr_xs_decile,KRW-MET2,2026-05-02,none,False,False,False,,,,0.02941176470588225,-0.012605042016806678,0.021008403361344463,75,0.019508403361344462,0.019508403361344462,-0.009903361344537785,0.019508403361344462,0.019508403361344462
f_atr_xs_decile,KRW-MON,2026-05-02,none,False,False,False,,,,0.03587443946188351,-0.011210762331838597,0.0,96,-0.0015,-0.0015,0.007468609865470878,-0.0015,0.003298206278026962
f_atr_xs_decile,KRW-OPEN,2026-05-02,none,False,False,False,,,,0.06267029972752036,-0.0463215258855586,0.016348773841961872,96,0.014848773841961873,0.014848773841961873,0.02847275204359684,0.014848773841961873,0.010788828337874591
f_atr_xs_decile,KRW-ORCA,2026-05-02,tp,True,False,False,42.0,,,0.19191919191919182,-0.04747474747474745,0.04175084175084165,96,0.0985,0.0985,-0.03550673400673404,0.0985,0.06452020202020209
f_atr_xs_decile,KRW-PLUME,2026-05-02,none,False,False,False,,,,0.053254437869822535,-0.011834319526627168,0.03550295857988184,85,0.03400295857988184,0.03400295857988184,-0.0015,0.03400295857988184,0.03400295857988184
f_atr_xs_decile,KRW-SAFE,2026-05-02,none,False,False,False,,,,0.009433962264151052,-0.03301886792452835,-0.02358490566037741,89,-0.02508490566037741,-0.02508490566037741,-0.006216981132075526,-0.02508490566037741,-0.02508490566037741
f_atr_xs_decile,KRW-SKR,2026-05-02,none,False,False,False,,,,0.02066115702479343,-0.016528925619834656,-0.012396694214876103,78,-0.013896694214876102,-0.013896694214876102,0.010896694214876103,-0.013896694214876102,-0.013896694214876102
f_atr_xs_decile,KRW-TREE,2026-05-02,none,False,False,False,,,,0.06815869786368256,-0.0020345879959308144,0.0579857578840286,96,0.0564857578840286,0.0564857578840286,0.012742115971515812,0.0564857578840286,0.014878433367243206
f_atr_xs_decile,KRW-ZBT,2026-05-02,none,False,False,False,,,,0.09219858156028371,-0.024822695035460973,0.028368794326241176,96,0.026868794326241174,0.026868794326241174,0.0020460992907800914,0.026868794326241174,0.009776595744680984
f_atr_xs_decile,KRW-ZKP,2026-05-02,none,False,False,False,,,,0.040000000000000036,-0.03200000000000003,0.03200000000000003,95,0.030500000000000027,0.030500000000000027,-0.009500000000000007,0.030500000000000027,0.030500000000000027
f_atr_xs_decile,KRW-API3,2026-05-03,none,False,False,False,,,,0.04703832752613235,-0.03135888501742157,-0.010452961672473893,96,-0.011952961672473892,-0.011952961672473892,-0.018921602787456415,-0.011952961672473892,0.014127177700348494
