score,label,regime,K,n_days,n_picks,precision_at_k,base_rate,lift,recall,pumps_caught,total_pumps
cal_logit,lab_pump20,ALL,1,800,800,0.08875,0.021450192453817313,4.137492015098722,0.04123112659698026,71,1722
cal_logit,lab_pump20,ALL,2,800,1600,0.089375,0.021450192453817313,4.166629282810685,0.08304297328687572,143,1722
cal_logit,lab_pump20,ALL,3,800,2400,0.08291666666666667,0.021450192453817313,3.8655441831204023,0.11556329849012775,199,1722
cal_logit,lab_pump20,ALL,5,800,4000,0.0775,0.021450192453817313,3.613021196283391,0.1800232288037166,310,1722
cal_logit,lab_pump20,bull_quiet,1,323,323,0.05263157894736842,0.01606673876100726,3.27580971659919,0.032692307692307694,17,520
cal_logit,lab_pump20,bull_quiet,2,323,646,0.07275541795665634,0.01606673876100726,4.52832519647535,0.09038461538461538,47,520
cal_logit,lab_pump20,bull_quiet,3,323,969,0.07533539731682147,0.01606673876100726,4.688904104151782,0.14038461538461539,73,520
cal_logit,lab_pump20,bull_quiet,5,323,1615,0.06996904024767801,0.01606673876100726,4.3548999761848055,0.2173076923076923,113,520
cal_logit,lab_pump20,bull_volatile,1,119,119,0.08403361344537816,0.022914218566392478,3.6673130790777853,0.03663003663003663,10,273
cal_logit,lab_pump20,bull_volatile,2,119,238,0.08403361344537816,0.022914218566392478,3.6673130790777853,0.07326007326007326,20,273
cal_logit,lab_pump20,bull_volatile,3,119,357,0.06162464985994398,0.022914218566392478,2.6893629246570425,0.08058608058608059,22,273
cal_logit,lab_pump20,bull_volatile,5,119,595,0.05546218487394958,0.022914218566392478,2.420426632191338,0.12087912087912088,33,273
cal_logit,lab_pump20,bear_quiet,1,130,130,0.09230769230769231,0.018055236783719685,5.112516297262061,0.05084745762711865,12,236
cal_logit,lab_pump20,bear_quiet,2,130,260,0.1076923076923077,0.018055236783719685,5.964602346805737,0.11864406779661017,28,236
cal_logit,lab_pump20,bear_quiet,3,130,390,0.08461538461538462,0.018055236783719685,4.686473272490222,0.13983050847457626,33,236
cal_logit,lab_pump20,bear_quiet,5,130,650,0.06923076923076923,0.018055236783719685,3.834387222946545,0.1906779661016949,45,236
cal_logit,lab_pump20,bear_volatile,1,228,228,0.14035087719298245,0.030223734135810545,4.643730538467381,0.046176046176046176,32,693
cal_logit,lab_pump20,bear_volatile,2,228,456,0.10526315789473684,0.030223734135810545,3.4827979038505354,0.06926406926406926,48,693
cal_logit,lab_pump20,bear_volatile,3,228,684,0.10380116959064327,0.030223734135810545,3.4344257107415,0.10245310245310245,71,693
cal_logit,lab_pump20,bear_volatile,5,228,1140,0.10438596491228071,0.030223734135810545,3.4537745879851145,0.1717171717171717,119,693
cal_xgb,lab_pump20,ALL,1,800,800,0.085,0.021450192453817313,3.9626684088269455,0.03948896631823461,68,1722
cal_xgb,lab_pump20,ALL,2,800,1600,0.085,0.021450192453817313,3.9626684088269455,0.07897793263646923,136,1722
cal_xgb,lab_pump20,ALL,3,800,2400,0.08166666666666667,0.021450192453817313,3.8072696476964767,0.11382113821138211,196,1722
cal_xgb,lab_pump20,ALL,5,800,4000,0.0815,0.021450192453817313,3.7994997096399534,0.18931475029036005,326,1722
cal_xgb,lab_pump20,bull_quiet,1,323,323,0.06191950464396285,0.01606673876100726,3.8538937842343413,0.038461538461538464,20,520
cal_xgb,lab_pump20,bull_quiet,2,323,646,0.07275541795665634,0.01606673876100726,4.52832519647535,0.09038461538461538,47,520
cal_xgb,lab_pump20,bull_quiet,3,323,969,0.07430340557275542,0.01606673876100726,4.6246725410812095,0.13846153846153847,72,520
cal_xgb,lab_pump20,bull_quiet,5,323,1615,0.07244582043343653,0.01606673876100726,4.50905572755418,0.225,117,520
cal_xgb,lab_pump20,bull_volatile,1,119,119,0.10084033613445378,0.022914218566392478,4.400775694893342,0.04395604395604396,12,273
cal_xgb,lab_pump20,bull_volatile,2,119,238,0.08823529411764706,0.022914218566392478,3.8506787330316747,0.07692307692307693,21,273
cal_xgb,lab_pump20,bull_volatile,3,119,357,0.0784313725490196,0.022914218566392478,3.4228255404725996,0.10256410256410256,28,273
cal_xgb,lab_pump20,bull_volatile,5,119,595,0.06890756302521009,0.022914218566392478,3.007196724843784,0.15018315018315018,41,273
cal_xgb,lab_pump20,bear_quiet,1,130,130,0.046153846153846156,0.018055236783719685,2.5562581486310303,0.025423728813559324,6,236
cal_xgb,lab_pump20,bear_quiet,2,130,260,0.06923076923076923,0.018055236783719685,3.834387222946545,0.07627118644067797,18,236
cal_xgb,lab_pump20,bear_quiet,3,130,390,0.07435897435897436,0.018055236783719685,4.118415906127771,0.1228813559322034,29,236
cal_xgb,lab_pump20,bear_quiet,5,130,650,0.07384615384615385,0.018055236783719685,4.090013037809649,0.2033898305084746,48,236
cal_xgb,lab_pump20,bear_volatile,1,228,228,0.13157894736842105,0.030223734135810545,4.353497379813169,0.04329004329004329,30,693
cal_xgb,lab_pump20,bear_volatile,2,228,456,0.10964912280701754,0.030223734135810545,3.627914483177641,0.07215007215007214,50,693
cal_xgb,lab_pump20,bear_volatile,3,228,684,0.097953216374269,0.030223734135810545,3.2409369383053592,0.09668109668109669,67,693
cal_xgb,lab_pump20,bear_volatile,5,228,1140,0.10526315789473684,0.030223734135810545,3.4827979038505354,0.17316017316017315,120,693
raw_composite,lab_pump20,ALL,1,800,800,0.1075,0.021450192453817313,5.011610046457607,0.04994192799070848,86,1722
raw_composite,lab_pump20,ALL,2,800,1600,0.096875,0.021450192453817313,4.516276495354239,0.0900116144018583,155,1722
raw_composite,lab_pump20,ALL,3,800,2400,0.0925,0.021450192453817313,4.312315621370499,0.1289198606271777,222,1722
raw_composite,lab_pump20,ALL,5,800,4000,0.08125,0.021450192453817313,3.7878448025551683,0.18873403019744484,325,1722
raw_composite,lab_pump20,bull_quiet,1,323,323,0.06501547987616099,0.01606673876100726,4.046588473446058,0.04038461538461539,21,520
raw_composite,lab_pump20,bull_quiet,2,323,646,0.07430340557275542,0.01606673876100726,4.6246725410812095,0.09230769230769231,48,520
raw_composite,lab_pump20,bull_quiet,3,323,969,0.06914344685242518,0.01606673876100726,4.303514725728348,0.12884615384615383,67,520
raw_composite,lab_pump20,bull_quiet,5,323,1615,0.06253869969040247,0.01606673876100726,3.8924327220766846,0.19423076923076923,101,520
raw_composite,lab_pump20,bull_volatile,1,119,119,0.11764705882352941,0.022914218566392478,5.134238310708899,0.05128205128205128,14,273
raw_composite,lab_pump20,bull_volatile,2,119,238,0.08823529411764706,0.022914218566392478,3.8506787330316747,0.07692307692307693,21,273
raw_composite,lab_pump20,bull_volatile,3,119,357,0.08683473389355742,0.022914218566392478,3.7895568483803777,0.11355311355311355,31,273
raw_composite,lab_pump20,bull_volatile,5,119,595,0.0773109243697479,0.022914218566392478,3.3739280327515626,0.1684981684981685,46,273
raw_composite,lab_pump20,bear_quiet,1,130,130,0.13076923076923078,0.018055236783719685,7.242731421121252,0.07203389830508475,17,236
raw_composite,lab_pump20,bear_quiet,2,130,260,0.09230769230769231,0.018055236783719685,5.112516297262061,0.1016949152542373,24,236
raw_composite,lab_pump20,bear_quiet,3,130,390,0.08717948717948718,0.018055236783719685,4.828487614080834,0.1440677966101695,34,236
raw_composite,lab_pump20,bear_quiet,5,130,650,0.08153846153846153,0.018055236783719685,4.516056062581486,0.2245762711864407,53,236
raw_composite,lab_pump20,bear_volatile,1,228,228,0.14912280701754385,0.030223734135810545,4.933963697121592,0.049062049062049064,34,693
