target,feature_set,fold,topK_pct,n_val,n_pos,n_top,top_pos,base_pct,prec_pct,lift
first15_t5,prev_daily,1,1.0,16655,273,166,16,1.6391474031822277,9.63855421686747,5.880224193477205
first15_t5,prev_daily,1,2.0,16655,273,333,20,1.6391474031822277,6.006006006006006,3.664103664103664
first15_t5,prev_daily,1,5.0,16655,273,832,37,1.6391474031822277,4.447115384615385,2.7130661806142573
first15_t5,prev_daily,2,0.5,18056,600,90,11,3.322995126273815,12.222222222222221,3.6780740740740736
first15_t5,prev_daily,2,1.0,18056,600,180,16,3.322995126273815,8.88888888888889,2.674962962962963
first15_t5,prev_daily,2,2.0,18056,600,361,30,3.322995126273815,8.310249307479225,2.5008310249307475
first15_t5,prev_daily,2,5.0,18056,600,902,70,3.322995126273815,7.760532150776053,2.33540280857354
first15_t5,prev_daily,3,0.5,17264,557,86,13,3.2263670064874885,15.11627906976744,4.685232349379984
first15_t5,prev_daily,3,1.0,17264,557,172,21,3.2263670064874885,12.209302325581394,3.7842261283453715
first15_t5,prev_daily,3,2.0,17264,557,345,39,3.2263670064874885,11.304347826086957,3.5037389743189444
first15_t5,prev_daily,3,5.0,17264,557,863,73,3.2263670064874885,8.458864426419467,2.621792378055757
first15_t5,preopen_15m,1,0.5,16655,273,83,13,1.6391474031822277,15.66265060240964,9.555364314400459
first15_t5,preopen_15m,1,1.0,16655,273,166,27,1.6391474031822277,16.265060240963855,9.922878326492784
first15_t5,preopen_15m,1,2.0,16655,273,333,46,1.6391474031822277,13.813813813813812,8.427438427438426
first15_t5,preopen_15m,1,5.0,16655,273,832,78,1.6391474031822277,9.375,5.719436813186813
first15_t5,preopen_15m,2,0.5,18056,600,90,27,3.322995126273815,30.0,9.027999999999999
first15_t5,preopen_15m,2,1.0,18056,600,180,52,3.322995126273815,28.888888888888886,8.693629629629628
first15_t5,preopen_15m,2,2.0,18056,600,361,89,3.322995126273815,24.653739612188367,7.419132040627885
first15_t5,preopen_15m,2,5.0,18056,600,902,169,3.322995126273815,18.736141906873613,5.638329637841832
first15_t5,preopen_15m,3,0.5,17264,557,86,23,3.2263670064874885,26.744186046511626,8.289257233518432
first15_t5,preopen_15m,3,1.0,17264,557,172,37,3.2263670064874885,21.511627906976745,6.667446035656131
first15_t5,preopen_15m,3,2.0,17264,557,345,88,3.2263670064874885,25.507246376811594,7.905872557437618
first15_t5,preopen_15m,3,5.0,17264,557,863,153,3.2263670064874885,17.72885283893395,5.494989504692203
first15_t5,prev_daily+preopen_15m,1,0.5,16655,273,83,16,1.6391474031822277,19.27710843373494,11.76044838695441
first15_t5,prev_daily+preopen_15m,1,1.0,16655,273,166,23,1.6391474031822277,13.855421686746988,8.452822278123483
first15_t5,prev_daily+preopen_15m,1,2.0,16655,273,333,36,1.6391474031822277,10.81081081081081,6.5953865953865956
first15_t5,prev_daily+preopen_15m,1,5.0,16655,273,832,64,1.6391474031822277,7.6923076923076925,4.69287123133277
first15_t5,prev_daily+preopen_15m,2,0.5,18056,600,90,28,3.322995126273815,31.11111111111111,9.36237037037037
first15_t5,prev_daily+preopen_15m,2,1.0,18056,600,180,42,3.322995126273815,23.333333333333332,7.0217777777777775
first15_t5,prev_daily+preopen_15m,2,2.0,18056,600,361,78,3.322995126273815,21.60664819944598,6.502160664819944
first15_t5,prev_daily+preopen_15m,2,5.0,18056,600,902,150,3.322995126273815,16.62971175166297,5.004434589800443
first15_t5,prev_daily+preopen_15m,3,0.5,17264,557,86,22,3.2263670064874885,25.581395348837212,7.928854745104589
first15_t5,prev_daily+preopen_15m,3,1.0,17264,557,172,42,3.2263670064874885,24.418604651162788,7.568452256690743
first15_t5,prev_daily+preopen_15m,3,2.0,17264,557,345,76,3.2263670064874885,22.028985507246375,6.827799026877943
first15_t5,prev_daily+preopen_15m,3,5.0,17264,557,863,143,3.2263670064874885,16.57010428736964,5.135839863862648
first15_t10,prev_daily,1,0.5,16655,57,83,1,0.34223956769738817,1.2048192771084338,3.520397378989643
first15_t10,prev_daily,1,1.0,16655,57,166,2,0.34223956769738817,1.2048192771084338,3.520397378989643
first15_t10,prev_daily,1,2.0,16655,57,333,3,0.34223956769738817,0.9009009009009009,2.6323692113165795
first15_t10,prev_daily,1,5.0,16655,57,832,4,0.34223956769738817,0.4807692307692308,1.4047739541160593
first15_t10,prev_daily,2,0.5,18056,222,90,3,1.2295081967213115,3.3333333333333335,2.7111111111111112
first15_t10,prev_daily,2,1.0,18056,222,180,8,1.2295081967213115,4.444444444444445,3.614814814814815
