K,hard_sl,tp,trail,n,p_loss_lt_5,cvar95,worst,mdd,pct_stopped_sl,pct_trail,pct_tp,pct_eod,net_mean,cum,hit,sortino,median,avg_loss,pct_loss,h_lt_-10,h_-10_to_-5,h_-5_to_0,h_0_to_+5,h_gt_+5
5,0.03,0.1,0.05,5885,0.0,-0.03149999999999999,-0.0315,-0.9679209169151547,0.5359388275276126,0.39524214103653355,0.03619371282922685,0.03262531860662702,-0.008392888360343334,-0.9670177901378327,0.264910790144435,-6.656587603388286,-0.0315,-0.02657830866977183,0.735089209855565,0.0,0.0,0.735089209855565,0.18742565845369583,0.07748513169073917
5,0.03,0.1,0.08,5885,0.0,-0.03149999999999999,-0.0315,-0.9819369880227401,0.697875955819881,0.14239592183517416,0.08836023789294817,0.0713678844519966,-0.009881629257082802,-0.981916070666929,0.20815632965165676,-7.070912431006683,-0.0315,-0.02920653521407216,0.7918436703483432,0.0,0.0,0.7918436703483432,0.08734069668649108,0.12081563296516568
5,none,none,0.05,5885,0.0723874256584537,-0.05150000000000006,-0.05150000000000016,-0.9187503395960133,0.0,0.9449447748513169,0.0,0.05505522514868309,-0.0059905441621529686,-0.9164079978511211,0.3288020390824129,-4.268393004593353,-0.015240458015267242,-0.028671223471975964,0.6711979609175871,0.0,0.0723874256584537,0.5988105352591334,0.24316057774001698,0.08564146134239592
5,none,0.05,0.05,5885,0.0723874256584537,-0.05150000000000006,-0.05150000000000016,-0.8787856158510118,0.0,0.8125743415463041,0.15072217502124044,0.03670348343245539,-0.004999190202980031,-0.8742483684818984,0.34443500424808837,-3.5622816301510936,-0.015240458015267242,-0.02930141855661049,0.6555649957519116,0.0,0.0723874256584537,0.5831775700934579,0.3087510620220901,0.0356839422259983
5,none,0.08,0.05,5885,0.0723874256584537,-0.05150000000000006,-0.05150000000000016,-0.9068331895771258,0.0,0.8853016142735769,0.06881903143585387,0.045879354290569246,-0.0056374699346464574,-0.9039605168790831,0.3288020390824129,-4.016819938441484,-0.015240458015267242,-0.028671223471975964,0.6711979609175871,0.0,0.0723874256584537,0.5988105352591334,0.21869158878504674,0.11011045029736619
5,none,0.1,0.05,5885,0.0723874256584537,-0.05150000000000006,-0.05150000000000016,-0.9116493333120443,0.0,0.9082412914188616,0.04078164825828377,0.05097706032285471,-0.005752727624740251,-0.9082183360993703,0.3288020390824129,-4.098943549386559,-0.015240458015267242,-0.028671223471975964,0.6711979609175871,0.0,0.0723874256584537,0.5988105352591334,0.23857264231096006,0.09022939677145285
5,0.08,0.05,0.05,5885,0.08988954970263381,-0.06472033898305089,-0.0815,-0.9225704418457983,0.022090059473237042,0.7904842820730671,0.15072217502124044,0.03670348343245539,-0.006105751626402243,-0.9196721302180713,0.3418861512319456,-4.041269354797704,-0.015955782312925215,-0.03078607018323803,0.6581138487680543,0.0,0.08988954970263381,0.5682242990654206,0.3062022090059473,0.0356839422259983
5,0.08,0.08,0.05,5885,0.08988954970263381,-0.06472033898305089,-0.0815,-0.9404916027690235,0.022090059473237042,0.8632115548003398,0.06881903143585387,0.045879354290569246,-0.006744031358068668,-0.9386567417573201,0.3262531860662702,-4.463463210748637,-0.015955782312925215,-0.030123810779970416,0.6737468139337298,0.0,0.08988954970263381,0.583857264231096,0.216142735768904,0.11011045029736619
5,0.08,none,0.05,5885,0.09039932030586237,-0.0650254237288136,-0.0815,-0.9493667422636292,0.022599830076465592,0.9223449447748513,0.0,0.05505522514868309,-0.007160006815979271,-0.9479070390145807,0.32574341546304164,-4.729173214190799,-0.016154046997389038,-0.030162653664965403,0.6742565845369584,0.0,0.09039932030586237,0.583857264231096,0.24010195412064572,0.08564146134239592
5,0.08,0.1,0.05,5885,0.09039932030586237,-0.0650254237288136,-0.0815,-0.9449576008186249,0.022599830076465592,0.885641461342396,0.04078164825828377,0.05097706032285471,-0.006922190278566553,-0.9428200921245796,0.32574341546304164,-4.572095766147894,-0.016154046997389038,-0.030162653664965403,0.6742565845369584,0.0,0.09039932030586237,0.583857264231096,0.23551401869158878,0.09022939677145285
5,0.05,0.05,0.05,5885,0.1966015293118097,-0.0515,-0.051500000000000004,-0.9639424956723456,0.19456244689889549,0.6180118946474087,0.15072217502124044,0.03670348343245539,-0.008045939081059534,-0.9628906808555596,0.3274426508071368,-5.174450202814153,-0.018070378151260613,-0.03212369369417473,0.6725573491928633,0.0,0.1966015293118097,0.4759558198810535,0.2953271028037383,0.03211554800339847
5,0.05,0.08,0.05,5885,0.19711129991503823,-0.0515,-0.051500000000000004,-0.9726746759185491,0.19507221750212406,0.6902293967714529,0.06881903143585387,0.045879354290569246,-0.008719787552555749,-0.9720564382929877,0.3112999150382328,-5.603200629001055,-0.018143258426966347,-0.031459792638649245,0.6887000849617672,0.0,0.19711129991503823,0.491588785046729,0.20475785896346643,0.10654205607476636
5,0.05,none,0.05,5885,0.19762107051826677,-0.0515,-0.051500000000000004,-0.9766168658914534,0.1955819881053526,0.7493627867459643,0.0,0.05505522514868309,-0.009120469892369495,-0.9761343236738418,0.31079014443500425,-5.856196012599469,-0.01816666666666661,-0.031474615277230125,0.6892098555649957,0.0,0.19762107051826677,0.491588785046729,0.22871707731520816,0.08207306711979609
5,0.05,0.1,0.05,5885,0.19762107051826677,-0.0515,-0.051500000000000004,-0.9745702822500875,0.1955819881053526,0.7126593033135089,0.04078164825828377,0.05097706032285471,-0.008882653354956778,-0.9737931098366412,0.31079014443500425,-5.703495518594028,-0.01816666666666661,-0.031474615277230125,0.6892098555649957,0.0,0.19762107051826677,0.491588785046729,0.22412914188615124,0.08666100254885302
