head,fold,leaf,rule,depth,support_train,support_val,support_val_top100,pos_train_pct,pos_val_pct,pos_val_top100_pct,base_val_pct,lift_val,lift_val_top100,fail_eod_val_pct
h2_hit_3_4h,3,4,atr_pct_14 <= +0.056 AND log_return_1d <= +0.032 AND btc_return_5d > +0.097,3,1117,283,176,14.95076096687556,12.014134275618375,11.931818181818182,20.081595648232096,0.598265919007091,0.5941668376769957,1.2230472444309624
h2_hit_3_4h,3,6,atr_pct_14 <= +0.056 AND log_return_1d > +0.032 AND btc_return_14d <= +0.104,3,1248,444,367,16.266025641025642,19.36936936936937,20.435967302452315,20.081595648232096,0.9645333821406056,1.0176465884697472,0.44354988064357864
h2_hit_3_4h,3,7,atr_pct_14 <= +0.056 AND log_return_1d > +0.032 AND btc_return_14d > +0.104,3,798,524,392,33.583959899749374,30.343511450381676,31.122448979591837,20.081595648232096,1.511010976513363,1.5497996038144377,0.31126372902144933
h2_hit_3_4h,3,10,atr_pct_14 > +0.056 AND log_return_1d <= +0.029 AND atr_pct_14 <= +0.085,3,12690,5042,4175,12.088258471237195,15.98571995239984,15.54491017964072,20.081595648232096,0.7960383344242449,0.7740874008191293,-0.5159572909065199
h2_hit_3_4h,3,11,atr_pct_14 > +0.056 AND log_return_1d <= +0.029 AND atr_pct_14 > +0.085,3,7714,4894,3927,22.439719989629246,26.031875766244383,26.48332060096766,20.081595648232096,1.296305145380025,1.318785671461279,-0.8795413841728952
h2_hit_3_4h,3,13,atr_pct_14 > +0.056 AND log_return_1d > +0.029 AND return_7d <= +0.920,3,3685,2789,2321,28.222523744911804,34.70778056651129,35.67427832830676,20.081595648232096,1.728337786224016,1.776466320366698,-0.1713389454168238
h2_hit_3_4h,3,14,atr_pct_14 > +0.056 AND log_return_1d > +0.029 AND return_7d > +0.920,3,1245,611,606,51.08433734939759,45.335515548281506,45.37953795379538,20.081595648232096,2.2575654017947855,2.25975757846665,-1.7359641619769661
h2_hit_3_4h,4,3,atr_pct_14 <= +0.060 AND log_return_1d <= +0.032 AND btc_return_5d <= +0.114,3,29080,3977,1685,6.609353507565337,7.593663565501635,7.002967359050445,17.530239341168397,0.4331751220115124,0.39947927822094953,-0.8085931941930866
h2_hit_3_4h,4,6,atr_pct_14 <= +0.060 AND log_return_1d > +0.032 AND btc_return_5d <= +0.131,3,3070,537,326,20.26058631921824,17.690875232774676,21.165644171779142,17.530239341168397,1.0091633598652037,1.2073790756566158,-0.5431808559533163
h2_hit_3_4h,4,10,atr_pct_14 > +0.060 AND log_return_1d <= +0.030 AND atr_pct_14 <= +0.078,3,12340,5241,2964,12.990275526742302,13.41347071169624,15.114709851551957,17.530239341168397,0.7651618697638516,0.862207843110062,-0.6193514052403876
h2_hit_3_4h,4,11,atr_pct_14 > +0.060 AND log_return_1d <= +0.030 AND atr_pct_14 > +0.078,3,14534,9894,7570,22.30631622402642,18.475843945825755,20.079260237780712,17.530239341168397,1.0539413402323994,1.1454070789909947,-0.5744992884124264
h2_hit_3_4h,4,13,atr_pct_14 > +0.060 AND log_return_1d > +0.030 AND log_return_1d <= +0.081,3,5720,2846,2301,31.18881118881119,26.879831342234716,30.160799652325075,17.530239341168397,1.5333408072250065,1.7205013043658106,-1.5178370422693168
h2_hit_3_4h,4,14,atr_pct_14 > +0.060 AND log_return_1d > +0.030 AND log_return_1d > +0.081,3,1750,819,754,51.142857142857146,48.10744810744811,51.591511936339515,17.530239341168397,2.744255065272927,2.9430010014284793,-4.629400238317104
h2_hit_3_4h,5,3,atr_pct_14 <= +0.064 AND log_return_1d <= +0.032 AND atr_pct_14 <= +0.048,3,20081,6871,2129,5.662068622080573,4.671809052539659,5.166744950681071,11.606552815554242,0.4025147799507574,0.4451575788943107,-0.36926045462387014
h2_hit_3_4h,5,4,atr_pct_14 <= +0.064 AND log_return_1d <= +0.032 AND atr_pct_14 > +0.048,3,17976,6725,2967,9.779706275033378,7.405204460966543,7.954162453656892,11.606552815554242,0.638019279164666,0.6853165259367375,-0.2587066311597115
