axis,param,feats,n_estimators,max_depth,learning_rate,min_child_weight,reg_lambda,universe,cal_buckets,rr_eps,tie_break,n,n_days,net_mean,net_median,sharpe,sortino,mdd,cum,hit,pct_sl,deep_loss_noSL,precision_pump20,cvar95,worst,pct_tp,pct_eod,fold_net_min,fold_net_pos_frac,d_net_mean,d_sharpe,d_sortino,d_mdd,d_hit,d_pct_sl,d_deep_loss_noSL,d_precision_pump20,d_cvar95
B_hp,reg_lambda=0.5,baseline,180,4,0.05,5,0.5,100,10,0.001,True,1531,765,-0.0024473527554554767,-0.013114770182149736,-2.17737564180119,-3.9006986476997825,-0.8425617093941116,-0.8328117277486317,0.3964728935336381,0.45395166557805355,0.1417374265186153,0.038536903984323974,-0.031499999999999986,-0.0315,0.2240365774003919,0.32201175702155455,-0.005425969387907261,0.3333333333333333,0.0003961175288232821,0.32517301768313445,0.5878310995467326,0.0290443723450432,0.00522534291312865,-0.0019595035924232507,0.007184846505551928,0.0019595035924232576,0.0
B_hp,max_depth=5,baseline,180,5,0.05,5,1.5,100,10,0.001,True,1531,765,-0.0026405531517682177,-0.012090279675187663,-2.378093966523925,-4.188763891982841,-0.855775822572386,-0.8479122392436396,0.3919007184846506,0.4487263226649249,0.12540822991508818,0.036577400391900716,-0.031499999999999986,-0.0315,0.2201175702155454,0.3311561071195297,-0.004794951541343976,0.16666666666666666,0.0002029171325105411,0.12445469296039935,0.29976585526367394,0.015830259166768723,0.0006531678641411021,-0.007184846505551901,-0.009144350097975179,0.0,0.0
B_hp,min_child_weight=3,baseline,180,4,0.05,3,1.5,100,10,0.001,True,1531,765,-0.00295997635050768,-0.013951038672323555,-2.6096156519655227,-4.687295995515607,-0.8792872880052184,-0.8718116813926475,0.38602220770738077,0.4526453298497714,0.13520574787720444,0.039843239712606136,-0.031499999999999986,-0.0315,0.21881123448726322,0.3285434356629654,-0.005070350130215948,0.16666666666666666,-0.00011650606622892138,-0.10706699248119822,-0.1987662482690915,-0.0076812062660636116,-0.0052253429131287055,-0.0032658393207053993,0.0006531678641410743,0.00326583932070542,0.0
B_hp,min_child_weight=10,baseline,180,4,0.05,10,1.5,100,10,0.001,True,1531,765,-0.0031133610838070076,-0.014231944435028452,-2.7237901170830656,-4.895546094817941,-0.8886933837559129,-0.8818002863955192,0.3847158719790986,0.45852384062704116,0.13128674069235793,0.037230568256041804,-0.031499999999999986,-0.0315,0.2161985630306989,0.32527759634225994,-0.005095329362600753,0.16666666666666666,-0.0002698907995282488,-0.22124145759874114,-0.40701634757142546,-0.01708730201675812,-0.006531678641410854,0.0026126714565643527,-0.003265839320705427,0.0006531678641410882,0.0
B_hp,n_estimators=300,baseline,300,4,0.05,5,1.5,100,10,0.001,True,1531,765,-0.0031319925166603335,-0.013114770182149736,-2.775521604628192,-4.9916244192499795,-0.8883901706296149,-0.8823804502452787,0.3919007184846506,0.45329849771391245,0.12998040496407576,0.028086218158066622,-0.031499999999999986,-0.0315,0.2077073807968648,0.33899412148922276,-0.005048043429918852,0.16666666666666666,-0.00028852223238157474,-0.2729729451438674,-0.5030946720034644,-0.016784088890460125,0.0006531678641411021,-0.0026126714565643527,-0.004572175048987603,-0.008491182233834094,0.0
B_hp,n_estimators=120,baseline,120,4,0.05,5,1.5,100,10,0.001,True,1531,765,-0.0032260107843168954,-0.014833333333333308,-2.7962774673538924,-5.125459784926455,-0.8955480260885063,-0.8887869218927107,0.3840627041149575,0.4644023514043109,0.12932723709993468,0.035924232527759635,-0.031499999999999986,-0.0315,0.21815806662312215,0.31743958197256694,-0.004423035874312517,0.16666666666666666,-0.00038254050003813656,-0.2937288078695679,-0.6369300376799396,-0.023941944349351485,-0.007184846505551956,0.008491182233834105,-0.005225342913128678,-0.0006531678641410812,0.0
B_hp,max_depth=3,baseline,180,3,0.05,5,1.5,100,10,0.001,True,1531,765,-0.003234302518808648,-0.015641414141414234,-2.876671958869979,-5.130054083660775,-0.8941070196438154,-0.8882398538264086,0.38210320052253427,0.46701502286087526,0.1365120836054866,0.039190071848465055,-0.031499999999999986,-0.0315,0.2194644023514043,0.31352057478772044,-0.0063279142786740175,0.16666666666666666,-0.00039083223452988924,-0.3741232993856545,-0.6415243364142595,-0.02250093790466068,-0.009144350097975207,0.011103853690398457,0.0019595035924232507,0.002612671456564339,0.0
B_hp,min_child_weight=20,baseline,180,4,0.05,20,1.5,100,10,0.001,True,1531,765,-0.003264913591222116,-0.0143571428571429,-2.8304170215210007,-5.195346040900605,-0.8970825272576499,-0.8909911187529923,0.38210320052253427,0.45395166557805355,0.1365120836054866,0.039190071848465055,-0.031499999999999986,-0.0315,0.21293272370999347,0.33311561071195295,-0.004530659319810859,0.16666666666666666,-0.0004214433069433571,-0.32786836203667624,-0.7068162936540903,-0.02547644551849515,-0.009144350097975207,-0.0019595035924232507,0.0019595035924232507,0.002612671456564339,0.0
B_hp,reg_lambda=3.0,baseline,180,4,0.05,5,3.0,100,10,0.001,True,1531,765,-0.0032772650220529876,-0.014052301255230102,-2.9233088073443967,-5.223075505497081,-0.8965728272200203,-0.8905647446939613,0.38602220770738077,0.45460483344219466,0.13585891574134554,0.035924232527759635,-0.031499999999999986,-0.0315,0.2116263879817113,0.33376877857609405,-0.005707577419673063,0.16666666666666666,-0.0004337947377742288,-0.4207601478600722,-0.7345457582505661,-0.024966745480865526,-0.0052253429131287055,-0.0013063357282821486,0.0013063357282821764,-0.0006531678641410812,0.0
B_hp,reg_lambda=5.0,baseline,180,4,0.05,5,5.0,100,10,0.001,True,1531,765,-0.0033207128573924487,-0.014158227848101222,-2.9803846392074145,-5.249176542637472,-0.9012763203451158,-0.8927479520053936,0.3847158719790986,0.4565643370346179,0.12932723709993468,0.032658393207054215,-0.031499999999999986,-0.0315,0.20966688438928804,0.33376877857609405,-0.004455049899361669,0.16666666666666666,-0.00047724257311368987,-0.47783597972309,-0.760646795390957,-0.029670238605961075,-0.006531678641410854,0.0006531678641411021,-0.005225342913128678,-0.003919007184846501,0.0
