feature,label,regime,oos_prec,oos_base,oos_lift,oos_n,n_folds_used,signal_dir,net_mean,net_sharpe,n_trades,win_rate,tp_rate,sl_rate
f_rv_21d,lab_pump15,bull_quiet,0.0601416463485429,0.028159047259638727,2.1357841333909713,8613,4,high,-0.008852356934688423,-5.7529032409340655,8613,0.3722280274004412,0.09450830140485313,0.4162312783002438
f_bounce_off_7d_low,lab_pump15,bull_quiet,0.06654804270462633,0.03133130629775474,2.1240111111931292,8430,4,high,-0.006383585791673224,-7.363559882060504,8430,0.39762752075919333,0.09739027283511269,0.39572953736654803
f_ret_7d,lab_pump15,bull_quiet,0.0642535252216892,0.030336691718156988,2.1180135862748823,6879,4,high,-0.0026043804893292953,-6.635710474457292,6879,0.44468672772205264,0.09681639773222853,0.3333333333333333
f_roc_7d,lab_pump15,bull_quiet,0.0642535252216892,0.030336691718156988,2.1180135862748823,6879,4,high,-0.0026043804893292953,-6.635710474457292,6879,0.44468672772205264,0.09681639773222853,0.3333333333333333
f_ret_3d,lab_pump15,bull_quiet,0.06312709030100334,0.030463547748102223,2.07221728811727,7176,4,high,-0.003908409823309865,-7.986764973998087,7176,0.41833890746934227,0.0943422519509476,0.3338907469342252
f_ret_14d,lab_pump15,bull_quiet,0.06017191977077364,0.030016964868151606,2.004597068193821,6980,4,high,-0.0013396152785663884,-5.932351677362141,6980,0.4670487106017192,0.09297994269340974,0.3060171919770774
f_atr_pct_14,lab_pump15,bull_quiet,0.05499580184718724,0.029231254137405252,1.8814041159052717,9528,4,high,-0.008727466955103754,-5.870081419045252,9528,0.37510495382031905,0.08774139378673383,0.3988245172124265
f_qv_surge_30d,lab_pump15,bull_volatile,0.11162551440329219,0.04841519145174019,2.305588619112649,1944,3,high,-0.012637471722707924,-8.446687963391438,1944,0.32150205761316875,0.13220164609053497,0.5406378600823045
f_ret_3d,lab_pump15,bull_volatile,0.11559888579387188,0.051668479607101435,2.2373192838827736,2154,3,high,-0.011534582645477472,-5.033220151275212,2154,0.3268337975858867,0.1425255338904364,0.5501392757660167
f_ret_7d,lab_pump15,bull_volatile,0.11022297013041649,0.05279565764089789,2.087727950660715,2377,3,high,-0.008591428933441054,-5.9025440482606895,2377,0.3588557004627682,0.1421960454354228,0.5090450147244425
f_roc_7d,lab_pump15,bull_volatile,0.11022297013041649,0.05279565764089789,2.087727950660715,2377,3,high,-0.008591428933441054,-5.9025440482606895,2377,0.3588557004627682,0.1421960454354228,0.5090450147244425
f_log_qv,lab_pump15,bull_volatile,0.08823529411764706,0.043859052169873645,2.011792087432638,1598,3,high,-0.015101770147136085,-9.610161787473752,1598,0.29662077596996245,0.0969962453066333,0.5062578222778473
f_qv_surge_7d,lab_pump15,bull_volatile,0.08629164391043145,0.0434671146147807,1.985216747768405,1831,3,high,-0.012922776106694052,-9.668084807930649,1831,0.3233205898416166,0.10158383397050792,0.4653194975423266
f_ret_14d,lab_pump15,bull_volatile,0.11006423982869379,0.05566299586211298,1.9773323035170842,2335,2,high,-0.0067968990680143445,-4.41477058530839,2354,0.37170773152081565,0.1516567544604928,0.4995751911639762
f_qv_rank_pct,lab_pump15,bull_volatile,0.0753315649867374,0.03888860944072054,1.9371113050871185,1885,3,high,-0.01286278033545547,-9.577927876926019,1885,0.31724137931034485,0.09177718832891246,0.43925729442970823
f_bounce_off_7d_low,lab_pump15,bull_volatile,0.10020876826722339,0.0543290253503485,1.8444794034314584,2874,3,high,-0.012838088402441902,-5.56529491923104,2874,0.3201113430758525,0.1290883785664579,0.5535838552540014
f_atr_xs_decile,lab_pump15,bull_volatile,0.07021276595744681,0.03839548267862105,1.828672569248411,1880,3,high,-0.0107422401530548,-6.625608239514904,1880,0.34308510638297873,0.10904255319148937,0.4643617021276596
f_rv_7d,lab_pump15,bull_volatile,0.08961444946161862,0.04902020042996064,1.828112669381237,2879,3,high,-0.012462659982194379,-4.832868286648907,2879,0.31538728725251824,0.12747481764501564,0.5529697811740187
f_rv_21d,lab_pump15,bull_volatile,0.08392554991539763,0.049421385733006556,1.6981626207082885,2955,3,high,-0.009361628484710135,-6.778115184541913,2955,0.35972927241962777,0.11742808798646362,0.47377326565143824
f_atr_pct_14,lab_pump15,bull_volatile,0.06699846860643185,0.05018199525596227,1.3351096994986775,2612,3,high,-0.011195864050168737,-6.567702550420846,2612,0.35145482388973964,0.10987748851454823,0.5172281776416539
