label,feature,threshold,n_folds_ok,base_mean,prec_mean,lift_mean,lift_min,lift_std,recall_mean,sel_rate_mean,n_sel_total,folds_lift_gt1
pump20,qv_ratio_med_max_3d,8.0,5,0.016169922531690764,0.0493584621323869,3.1459056825579634,2.429581402075934,0.45173442952751636,0.26592725067907913,0.08622485103914944,13925,5
pump20,qv_ratio_med_7d,3.0,5,0.016385675859174952,0.05053038307502894,3.13509927034402,2.930847761181624,0.1973322631060667,0.2715207741321918,0.08706133098493994,13843,5
pump20,qv_ratio_med_max_3d,5.0,5,0.016169922531690764,0.04360652585199952,2.771247359788069,2.223651900029705,0.3720163003432947,0.3649769125502316,0.13343294093424443,21246,5
pump20,qv_rank_jump_3d,0.3,5,0.016307279219148135,0.04342927768291381,2.7169894175905625,2.396244362426654,0.2650681460610387,0.1947886703340051,0.0726291966173437,11403,5
pump20,qv_zscore_30d,1.0,5,0.01609084553492266,0.044111763271658076,2.6886640583881283,2.383680555246458,0.18668700248569933,0.28718951675990845,0.1065086474584708,15943,5
pump20,qv_ratio_med_14d,2.0,5,0.016169922531690764,0.0410833214740728,2.567564316414643,2.4112603022697474,0.1395724368993843,0.44029498121776206,0.17200634919020064,26670,5
pump20,qv_rank_xs,0.95,5,0.016489565366487706,0.04292723564383212,2.5121923421428276,1.5721123270075623,0.6793470966471801,0.13656519716807486,0.05424498433430125,8455,5
pump20,qv_ratio_med_30d,2.0,5,0.01599487960523237,0.039675546550654216,2.489566310501995,2.3336364188924272,0.11374004792147828,0.49947351090623265,0.20092202613056043,30542,5
pump20,qv_ratio_med_7d,2.0,5,0.016385675859174952,0.04037047751305169,2.481121132407326,2.398962021720489,0.06398117930780386,0.3604914627862065,0.14544097290290564,22847,5
pump20,qv_rank_xs,0.9,5,0.016489565366487706,0.03997193178804067,2.3702976284306057,1.6509085794525653,0.4894080691525515,0.24640656059818902,0.10400684457109918,16306,5
pump20,qv_rank_jump_3d,0.2,5,0.016307279219148135,0.035486389220572775,2.227938060717981,2.0233568901934342,0.2210251459181405,0.2624971718101806,0.11860487022778884,18600,5
pump20,qv_ratio_med_max_3d,3.0,5,0.016169922531690764,0.03519367323161204,2.2152609111717494,1.9306322494959578,0.1861934978505052,0.4820046642024714,0.21882841459304006,34313,5
pump20,qv_ratio_med_30d,1.5,5,0.01599487960523237,0.033332040056348405,2.092964517582433,1.9318272994504122,0.11947712395423965,0.575930706800452,0.27579124898947305,41938,5
pump20,qv_ratio_med_14d,1.5,5,0.016169922531690764,0.033515023186912025,2.0704032068577782,1.9585703067270512,0.09554068840744613,0.5154775218984554,0.249036996254396,38542,5
pump20,qv_ratio_med_7d,1.5,5,0.016385675859174952,0.032392535842891236,1.956223641062925,1.8161677740419926,0.08261415383935548,0.4276369669319046,0.21814644927620278,34131,5
pump20,qv_rank_xs,0.8,5,0.016489565366487706,0.031296662024462574,1.8971598816682076,1.6434940627276098,0.25256536149087083,0.38697637571212323,0.20397619965012082,32033,5
pump20,qv_ratio_med_max_3d,2.0,5,0.016169922531690764,0.029316254670609238,1.8400524352767733,1.648444353357765,0.1443373284375228,0.6044898514434525,0.32980566029966707,51370,5
pump20,qv_consec_up,4.0,5,0.016489565366487706,0.02942787838874324,1.7562910370099032,1.1362243580023128,0.5249485875320623,0.026702009513167792,0.014864359919609488,2286,5
pump20,qv_rank_jump_3d,0.1,5,0.016307279219148135,0.028100157197398057,1.730325423335092,1.669489730384563,0.06497385028484737,0.3717755045928838,0.21473994374376168,33686,5
pump20,qv_consec_up,3.0,5,0.016489565366487706,0.025906691915688583,1.4978483633798505,0.9124089165530883,0.3450729629170616,0.07980794243799001,0.053301154251131154,8267,4
pump20,qv_consec_up,2.0,5,0.016489565366487706,0.022842427132611604,1.3442503491974975,1.1306644986617127,0.1889899102036563,0.22969131927322867,0.1714862178698789,26775,5
