strategy,rule,cost_pct,n_trades,n_days,avg_trade_net_pct,pos_trade_pct,cum_return_pct,annualized_sharpe,mdd_pct,worst_day_pct
momentum_1d,TP20_only,0.2,1263,185,-0.3925117190601543,39.90498812351544,-71.71020059097243,-2.564623959976861,-74.62241658996987,-21.50686335501135
atr_14,TP20_only,0.2,1260,181,-0.5590295535144851,40.95238095238095,-79.43970477490063,-3.097457452219206,-79.7473090589027,-25.007123524800996
random_top100,TP3_SL3,0.15,1302,223,-0.334992786763744,46.15975422427036,-51.284169047310144,-3.2135972439456104,-52.25030324762281,-3.15
atr_14,TP3_SL3,0.15,1260,181,-0.3682541882583262,46.507936507936506,-42.75883885321332,-3.621384594456021,-46.44208397340078,-3.15
setup_momentum,TP3_SL3,0.15,1265,187,-0.2222641824738891,48.22134387351779,-43.514728120129156,-3.629583359917488,-50.485045702636576,-3.15
vol_momentum,TP3_SL3,0.15,1261,183,-0.25953069614534235,47.58128469468675,-44.494763982391014,-3.9199420689005,-48.92026503236499,-3.15
momentum_1d,TP3_SL3,0.15,1263,185,-0.22455845222769782,48.06017418844022,-46.632638150878805,-4.141889244896637,-51.40718252046096,-3.15
setup_only,TP3_SL3,0.15,1263,185,-0.22738980722257032,48.13935075217736,-46.60700216033595,-4.147688016978954,-51.67423027349288,-3.15
distribution_beta,TP3_SL3,0.15,1260,181,-0.23683673279204742,48.17460317460318,-45.874384812431515,-4.16390423784553,-49.7348613895851,-3.15
random_top100,TP3_SL3,0.2,1302,223,-0.38499278676374404,45.775729646697386,-56.44182773881208,-3.7395278081036096,-57.17777609118342,-3.2
atr_14,TP3_SL3,0.2,1260,181,-0.41825418825832616,46.111111111111114,-47.72803980909568,-4.233811861540015,-50.527289035047716,-3.2
setup_momentum,TP3_SL3,0.2,1265,187,-0.2722641824738891,48.22134387351779,-48.57321221641043,-4.24872218610461,-54.76415745370262,-3.2
vol_momentum,TP3_SL3,0.2,1261,183,-0.3095306961453424,47.58128469468675,-49.364696250081316,-4.55258410940372,-52.12815433373308,-3.2
momentum_1d,TP3_SL3,0.2,1263,185,-0.27455845222769787,48.06017418844022,-51.36463532506252,-4.774269869386475,-55.58480236107276,-3.2
setup_only,TP3_SL3,0.2,1263,185,-0.27738980722257034,48.06017418844022,-51.3412584676338,-4.781362031911687,-55.82901099841171,-3.2
